dataset,model,noise_level,num_qubits,comparison,mean_a,mean_b,mean_diff,t_stat,p_value,cohens_d,paired_runs,p_value_holm,significant_holm
IoT_Original_Distribution,QVE,0.0,6,1map_ZZ_vs_1map_Z,0.9314666666666666,0.9543333333333331,0.0228666666666666,9.81068411328477,4.194318117130879e-06,3.5481703888926006,10,3.774886305417791e-05,True
IoT_Original_Distribution,QVE,0.002,6,1map_ZZ_vs_1map_Z,0.9324,0.9528,0.0203999999999999,8.991361932936302,8.6053791014919e-06,3.227516122559948,10,6.88430328119352e-05,True
IoT_Original_Distribution,QVE,0.01,6,1map_ZZ_vs_1map_Z,0.9301333333333334,0.7804,-0.1497333333333333,-7.829782684823271,2.6273544899392555e-05,-3.43891903150332,10,0.0001313677244969,True
IoT_Original_Distribution,QVE,0.05,6,1map_ZZ_vs_1map_Z,0.9305333333333332,0.906,-0.0245333333333333,-7.16279324038786,5.292310468622928e-05,-3.203298518856649,10,0.0002116924187449,True
UNSW_2018_IoT_Botnet_Final_10_Best,QVE,0.0,6,1map_ZZ_vs_1map_Z,0.9892666666666664,0.9952,0.0059333333333333,8.24372540661084,1.7402195659868563e-05,3.468702745145147,10,0.0001044131739592,True
UNSW_2018_IoT_Botnet_Final_10_Best,QVE,0.002,6,1map_ZZ_vs_1map_Z,0.9891333333333332,0.9954666666666666,0.0063333333333333,8.652268555244532,1.1771736508826984e-05,3.4599508858718835,10,8.240215556178889e-05,True
UNSW_2018_IoT_Botnet_Final_10_Best,QVE,0.01,6,1map_ZZ_vs_1map_Z,0.9892,0.9725333333333334,-0.0166666666666666,-1.8988863132818743,0.090048290063148,-0.8806724297502364,10,0.2701448701894442,False
UNSW_2018_IoT_Botnet_Final_10_Best,QVE,0.05,6,1map_ZZ_vs_1map_Z,0.9890666666666666,0.0953333333333333,-0.8937333333333332,-1560.7610921428666,9.264807419457936e-26,-697.9935797336524,10,1.1117768903349524e-24,True
UNSW_NB15,QVE,0.0,6,1map_ZZ_vs_1map_Z,0.8696000000000002,0.8577333333333333,-0.0118666666666666,-1.7563889051799235,0.1129025697107887,-0.8680459999004289,10,0.2701448701894442,False
UNSW_NB15,QVE,0.002,6,1map_ZZ_vs_1map_Z,0.8694666666666668,0.8583333333333332,-0.0111333333333333,-1.5703786026621092,0.1507744854911864,-0.7328878331821066,10,0.2701448701894442,False
UNSW_NB15,QVE,0.01,6,1map_ZZ_vs_1map_Z,0.8688,0.7402666666666666,-0.1285333333333333,-13.044905749508144,3.769683980540048e-07,-6.449800029288235,10,3.769683980540048e-06,True
UNSW_NB15,QVE,0.05,6,1map_ZZ_vs_1map_Z,0.8682666666666666,0.6391333333333333,-0.2291333333333333,-106.68518160199358,2.834846800202707e-15,-47.854725636568055,10,3.1183314802229784e-14,True
