status,dataset,model,composition,n_maps,entanglement,optimization_level,noise_level,num_qubits,run_idx,seed,gpu_id,accuracy,f1_score,mcc,kernel_time,classifier_time,total_time
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.0,6,0,42,0,0.9246666666666666,0.9324274692702892,0.6808157520935996,110.20813283196183,3.596345711965114,113.80447854392696
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.0,6,1,123,1,0.934,0.940907809293264,0.7277641761668269,113.36840972595382,0.4199938799720257,113.78840360592584
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.0,6,2,456,2,0.93,0.9373264644019468,0.7088106678632947,113.37207904504612,0.4420481260167435,113.81412717106286
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.0,6,3,789,0,0.9293333333333332,0.9363158196098934,0.6963924536386645,113.3552576699294,0.218058179016225,113.57331584894564
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.0,6,4,1024,1,0.92,0.9289433203076566,0.6740055463900888,113.50298716395628,0.8623444479890168,114.3653316119453
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.0,6,5,2048,2,0.928,0.934864064941212,0.6846543841138732,105.41995391796809,3.820076806936413,109.2400307249045
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.0,6,6,3072,0,0.944,0.9480500224505308,0.7337098285325372,107.7739717119839,3.792489275103435,111.56646098708734
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.0,6,7,4096,1,0.938,0.943403620111923,0.7218101255221689,113.71694561000912,0.8798182179452851,114.59676382795442
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.0,6,8,5120,2,0.9426666666666668,0.947164156626506,0.7340451693802116,113.5780207249336,0.0903624950442463,113.66838321997784
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.0,6,9,6144,0,0.924,0.9320162912218825,0.6817472036206769,44.62596751493402,1.139410280971788,45.765377795905806
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.002,6,0,42,1,0.9246666666666666,0.9324274692702892,0.6808157520935996,67.35617654910311,0.1297635309165343,67.48594008001965
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.002,6,1,123,2,0.934,0.940907809293264,0.7277641761668269,66.53289171401411,0.2361501640407368,66.76904187805485
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.002,6,2,456,0,0.9293333333333332,0.9367870778028028,0.7069742088796336,41.694031473016366,0.2291001180419698,41.923131591058336
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.002,6,3,789,1,0.9273333333333332,0.9348194172607216,0.6934962466380883,41.74060030700639,0.5266582249896601,42.26725853199605
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.002,6,4,1024,2,0.936,0.94175607268524,0.7157542997720369,39.35963387507945,0.9134943280369044,40.27312820311636
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.002,6,5,2048,0,0.926,0.9333750272945254,0.6817502938330257,40.86836374900304,1.1052276369882748,41.97359138599131
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.002,6,6,3072,1,0.944,0.9480500224505308,0.7337098285325372,42.18642895296216,0.0495648880023509,42.23599384096451
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.002,6,7,4096,2,0.9393333333333334,0.9447337149551372,0.7308236415292239,40.050736929057166,1.1410044330405071,41.19174136209767
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.002,6,8,5120,0,0.9426666666666668,0.947164156626506,0.7340451693802116,42.13616736000404,0.0516948250588029,42.18786218506284
success,IoT_Original_Distribution,QSVC_Z,1map_Z,1,full,0,0.002,6,9,6144,1,0.9206666666666666,0.9293508067073436,0.6729442528065122,40.001916437991895,0.8551162000512704,40.857032638043165
