circuit_name,num_qubits,depth,total_gates,gate_counts,single_qubit_gates,two_qubit_gates,multi_qubit_gates,num_parameters,t_depth_estimate,circuit_volume,gate_density,two_qubit_ratio
ZZ_r2_full_unopt,10,237,604,"{'cx': 474, 'u': 130}",130,474,0,10,474,2370,2.548523206751055,0.7847682119205298
ZZ_r2_full_opt,10,195,592,"{'cx': 372, 'u': 220}",220,372,0,10,372,1950,3.0358974358974358,0.6283783783783784
ZZ_r3_full_unopt,10,370,930,"{'cx': 735, 'u': 195}",195,735,0,10,735,3700,2.5135135135135136,0.7903225806451613
ZZ_r3_full_opt,10,289,807,"{'cx': 612, 'u': 195}",195,612,0,10,612,2890,2.792387543252595,0.758364312267658
Pauli_r2_full_unopt,10,237,604,"{'cx': 474, 'u': 130}",130,474,0,10,474,2370,2.548523206751055,0.7847682119205298
Pauli_r2_full_opt,10,195,592,"{'cx': 372, 'u': 220}",220,372,0,10,372,1950,3.0358974358974358,0.6283783783783784
ZZ_r2_opt0,10,237,604,"{'cx': 474, 'u': 130}",130,474,0,10,474,2370,2.548523206751055,0.7847682119205298
ZZ_r2_opt1,10,225,562,"{'cx': 432, 'u': 130}",130,432,0,10,432,2250,2.497777777777778,0.7686832740213523
ZZ_r2_opt2,10,195,592,"{'cx': 372, 'u': 220}",220,372,0,10,372,1950,3.0358974358974358,0.6283783783783784
ZZ_r2_opt3,10,195,592,"{'cx': 372, 'u': 220}",220,372,0,10,372,1950,3.0358974358974358,0.6283783783783784
