circuit_name,num_qubits,depth,total_gates,gate_counts,single_qubit_gates,two_qubit_gates,multi_qubit_gates,num_parameters,t_depth_estimate,circuit_volume,gate_density,two_qubit_ratio
ZZ_r2_full_unopt,6,124,204,"{'cx': 150, 'u': 54}",54,150,0,6,150,744,1.6451612903225807,0.7352941176470589
ZZ_r2_full_opt,6,124,196,"{'cx': 142, 'u': 54}",54,142,0,6,142,744,1.5806451612903225,0.7244897959183674
ZZ_r3_full_unopt,6,179,306,"{'cx': 225, 'u': 81}",81,225,0,6,225,1074,1.7094972067039107,0.7352941176470589
ZZ_r3_full_opt,6,181,323,"{'cx': 200, 'u': 123}",123,200,0,6,200,1086,1.7845303867403315,0.6191950464396285
Pauli_r2_full_unopt,6,124,204,"{'cx': 150, 'u': 54}",54,150,0,6,150,744,1.6451612903225807,0.7352941176470589
Pauli_r2_full_opt,6,124,196,"{'cx': 142, 'u': 54}",54,142,0,6,142,744,1.5806451612903225,0.7244897959183674
ZZ_r2_opt0,6,124,204,"{'cx': 150, 'u': 54}",54,150,0,6,150,744,1.6451612903225807,0.7352941176470589
ZZ_r2_opt1,6,127,198,"{'cx': 144, 'u': 54}",54,144,0,6,144,762,1.5590551181102361,0.7272727272727273
ZZ_r2_opt2,6,124,196,"{'cx': 142, 'u': 54}",54,142,0,6,142,744,1.5806451612903225,0.7244897959183674
ZZ_r2_opt3,6,124,196,"{'cx': 142, 'u': 54}",54,142,0,6,142,744,1.5806451612903225,0.7244897959183674
