status,dataset,model,feature_regime,num_qubits,run_idx,seed,accuracy,balanced_accuracy,f1_score,mcc,roc_auc,g_mean,training_time
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,0,42,0.92,0.9177117091728899,0.9286941992662816,0.6684209934135701,0.9666943257192658,0.9177073822900479,0.4857864569639787
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,1,123,0.9266666666666666,0.9468163386720523,0.9349765863914373,0.7077950975641004,0.9861287241870587,0.9464910995630325,0.5386707190191373
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,2,456,0.918,0.9356770466394251,0.9278344679767039,0.68015265441926,0.9674875664730532,0.9354237612312121,0.4948779479600489
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,3,789,0.9186666666666666,0.9233322374086077,0.927883123088685,0.6705942830317453,0.963625736487509,0.9233143596236486,0.4750040350481868
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,4,1024,0.8933333333333333,0.8998168240101452,0.9077470826387234,0.6030814273943481,0.9700916923687108,0.899781397353546,0.5381453889422119
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,5,2048,0.918,0.9134297747091885,0.9269760439075901,0.6604392494095056,0.9493317468518258,0.9134124341889499,0.47685696999542415
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,6,3072,0.9333333333333333,0.915535515789144,0.9390809530348805,0.6975731288922437,0.9527969564604762,0.9152731069301652,0.319196755066514
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,7,4096,0.9206666666666666,0.914901445055031,0.9290986666666667,0.6673742506755516,0.9643511342820911,0.9148738950182401,0.5140089550986886
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,8,5120,0.9313333333333333,0.9271444898470402,0.9379398828495944,0.7020728433695325,0.9646120687405737,0.9271301381865281,0.4894242569571361
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,9,6144,0.9273333333333333,0.9249369843282764,0.93469828467954,0.6908167078128369,0.9654157468727005,0.9249322762134751,0.4979853800032288
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,10,7168,0.9306666666666666,0.9045293003303431,0.9365123450134771,0.6818094235720065,0.9551975534785173,0.9039563769869158,0.45517617801669985
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,11,8192,0.92,0.930424435990168,0.9291857713150791,0.679581103493735,0.9688209415558999,0.9303358627271908,0.5355790969915688
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,12,9216,0.9146666666666666,0.9211247318898439,0.9247165340406718,0.6605895503659727,0.9624932809376939,0.9210903956723683,0.5060795469908044
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,13,10240,0.92,0.9081771640599314,0.9283075563411401,0.6600262120763842,0.9546965593182303,0.9080604404785336,0.4810160759370774
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,14,11264,0.9426666666666667,0.9365772705211906,0.947390024444791,0.7387984345228015,0.9799654522776968,0.9365472464383835,0.43690796301234514
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,15,12288,0.9213333333333333,0.9089129992328526,0.9293721919638269,0.6635744882158399,0.9657627897024824,0.9087842831127866,0.47700214199721813
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,16,13312,0.9233333333333333,0.8973040251749566,0.9304376138438318,0.6579607484818063,0.9560690745698496,0.8967312526032327,0.47199161897879094
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,17,14336,0.9066666666666666,0.9294224476695944,0.9189294660514172,0.653324367884765,0.9703474081380239,0.9289998500708118,0.5232078529661521
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,18,15360,0.9266666666666666,0.9372817935590938,0.9346363493274248,0.6997369823105908,0.9739117728408979,0.9371906220238807,0.5069680250016972
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,19,16384,0.9193333333333333,0.9237001549950683,0.9284129217378637,0.6722950284182092,0.9573398253826604,0.9236844996904804,0.47960333398077637
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,20,17408,0.9246666666666666,0.9075744054608363,0.9319146287573218,0.6699066206589832,0.9560742932590192,0.9073302687075838,0.4708735099993646
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,21,18432,0.9173333333333333,0.9162400388270474,0.9265747643179119,0.6615638217968396,0.9675084412297319,0.9162390495378977,0.5108054369920865
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,22,19456,0.9233333333333333,0.9259076605138321,0.931604567228688,0.6827083166683477,0.9628846826254182,0.9259022327739583,0.5104160849004984
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,23,20480,0.9173333333333333,0.9225964022356865,0.9268252970255817,0.6672217126872653,0.9679572484983222,0.9225736339852657,0.5361053820233792
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,24,21504,0.91,0.9026584002630219,0.9204010359650762,0.6347017888520211,0.9615173860629688,0.9026131181361269,0.5192167790373787
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,25,22528,0.9366666666666666,0.9523351024689618,0.9430856609592321,0.7353576126346062,0.9793026787531508,0.9521395947001037,0.4387619879562408
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,26,23552,0.9246666666666666,0.9171089505737948,0.9323018914567709,0.6780907350066171,0.963625736487509,0.917061719334168,0.3978312329854816
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,27,24576,0.934,0.9063688882626462,0.9392430361090642,0.6919140455766796,0.9607554574441992,0.9057298854154303,0.47591946297325194
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,28,25600,0.9213333333333333,0.9343384528674088,0.9303660084598278,0.6857607988969698,0.9657888831483308,0.9342011706370523,0.5251452090451494
success,IoT_Original_Distribution,RBF-SVM,quantum_features,6,29,26624,0.9126666666666666,0.913664615721823,0.9228883259376239,0.6499345870197158,0.9719443270239382,0.9136637891357589,0.4796637240797281
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,0,42,0.8853333333333333,0.8795109044510201,0.9009673596003246,0.5708479243470298,0.933686116721202,0.879481674215172,0.35338545707054436
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,1,123,0.892,0.911793715654502,0.9072325421057815,0.6126584474056289,0.9680042167008491,0.911467808699582,0.3713909999933094
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,2,456,0.8913333333333333,0.9082476163637218,0.9065975556824672,0.6082007909056447,0.9553645515319462,0.9080087153530052,0.3684314639540389
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,3,789,0.9046666666666666,0.9028932412756563,0.916368487823099,0.6250418395658309,0.9457621634597823,0.9028905997914191,0.3542204840341583
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,4,1024,0.896,0.8981103126516681,0.9096642621715791,0.6056860086682738,0.9416707111507732,0.8981065523492239,0.4054961969377473
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,5,2048,0.9146666666666666,0.8893429148466488,0.9233867845031343,0.6318166112217629,0.9411044833758657,0.8887959261268872,0.3369531680364162
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,6,3072,0.8733333333333333,0.8728883878947287,0.8918994117562867,0.5475497791580253,0.9449793600843339,0.8728882159009291,0.3265607899520546
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,7,4096,0.9073333333333333,0.8852958213955819,0.9176212715678581,0.6134125907817463,0.9219466754340645,0.8848797223436308,0.3297423080075532
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,8,5120,0.9046666666666666,0.8933586961626978,0.9159633768217238,0.616045834380666,0.929746006398113,0.8932501466704584,0.3505085529759526
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,9,6144,0.8553333333333333,0.8565982496516524,0.8781880120275843,0.5092208637512294,0.9279194651887338,0.8565968331903541,0.43289203895255923
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,10,7168,0.9173333333333333,0.8876364034881719,0.9253589020994181,0.6359543696498989,0.9308732432587583,0.8868826481842489,0.3154074560152367
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,11,8192,0.8993333333333333,0.9031280822882908,0.9123655693698115,0.6160187551292047,0.9462057520392028,0.9031159908599458,0.41007338697090745
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,12,9216,0.896,0.8822194041300706,0.90898,0.5902367392946438,0.9323762257396188,0.8820561525032018,0.38778996700420976
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,13,10240,0.9193333333333333,0.8887401562475538,0.9269523396653019,0.6413459550624795,0.9352308487154197,0.8879411916063933,0.349032970960252
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,14,11264,0.914,0.9048659057817857,0.923547798793192,0.6445692644297424,0.9493578402976741,0.9047959825527965,0.3793191260192543
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,15,12288,0.8973333333333333,0.8893116027116309,0.9102856617604818,0.5993640920258795,0.9474869402303528,0.8892567303649643,0.3602945849997923
success,IoT_Original_Distribution,LinearSVM,quantum_features,6,16,13312,0.8593333333333333,0.8460930283531383,0.8806088612326568,0.502504262185291,0.9142464995642394,0.8459358921925971,0.3838955849641934
