dataset,config,model,entanglement,optimization_level,optimization_name,optimization_description,noise_level,num_qubits,run_idx,seed,gpu_id,accuracy,f1_score,mcc,kernel_time,classifier_time,total_time
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.0,10,0,42,0,0.8626666666666667,0.8637728203429401,0.7093425114194086,320.2482045959914,0.06352350703673437,320.31172810302814
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.0,10,1,123,1,0.876,0.877471232553037,0.7430857274532514,320.29437547101406,0.056718924024607986,320.3510943950387
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.0,10,2,456,2,0.8853333333333333,0.8867215392303849,0.7632418393942285,311.326657803962,0.9512834170018323,312.27794122096384
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.0,10,3,789,0,0.8346666666666667,0.8365876898673212,0.6551794834124297,313.33675885299454,0.988599948992487,314.325358801987
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.0,10,4,1024,1,0.8506666666666667,0.8513368493091439,0.6799296829066596,318.59554260998266,0.058129350014496595,318.65367195999715
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.0,10,5,2048,2,0.884,0.8847160425764088,0.7529305912697682,318.3817498049466,0.31449426600011066,318.6962440709467
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.0,10,6,3072,0,0.8826666666666667,0.8839099244185902,0.7552088980608882,311.48414249700727,0.9741267040371895,312.45826920104446
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.0,10,7,4096,1,0.884,0.8855375648031386,0.7625574108708372,320.5170261579915,0.056608277023769915,320.57363443501526
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.0,10,8,5120,2,0.9,0.900617278083111,0.7871713106156527,320.2103879430215,0.3144869569805451,320.52487490000203
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.0,10,9,6144,0,0.868,0.8687275378818888,0.7180576304803931,96.98403237800812,0.03080847702221945,97.01484085503034
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.002,10,0,42,0,0.7186666666666667,0.7215606249254112,0.5192323404999315,1723.2179268230102,0.06693299999460578,1723.2848598230048
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.002,10,1,123,1,0.776,0.7801247257687466,0.5942291507471292,1755.0768895950168,0.03472238703398034,1755.1116119820508
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.002,10,2,456,2,0.7333333333333333,0.7365281987282344,0.5429493225307352,1742.97775072098,0.06320503604365513,1743.0409557570238
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.002,10,3,789,0,0.7426666666666667,0.747091826105042,0.5344224511168761,1787.9727520350134,0.06534279900370166,1788.038094834017
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.002,10,4,1024,1,0.732,0.7353915216418058,0.5370517753392492,1833.1256326820003,0.07528468902455643,1833.2009173710248
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.002,10,5,2048,2,0.7626666666666667,0.7661936867387201,0.5905418128639208,1860.1727519090055,0.052355558960698545,1860.2251074679662
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.002,10,6,3072,0,0.7466666666666667,0.7509897300953378,0.5436971807229058,1808.7815244310186,0.07067537499824539,1808.8521998060169
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.002,10,7,4096,1,0.7733333333333333,0.7776175515458966,0.5835139353191838,1867.0167034960468,0.034342063998337835,1867.0510455600452
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.002,10,8,5120,2,0.784,0.7881606538203294,0.6007348204183351,1860.4128701759619,0.07419872301397845,1860.4870688989758
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.002,10,9,6144,0,0.7613333333333333,0.7655547662506964,0.5698185673078915,774.6904385230155,0.0326593880308792,774.7230979110464
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.01,10,0,42,0,0.6386666666666667,0.49783780851640896,0.0,1848.4775773230358,0.031344916962552816,1848.5089222399984
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.01,10,1,123,1,0.6386666666666667,0.49783780851640896,0.0,1799.0345351099968,0.31520713202189654,1799.3497422420187
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.01,10,2,456,2,0.6386666666666667,0.49783780851640896,0.0,1828.5021979800076,0.07260337000479922,1828.5748013500124
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.01,10,3,789,0,0.6386666666666667,0.49783780851640896,0.0,1748.1185898280237,0.08121558296261355,1748.1998054109863
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.01,10,4,1024,1,0.6386666666666667,0.49783780851640896,0.0,1835.2300174569828,0.0445375069975853,1835.2745549639803
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.01,10,5,2048,2,0.6386666666666667,0.49783780851640896,0.0,1793.4815505180159,0.056920443021226674,1793.538470961037
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.01,10,6,3072,0,0.6386666666666667,0.49783780851640896,0.0,1834.0088024539873,0.03185752098215744,1834.0406599749695
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.01,10,7,4096,1,0.6386666666666667,0.49783780851640896,0.0,1302.420306681015,0.13302891701459885,1302.5533355980297
