dataset,config,model,entanglement,noise_level,num_qubits,paired_runs,accuracy_mean_l0,accuracy_mean_l3,accuracy_delta_l3_minus_l0,accuracy_t_stat,accuracy_p_value,accuracy_cohens_d_paired,f1_score_mean_l0,f1_score_mean_l3,f1_score_delta_l3_minus_l0,f1_score_t_stat,f1_score_p_value,f1_score_cohens_d_paired,mcc_mean_l0,mcc_mean_l3,mcc_delta_l3_minus_l0,mcc_t_stat,mcc_p_value,mcc_cohens_d_paired,kernel_time_mean_l0,kernel_time_mean_l3,kernel_time_delta_l3_minus_l0,kernel_time_t_stat,kernel_time_p_value,kernel_time_cohens_d_paired,classifier_time_mean_l0,classifier_time_mean_l3,classifier_time_delta_l3_minus_l0,classifier_time_t_stat,classifier_time_p_value,classifier_time_cohens_d_paired,total_time_mean_l0,total_time_mean_l3,total_time_delta_l3_minus_l0,total_time_t_stat,total_time_p_value,total_time_cohens_d_paired,accuracy_p_value_holm,accuracy_significant_holm,f1_score_p_value_holm,f1_score_significant_holm,mcc_p_value_holm,mcc_significant_holm,kernel_time_p_value_holm,kernel_time_significant_holm,classifier_time_p_value_holm,classifier_time_significant_holm,total_time_p_value_holm,total_time_significant_holm
UNSW_NB15,6q_5k,QSVC,full,0.0,6,30,0.8622444444444444,0.8625111111111111,0.0002666666666666706,0.44240878642745723,0.6614755672311114,0.08077242398826791,0.8628291504257427,0.8631294645839613,0.0003003141582186323,0.5224609528779595,0.6053180828498665,0.09538788310230067,0.7095894232691012,0.7104639691764348,0.0008745459073336274,0.8125099782881877,0.4231192088923068,0.14834334776882438,277.4638144842659,274.687198319907,-2.7766161643589538,-2.0849050447019186,0.045990850302492274,-0.38064984107985256,0.5680366704550882,0.5046236351287613,-0.06341303532632689,-0.4593013112414811,0.6494422607602104,-0.08385656295288678,278.03185115472104,275.1918219550358,-2.8400291996852807,-2.3120860872176396,0.028072228625270684,-0.42212723495431936,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False
UNSW_NB15,6q_5k,QSVC,full,0.0003,6,30,0.8612666666666666,0.8607111111111112,-0.0005555555555555683,-0.7621262391640883,0.4521390278934233,-0.13914457761891613,0.8619032537239337,0.8612791353844985,-0.0006241183394350943,-0.8246002077453288,0.41632982544833086,-0.15055071156852096,0.7080681457891767,0.7070481545539012,-0.001019991235275471,-0.7223499554681225,0.47586449728003344,-0.13188245500758097,225.5860475285134,220.02391059372263,-5.56213693479076,-3.198991642060234,0.0033270006621714063,-0.584053294542294,0.5577110827434808,0.6642580292963733,0.10654694655289253,0.7976257357144626,0.43157067092418766,0.14562586929915503,226.14375861125689,220.688168623019,-5.455589988237867,-3.2877717939072344,0.002649171071825684,-0.6002622584840728,1.0,False,1.0,False,1.0,False,0.1596960317842275,False,1.0,False,0.12716021144763284,False
UNSW_NB15,6q_5k,QSVC,full,0.0005,6,30,0.8609555555555556,0.8612444444444443,0.0002888888888888941,0.3760294046389418,0.7096319540252404,0.06865326240199539,0.8616093028785533,0.8618777022632091,0.00026839938465573755,0.3672667724867444,0.716086664882858,0.06705343197103587,0.7076544362447161,0.7081251056632728,0.00047066941855684977,0.3507109627797606,0.7283400945310701,0.0640307684929432,222.75914913575787,223.2004626937521,0.4413135579942415,0.239522599954609,0.8123852352796368,0.043730643675808416,0.5877704779462268,0.6184313530257592,0.030660875079532465,0.18410156345552164,0.855215093807035,0.033612193058852644,223.34691961370407,223.81889404677787,0.47197443307377396,0.27257377414241185,0.7871123839496078,0.04976493489403911,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False
UNSW_NB15,6q_5k,QSVC,full,0.001,6,30,0.8601111111111112,0.8607111111111111,0.0006000000000000005,0.6825362661507172,0.5003160977600826,0.12461350309536587,0.8607103160966925,0.8613630087231471,0.0006526926264547132,0.7557992509946411,0.4558652320846377,0.13798943290509125,0.7060809520241025,0.7072400838026323,0.0011591317785296985,0.7322280122420863,0.4699062612917967,0.1336859331807199,225.11501506771893,221.05520319816034,-4.059811869558568,-1.7950580581745206,0.0830741569678979,-0.3277312634978686,0.5633335872398069,0.5825682986993342,0.019234711459527414,0.14389061841110642,0.8865821039748688,0.026270712505710385,225.67834865495874,221.6377714968597,-4.04057715809904,-1.8478610407234062,0.07484561990472416,-0.33737172504639396,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False
UNSW_NB15,6q_5k,QSVC,full,0.002,6,30,0.8598444444444444,0.8591555555555555,-0.0006888888888889019,-1.022250489285549,0.3151147595718764,-0.18663655080079614,0.8602864090846892,0.8596998467612521,-0.0005865623234372378,-0.9046405444161911,0.3731102222702749,-0.16516401087016735,0.7058252591245646,0.7043352494897026,-0.0014900096348620699,-1.1626069063732218,0.25446735609832427,-0.2122620093773034,224.9709819999989,221.63644226815862,-3.3345397318402927,-2.3249128497075295,0.027280510908867378,-0.4244690706728106,0.6624936171186467,0.7185846171341836,0.05609100001553694,0.4586036741160052,0.6499373470798768,0.08372919242269472,225.63347561711757,222.3550268852928,-3.2784487318247555,-2.3963108693426394,0.023232644862623303,-0.4375045059779261,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False
UNSW_NB15,6q_5k,QSVC,full,0.005,6,30,0.8444888888888887,0.8470888888888889,0.002599999999999991,1.7868071546609297,0.08442725061598076,0.3262248615064711,0.8462549749332154,0.8486430450462037,0.0023880701129880056,1.7892525305120799,0.08402428191443825,0.3266713240115556,0.6822193482317206,0.6854133590803079,0.0031940108485872106,1.4641365074513435,0.15391342696247198,0.2673135307993106,225.63749397348923,222.11858233834306,-3.518911635146166,-2.0990016195496333,0.04463652176894124,-0.383223511755737,0.6674013163894414,0.6267389491045227,-0.04066236728491882,-0.24535570379209423,0.8079090707489758,-0.044795617859828614,226.30489528987866,222.74532128744758,-3.5595740024310847,-2.284544932324998,0.029842972100922592,-0.4170989310228382,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False
UNSW_NB15,6q_5k,QSVC,full,0.008,6,30,0.7935111111111114,0.7984444444444445,0.004933333333333337,1.033587594331025,0.30987190594098946,0.18870641352420037,0.7958840760725938,0.8010528951393364,0.005168819066742403,1.1574026818441654,0.25655225384702074,0.21131185232100813,0.6169415267514556,0.620859976949959,0.003918450198503498,0.681200133058986,0.5011486897013837,0.12436955968397576,224.8409056488114,220.59262029392025,-4.248285354891171,-1.8651275246294932,0.07231136308955138,-0.34052413928778197,0.6657017228659242,0.7189541076775641,0.05325238481163978,0.3165440543162312,0.7538569878363671,0.05779277299771345,225.50660737167735,221.3115744015978,-4.195032970079532,-1.9233878877081256,0.0642987412976359,-0.3511609776433179,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False
UNSW_NB15,6q_5k,QSVC,full,0.01,6,30,0.7557555555555555,0.7556000000000002,-0.00015555555555553843,-0.020444147842418683,0.9838290847143614,-0.0037325736474210958,0.7581250937551125,0.7573881106381314,-0.0007369831169809826,-0.10534072217974921,0.9168307076322101,-0.01923249658724447,0.563609562775381,0.5697685938921353,0.006159031116754351,0.6960356483462314,0.4919476199475501,0.1270781418089881,225.88211327687216,221.82529537319206,-4.056817903680106,-2.5377886366953493,0.016788096373424734,-0.4633346941661086,0.5907385945320129,0.6125844283184657,0.02184583378645281,0.13246966634215226,0.8955276960375215,0.024185541480259892,226.47285187140417,222.43787980151052,-4.034972069893653,-2.7488194760603206,0.010184065782542766,-0.5018634778492564,1.0,False,1.0,False,1.0,False,0.7890405295509625,False,1.0,False,0.47865109177951,False
UNSW_NB15,6q_5k,QSVC,full,0.02,6,30,0.6439777777777778,0.6814888888888888,0.03751111111111111,3.400307388504267,0.0019789200604401875,0.6208083530450899,0.5079954667210161,0.5861700083088291,0.0781745415878131,3.7165387573233737,0.0008587055909248628,0.6785440377427434,0.018132716689614168,0.19327631079006435,0.1751435941004502,4.145828520990609,0.0002688885146350573,0.7569212668316122,222.57513487759667,222.86610277939278,0.29096790179610255,0.13917721012827955,0.8902721623469314,0.025410165825965055,0.7053046806404988,0.6109594766826679,-0.09434520395783087,-0.6544749179381457,0.5179632347462556,-0.11949022529202163,223.28043955823716,223.47706225607544,0.19662269783827166,0.09769954669719814,0.9228430156807325,0.017837415194694926,0.11675628356597106,False,0.050663629864566906,False,0.01586442236346838,True,1.0,False,1.0,False,1.0,False
UNSW_NB15,6q_5k,QSVC,full,0.05,6,30,0.6390888888888888,0.6390888888888888,0.0,0.0,1.0,0.0,0.4983679031570244,0.4983679031570244,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,225.8502328375665,224.34113221835966,-1.509100619206826,-1.3973665376551279,0.17290362182530297,-0.2551230579255353,0.6191794493546089,0.6091323788743466,-0.01004707048026224,-0.056821609152112366,0.955077003693849,-0.010374159028784647,226.46941228692108,224.950264597234,-1.5191476896870881,-1.5990928930413988,0.12063979574120007,-0.2919530830216567,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False
UNSW_NB15,6q_5k,QSVC,linear,0.0,6,30,0.8456888888888888,0.8478444444444444,0.0021555555555555586,1.0072240284711906,0.32215781082799033,0.18389310695163225,0.8475017225594107,0.8492220410830006,0.0017203185235898219,0.9477767056354186,0.3510746197001038,0.17303956038481752,0.6849798068792973,0.6889364856503966,0.003956678771099416,1.2747004157877497,0.2125345164676262,0.23272739059605496,155.97832564716228,154.93244293974712,-1.0458827074151487,-1.0984888035571583,0.28102782899223694,-0.20055569895837227,0.7423580077321579,0.7589748102550705,0.016616802522912623,0.12043043248730594,0.9049727019120766,0.02198748816113348,156.72068365489443,155.6914177500022,-1.029265904892236,-1.2280399223926624,0.22930622326104122,-0.22420838900378495,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False
UNSW_NB15,6q_5k,QSVC,linear,0.0003,6,30,0.8485777777777778,0.8458222222222224,-0.002755555555555552,-1.7761596319760378,0.08620106371781153,-0.3242808987211167,0.8498078159040443,0.8476124763793637,-0.0021953395246806654,-1.7293635219698662,0.09437680855924888,-0.3157371370364923,0.6903572789175038,0.6857529113305438,-0.004604367586960031,-1.9781477560203644,0.057482187759712644,-0.3611587160168598,87.2307433253775,86.53163773089958,-0.6991055944779266,-0.6490454295444673,0.5214164575146205,-0.1184989408690449,0.7614634760189801,0.7271804678874711,-0.03428300813150902,-0.243119466604887,0.8096243249590224,-0.04438733867604018,87.99220680139648,87.25881819878705,-0.7333886026094357,-0.74630207401444,0.46149247737762966,-0.13625549355019964,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False
UNSW_NB15,6q_5k,QSVC,linear,0.0005,6,30,0.8450888888888889,0.8461111111111113,0.0010222222222222206,0.8953673504811804,0.3779627139324713,0.16347096503739222,0.8468185571277328,0.8476649865458323,0.0008464294180994258,0.868811964075147,0.39208374840008686,0.15862263698477536,0.6852343614351774,0.6867658547284022,0.0015314932932249282,0.8788930633971822,0.3866838133280527,0.16046318548581825,86.98783057956025,85.35070828339084,-1.6371222961694003,-0.963549890142951,0.34323810589427095,-0.17591933670430632,0.7019803331233561,0.6794486199660847,-0.022531713157271347,-0.14377734577682508,0.8866707534652005,-0.026250031846729076,87.68981091268361,86.03015690335694,-1.6596540093266716,-1.0442431379974242,0.3049997955943553,-0.19065184073372307,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False
UNSW_NB15,6q_5k,QSVC,linear,0.001,6,30,0.8479111111111112,0.8467555555555556,-0.0011555555555555579,-0.5879321473565343,0.5611287300435281,-0.10734123312987506,0.8494007632960865,0.8482656805064495,-0.0011350827896370764,-0.6788814181244791,0.5025953950225643,-0.12394622219262458,0.6888926287697726,0.6878423451782311,-0.0010502835915415305,-0.3506998073401081,0.7283483761105314,-0.06402873179763101,88.0000394936651,86.55422312708882,-1.445816366576279,-1.1525560897710339,0.2585050778869888,-0.2104269897191815,0.6719613304361701,0.6950822609942406,0.02312093055807054,0.15888222235381594,0.8748629902817957,0.029007792389912176,88.67200082410127,87.24930538808306,-1.4226954360182087,-1.249834367875765,0.2213527584350223,-0.2281874921435889,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False
UNSW_NB15,6q_5k,QSVC,linear,0.002,6,30,0.8446666666666667,0.8447777777777777,0.00011111111111110258,0.058655801292535226,0.9536285893605332,0.010709035165487407,0.8464788252921036,0.8465862207529481,0.0001073954608444246,0.07026670136052095,0.9444637066522623,0.012828885792212091,0.683983689588415,0.6843743641170489,0.0003906745286337202,0.149467154624558,0.8822196618347649,0.027288844064661012,86.86037855738154,85.11294899474208,-1.7474295626394452,-1.1833897439269778,0.24626511609692728,-0.21605641902302267,0.7337419734336436,0.6414358934077123,-0.0923060800259312,-0.5965217736963921,0.555455164757193,-0.10890947716550196,87.59412053081518,85.7543848881498,-1.8397356426653764,-1.3447194673172176,0.18913960998772944,-0.24551106192199038,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False
UNSW_NB15,6q_5k,QSVC,linear,0.005,6,30,0.8460444444444446,0.8457111111111112,-0.00033333333333333365,-0.2844823941092662,0.7780623032787987,-0.051939141488906625,0.8477077259846382,0.8474226767472668,-0.0002850492373713524,-0.2651638031430957,0.792759070624867,-0.04841206547177759,0.6867930425657829,0.6860553233287885,-0.0007377192369942424,-0.41148220800002927,0.6837443070224902,-0.07512602911121626,87.3878088530153,86.26534360034081,-1.1224652526744952,-0.6549045151298133,0.5176905378896111,-0.11956865864952737,0.6717013954805832,0.701478262230133,0.029776866749549904,0.19012165362346423,0.8505383957730357,0.034711306119918385,88.05951024849588,86.96682186257094,-1.0926883859249452,-0.6678683169854039,0.5094983709291829,-0.12193551421863881,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False
UNSW_NB15,6q_5k,QSVC,linear,0.008,6,30,0.8459333333333333,0.8469555555555558,0.0010222222222222243,0.7182060372247822,0.4783769467065353,0.1311258825081361,0.8477103081097628,0.848376258594868,0.000665950485105149,0.6017300139083671,0.5520294645287022,0.10986036738183667,0.686370585184281,0.6879985355238153,0.0016279503395343526,0.8885586074832378,0.3815515373386862,0.1622278643279827,86.30291410901894,85.7620717444457,-0.5408423645732303,-0.3820916013625768,0.7051791977711638,-0.069760063033185,0.7185604454483837,0.6754661000333726,-0.043094345415011046,-0.32842588462238753,0.7449494349106569,-0.05996208849209023,87.02147455446733,86.43753784447908,-0.5839367099882414,-0.4355849561665274,0.6663629499442583,-0.07952656873410203,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False
UNSW_NB15,6q_5k,QSVC,linear,0.01,6,30,0.8469555555555556,0.8475111111111112,0.0005555555555555499,1.0655026794486628,0.2954396507734539,0.1945332842054096,0.8485555694330298,0.8489544612510631,0.0003988918180333423,0.8006232887523701,0.42986038627696777,0.1461731451045484,0.6875465724949023,0.6887360533802371,0.0011894808853347778,1.1753102839858063,0.24943033313010204,0.2145813182022763,87.77989447635288,86.19373589629929,-1.5861585800535978,-1.2607595009561428,0.2174449448514287,-0.23018213942087848,0.7422198973285655,0.6669290368289997,-0.0752908604995658,-0.4820073666151912,0.6334186549324056,-0.0880021025262676,88.52211437368145,86.86066493312828,-1.6614494405531635,-1.4514926610391194,0.1573757072083492,-0.26500509083477525,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False
UNSW_NB15,6q_5k,QSVC,linear,0.02,6,30,0.8441555555555557,0.8451111111111111,0.0009555555555555539,1.1475146459738044,0.2605478946626364,0.20950655222246917,0.84585257155722,0.8467454685646114,0.0008928970073913838,1.1506830435919893,0.259262677085201,0.210085019838011,0.6845324708747836,0.6859297478820447,0.0013972770072610626,1.1193219684959423,0.2721884223457517,0.20435929708543815,87.54712597488736,85.96887423225368,-1.5782517426336804,-1.1640485766689983,0.25389199915571736,-0.2125252211577974,0.7086778695074221,0.7376676188316196,0.02898974932419757,0.20620990171799136,0.8380678451215555,0.03764860491728906,88.25580384439478,86.7065418510853,-1.5492619933094829,-1.1901483594334628,0.24364019053259645,-0.21729036774649135,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False
