dataset,config,model,entanglement,optimization_level,optimization_name,optimization_description,noise_level,two_qubit_error,circuit_depth,total_gates,two_qubit_gates,component_count,aggregate_circuit_depth,aggregate_total_gates,aggregate_two_qubit_gates,accuracy_mean,accuracy_std,accuracy_ci95,accuracy_median,accuracy_min,accuracy_max,f1_mean,f1_std,mcc_mean,mcc_std,avg_kernel_time,kernel_time_std,avg_classifier_time,classifier_time_std,avg_time,time_std,kernel_fraction_of_total,classifier_fraction_of_total,n_runs,num_qubits
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.0,0.0,237,604,474,1,237,604,474,0.9701333333333333,0.0041311822359545785,0.00295526974238646,0.9693333333333334,0.964,0.9773333333333334,0.9676977166669692,0.004833126518525061,0.8236324713310188,0.026008147199258883,291.50369082617107,69.06146467657834,0.4605050529818982,0.30462111131598246,291.96419587915295,69.20406437589021,0.9984227345014164,0.001577265498583621,10,10
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.002,0.006,237,604,474,1,237,604,474,0.8204,0.01828228583379666,0.013078359428459236,0.8226666666666667,0.796,0.8453333333333334,0.8529296391312021,0.013827208705987654,0.5359900152449153,0.024364471524314042,1606.5287520747866,310.25739833215385,0.05711857876740396,0.028147621627261508,1606.585870653554,310.26663604712866,0.9999644472294879,3.555277051214717e-05,10,10
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.01,0.03,237,604,474,1,237,604,474,0.8236000000000001,0.022905495593744784,0.016385604458070822,0.8180000000000001,0.8013333333333333,0.872,0.8524604203249775,0.016534601114287836,0.45351786678171074,0.02667833487542005,1598.9971193528968,309.73247874574054,0.07641960131004452,0.041018050547559595,1599.0735389542067,309.74569749524306,0.9999522100769925,4.77899230075578e-05,10,10
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.05,0.15000000000000002,237,604,474,1,237,604,474,0.9,0.0,0.0,0.9,0.9,0.9,0.8526315789473683,0.0,0.0,0.0,1599.40978558145,307.5072534012382,0.07088128826580942,0.04408141340590085,1599.4806668697158,307.51924731874294,0.9999556848108677,4.43151891323129e-05,10,10
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.0,0.0,195,592,372,1,195,592,372,0.9701333333333333,0.0041311822359545785,0.00295526974238646,0.9693333333333334,0.964,0.9773333333333334,0.9676977166669692,0.004833126518525061,0.8236324713310188,0.026008147199258883,297.5202254618518,69.6536491020262,0.3399435575120151,0.3694183875111114,297.8601690193638,69.7571247677497,0.9988587142798206,0.0011412857201793755,10,10
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.002,0.006,195,592,372,1,195,592,372,0.9329333333333334,0.012204836118988148,0.008730813804174101,0.9346666666666666,0.9146666666666666,0.948,0.9398779984494559,0.009912832864194464,0.7393046228667463,0.031074244161081635,1664.4411745509599,335.21804209553085,0.05126918624155223,0.021097109254777435,1664.4924437372015,335.22655721647976,0.999969198306406,3.080169359401843e-05,10,10
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.01,0.03,195,592,372,1,195,592,372,0.8173333333333332,0.017350418929727232,0.012411742003171198,0.8186666666666667,0.7946666666666666,0.8413333333333334,0.8506094746370827,0.013122918228682749,0.531831773232955,0.022833344452632933,1732.3361409378006,341.50645046557435,0.058513012574985625,0.02148373610455648,1732.3946539503754,341.51490475441204,0.9999662242016036,3.3775798396490394e-05,10,10
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.05,0.15000000000000002,195,592,372,1,195,592,372,0.9,0.0,0.0,0.9,0.9,0.9,0.8526315789473683,0.0,0.0,0.0,1692.5800639458,332.6293018272888,0.15219299516174942,0.3282792377722901,1692.7322569409619,332.6189472009869,0.9999100903320429,8.990966795704982e-05,10,10
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.0,0.0,237,604,474,2,239,624,474,0.9805333333333334,0.008893332222777418,0.00636190662281246,0.9773333333333334,0.9666666666666667,0.9946666666666667,0.9809406263578682,0.008540890320780576,0.8977349271011514,0.04453560077566526,345.5123965109233,79.72759687835112,1.443903326173313,1.2127840061744406,346.9562998370966,80.19379476150625,0.9958383712102901,0.004161628789709991,10,10
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.002,0.006,237,604,474,2,239,624,474,0.9801333333333334,0.008181883027551965,0.005852966527748086,0.978,0.968,0.9933333333333333,0.9809388008843024,0.007634667677682354,0.9030458653507107,0.03656634559998424,2320.8068226509495,412.7215084986846,0.11331280472222716,0.039020132627903825,2320.9201354556717,412.73917675264335,0.9999511776372693,4.882236273071076e-05,10,10
