dataset,config,model,entanglement,optimization_level,optimization_name,optimization_description,noise_level,two_qubit_error,circuit_depth,total_gates,two_qubit_gates,component_count,aggregate_circuit_depth,aggregate_total_gates,aggregate_two_qubit_gates,accuracy_mean,accuracy_std,accuracy_ci95,accuracy_median,accuracy_min,accuracy_max,f1_mean,f1_std,mcc_mean,mcc_std,avg_kernel_time,kernel_time_std,avg_classifier_time,classifier_time_std,avg_time,time_std,kernel_fraction_of_total,classifier_fraction_of_total,n_runs,num_qubits
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,0.0,124,204,150,1,124,204,150,0.9955111111111112,0.0016510378329783707,0.0006165076588539184,0.996,0.9906666666666667,0.9993333333333333,0.9954661294470643,0.0016856167657547934,0.9737679007331258,0.009740526648351957,277.82177790419274,2.6245268802991513,0.4346424379075567,0.34369957518281574,278.25642034210034,2.4542049920304527,0.9984379787629941,0.00156202123700574,30,6
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0003,0.0009,124,204,150,1,124,204,150,0.9956666666666667,0.0016678156958735855,0.0006227726158206776,0.996,0.9913333333333333,0.9993333333333333,0.995624933068672,0.0016987922311063458,0.9746841932606124,0.00982234758110142,223.27888991577007,4.133930601935946,0.5608817107509821,0.4449419745939917,223.83977162652107,3.8714802313711734,0.9974942714305175,0.002505728569482366,30,6
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0005,0.0015,124,204,150,1,124,204,150,0.9956666666666667,0.0016678156958735855,0.0006227726158206776,0.996,0.9913333333333333,0.9993333333333333,0.995624933068672,0.0016987922311063458,0.9746841932606124,0.00982234758110142,220.06922595833893,10.467490333308417,0.6087628288233342,0.5425745187935711,220.67798878716226,10.112613429885688,0.9972413976030456,0.0027586023969543645,30,6
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.001,0.003,124,204,150,1,124,204,150,0.995688888888889,0.0016950080715759245,0.0006329264157809628,0.996,0.9913333333333333,0.9993333333333333,0.9956474037493845,0.0017261750481605647,0.9748141286887734,0.00998070029591107,222.91519251293892,4.195440747182109,0.6561493161328448,0.5244730743341832,223.57134182907174,3.8317227884755174,0.9970651456901195,0.002934854309880621,30,6
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.002,0.006,124,204,150,1,124,204,150,0.9958444444444444,0.0017567239915908556,0.0006559715190502101,0.996,0.9913333333333333,0.9993333333333333,0.9958066516879185,0.0017862380395577931,0.975736247783998,0.010325499148624125,222.45285296436631,6.266285176992843,0.670256609042796,0.6428050393180589,223.12310957340912,5.828266945308,0.9969960233598202,0.003003976640179787,30,6
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.005,0.015,124,204,150,1,124,204,150,0.9937333333333334,0.002273283108623743,0.0008488578633486358,0.994,0.9893333333333333,0.9973333333333333,0.9936530693699803,0.0023246227020031923,0.963310411635576,0.01342947465291632,222.56696593849145,5.396109200504424,0.5365910428420951,0.5258620530741615,223.10355698133353,5.005200182798647,0.9975948790323994,0.0024051209676006656,30,6
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.008,0.024,124,204,150,1,124,204,150,0.9845333333333333,0.002957683674821648,0.0011044172347676518,0.9846666666666667,0.9773333333333334,0.9913333333333333,0.9840723219285206,0.0031375887930105237,0.9076017228320148,0.018332166681966303,223.70782286213944,3.741323547473128,0.6094508741904671,0.4708434539634825,224.3172737363299,3.467658182423733,0.9972830854082739,0.0027169145917261646,30,6
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.01,0.03,124,204,150,1,124,204,150,0.9753111111111111,0.015750432295553257,0.005881308075752553,0.978,0.8973333333333333,0.9873333333333333,0.9752937955651644,0.013320521552119798,0.8610707059606816,0.05425287353774727,224.1556836210036,6.096611113098017,0.5612197815634621,0.5703482185036504,224.71690340256706,5.7056678723557575,0.9975025475473108,0.0024974524526891954,30,6
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.02,0.06,124,204,150,1,124,204,150,0.09533333333333337,2.823006427041851e-17,1.0541279239649844e-17,0.09533333333333334,0.09533333333333334,0.09533333333333334,0.016594846824913766,7.057516067604627e-18,0.0,0.0,225.4442957145317,2.7120523874584825,0.6699193028616719,0.5958698353917341,226.11421501739338,2.2605644152351645,0.9970372525990454,0.0029627474009546,30,6
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.05,0.15000000000000002,124,204,150,1,124,204,150,0.09533333333333337,2.823006427041851e-17,1.0541279239649844e-17,0.09533333333333334,0.09533333333333334,0.09533333333333334,0.016594846824913766,7.057516067604627e-18,0.0,0.0,222.93091873440426,5.230830241489333,0.6552029678093579,0.607942242013719,223.5861217022136,4.876358416814695,0.9970695722846251,0.0029304277153749257,30,6
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,QSVC,full,3,L3,qiskit_heavy,0.0,0.0,124,196,142,1,124,196,142,0.9955111111111112,0.0016510378329783707,0.0006165076588539184,0.996,0.9906666666666667,0.9993333333333333,0.9954661294470643,0.0016856167657547934,0.9737679007331258,0.009740526648351957,273.2286427855414,2.7313498134116276,0.45950318850421656,0.37010036739391816,273.6881459740456,2.551145663744182,0.9983210701842097,0.0016789298157903858,30,6
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,QSVC,full,3,L3,qiskit_heavy,0.0003,0.0009,124,196,142,1,124,196,142,0.9956444444444446,0.0017307968473198063,0.0006462901642707877,0.996,0.9906666666666667,0.9993333333333333,0.9956016923356401,0.0017656121609215326,0.9745508075944168,0.010203930017751241,219.16848619147203,9.266674070680844,0.5478226067265496,0.5386679885148798,219.71630879819858,8.96038383728678,0.9975066820950933,0.0024933179049066614,30,6
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,QSVC,full,3,L3,qiskit_heavy,0.0005,0.0015,124,196,142,1,124,196,142,0.9956666666666667,0.00172206772264603,0.0006430306555490731,0.996,0.9906666666666667,0.9993333333333333,0.9956244599417403,0.0017566009362274344,0.9746820676503504,0.010152252703157644,221.509027597735,4.989702234391861,0.48160769540894155,0.5093567280512306,221.99063529314395,4.648654420194099,0.9978305044500054,0.002169495549994562,30,6
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,QSVC,full,3,L3,qiskit_heavy,0.001,0.003,124,196,142,1,124,196,142,0.9957333333333335,0.001666436765752865,0.0006222577148514401,0.996,0.9913333333333333,0.9993333333333333,0.9956930118642885,0.00169694574109001,0.9750769733979427,0.009812622713511012,220.0312444748939,7.868545884806408,0.6314790140255354,0.5851398728482826,220.66272348891943,7.5233851365997095,0.9971382614877531,0.0028617385122469276,30,6
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,QSVC,full,3,L3,qiskit_heavy,0.002,0.006,124,196,142,1,124,196,142,0.9958888888888888,0.0017514817664004432,0.0006540140399938423,0.996,0.9913333333333333,0.9993333333333333,0.9958510453331708,0.0017822565113755123,0.9759898150528702,0.010306820704709592,220.98268985310182,6.153329158524718,0.6409695511645016,0.5677754622403717,221.6236594042663,5.767721704401254,0.9971078469108964,0.002892153089103639,30,6
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,QSVC,full,3,L3,qiskit_heavy,0.005,0.015,124,196,142,1,124,196,142,0.9944222222222222,0.0022792304497718774,0.0008510786370307432,0.995,0.9893333333333333,0.9973333333333333,0.9943608363466736,0.0023266223851952407,0.9674015785974214,0.013432799065454975,220.17568962100583,10.900531354669141,0.595791296067182,0.5957394383589787,220.771480917073,10.698266422649917,0.9973013212866432,0.002698678713356891,30,6
