dataset,config,model,entanglement,optimization_level,optimization_name,optimization_description,noise_level,two_qubit_error,circuit_depth,total_gates,two_qubit_gates,component_count,aggregate_circuit_depth,aggregate_total_gates,aggregate_two_qubit_gates,accuracy_mean,accuracy_std,accuracy_ci95,accuracy_median,accuracy_min,accuracy_max,f1_mean,f1_std,mcc_mean,mcc_std,avg_kernel_time,kernel_time_std,avg_classifier_time,classifier_time_std,avg_time,time_std,kernel_fraction_of_total,classifier_fraction_of_total,n_runs,num_qubits
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.0,0.0,237,604,474,1,237,604,474,0.8728,0.01922138726510295,0.013750152122767725,0.8793333333333333,0.8346666666666667,0.9,0.8739398479065963,0.0190734816111294,0.7326705085883518,0.04132430369931083,295.13788781149196,69.72331998048183,0.3808779828133993,0.4207276895217342,295.51876579430535,69.82686504256054,0.9987111546646128,0.0012888453353872894,10,10
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.002,0.006,237,604,474,1,237,604,474,0.7530666666666666,0.021653158182104976,0.015489736242026724,0.754,0.7186666666666667,0.784,0.756921328562022,0.022022045201833294,0.5616191356866158,0.029413144651217478,1701.344524039107,329.6760308606483,0.05697190201026388,0.017151655235116692,1701.4014959411172,329.6843490502227,0.9999665147220417,3.3485277958304785e-05,10,10
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.01,0.03,237,604,474,1,237,604,474,0.6386666666666667,0.0,0.0,0.6386666666666667,0.6386666666666667,0.6386666666666667,0.4978378085164089,5.851389114294502e-17,0.0,0.0,1659.929800298909,351.28736862057804,0.08324600919731892,0.08756213629221028,1660.0130463081064,351.2937551417495,0.999949852195811,5.0147804188924464e-05,10,10
UNSW_NB15,10q_2p5k,QSVC,full,0,L0,baseline_unoptimized,0.05,0.15000000000000002,237,604,474,1,237,604,474,0.6386666666666667,0.0,0.0,0.6386666666666667,0.6386666666666667,0.6386666666666667,0.4978378085164089,5.851389114294502e-17,0.0,0.0,1693.1789440956957,325.3439741015517,0.07409328989451751,0.05196786653207245,1693.2530373855902,325.3555317948364,0.9999562420451884,4.37579548115967e-05,10,10
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.0,0.0,195,592,372,1,195,592,372,0.8700000000000001,0.02235736683627686,0.015993496766045338,0.8726666666666667,0.8346666666666667,0.9,0.8710875522999947,0.02206312533204862,0.7257711344574869,0.046815237273853325,301.0588874320907,70.84126963526153,0.39819789680768736,0.3742903526379027,301.4570853288984,70.95476562213221,0.9986790892760963,0.0013209107239036757,10,10
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.002,0.006,195,592,372,1,195,592,372,0.8352,0.02881152032961302,0.020610520039812126,0.8353333333333334,0.7866666666666666,0.876,0.8376475340923923,0.0276524285805813,0.6703960296259026,0.044056041886335134,1703.9030665163941,336.13154486316495,0.14251039799419232,0.23027863976189042,1704.0455769143882,336.1365313727608,0.999916369374197,8.363062580300462e-05,10,10
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.01,0.03,195,592,372,1,195,592,372,0.6386666666666667,0.0,0.0,0.6386666666666667,0.6386666666666667,0.6386666666666667,0.4978378085164089,5.851389114294502e-17,0.0,0.0,1670.1099724920932,357.2712426542985,0.0610274325881619,0.02872860834861297,1670.1709999246814,357.27281982586385,0.9999634603686742,3.6539631325722945e-05,10,10
UNSW_NB15,10q_2p5k,QSVC,full,3,L3,qiskit_heavy,0.05,0.15000000000000002,195,592,372,1,195,592,372,0.6386666666666667,0.0,0.0,0.6386666666666667,0.6386666666666667,0.6386666666666667,0.4978378085164089,5.851389114294502e-17,0.0,0.0,1659.8358917515957,314.6099425464189,1.2247502106067258,3.4189719464860318,1661.0606419622025,314.5839431692754,0.9992626697787746,0.0007373302212253579,10,10
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.0,0.0,237,604,474,2,239,624,474,0.8845333333333333,0.014889883880517964,0.010651581263292988,0.8826666666666667,0.8626666666666667,0.9133333333333333,0.8834981161580338,0.015298864356458433,0.7476215316092956,0.033502826249064664,354.8140750275867,82.94523814751804,2.1167932080104945,0.8653943970260521,356.93086823559713,83.64510576600944,0.9940694588325344,0.005930541167465729,10,10
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.002,0.006,237,604,474,2,239,624,474,0.8354666666666667,0.023189610274675986,0.016588847857167632,0.84,0.7813333333333333,0.8586666666666667,0.8346090099492883,0.021829816586372456,0.6445394845641864,0.04533400759832895,2386.9081501984156,420.76745586242015,0.11788537128595636,0.0406748733570206,2387.0260355697014,420.78259668544337,0.9999506141242159,4.9385875784057446e-05,10,10
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.01,0.03,237,604,474,2,239,624,474,0.8648,0.014197200210857084,0.010156065216535733,0.862,0.8426666666666667,0.892,0.8556153532421096,0.016464081623966446,0.718289637187284,0.029305994646549594,2372.691656411794,443.2465216654083,0.12605885888333432,0.05069267225802209,2372.8177152706776,443.2618832336079,0.9999468737703398,5.312622966023087e-05,10,10
UNSW_NB15,10q_2p5k,QVE,full,0,L0,baseline_unoptimized,0.05,0.15000000000000002,237,604,474,2,239,624,474,0.8356,0.01140153769139912,0.008156168726428716,0.8340000000000001,0.82,0.8613333333333333,0.8206974205663066,0.013918029236745606,0.6580216076341717,0.023607375851379436,2258.3140063593164,416.0770011381912,0.20516122697736136,0.21635700135056965,2258.519167586294,416.113077845765,0.9999091611751975,9.083882480245656e-05,10,10
UNSW_NB15,10q_2p5k,QVE,full,3,L3,qiskit_heavy,0.0,0.0,195,592,372,2,197,612,372,0.8849333333333333,0.017509644608643207,0.012525645192194422,0.8906666666666667,0.852,0.9133333333333333,0.8838691928102247,0.017748372917388948,0.7485510447079069,0.03900216180007508,360.2555322893953,84.72331733279422,1.884932931314688,1.0934747246993752,362.14046522071004,85.3703694243025,0.9947950226159733,0.005204977384026657,10,10
UNSW_NB15,10q_2p5k,QVE,full,3,L3,qiskit_heavy,0.002,0.006,195,592,372,2,197,612,372,0.8698666666666668,0.019128674100405033,0.013683829120125038,0.8746666666666667,0.8213333333333334,0.8893333333333333,0.8670217561948814,0.019231175231191333,0.7161749052797541,0.044028185882303124,2374.776027956605,436.47294002624346,0.2243388522125315,0.32481625203466735,2375.0003668088175,436.48863489539497,0.9999055415504993,9.445844950077446e-05,10,10
UNSW_NB15,10q_2p5k,QVE,full,3,L3,qiskit_heavy,0.01,0.03,195,592,372,2,197,612,372,0.8684,0.014552416964414281,0.010410171974315631,0.866,0.848,0.8986666666666666,0.859793680625,0.01669697940678539,0.7256955219993839,0.03001490131092969,2469.6162918144023,455.34609899362283,0.1042363109998405,0.03241779429071051,2469.720528125402,455.3559560469861,0.9999577942889438,4.22057110562867e-05,10,10
UNSW_NB15,10q_2p5k,QVE,full,3,L3,qiskit_heavy,0.05,0.15000000000000002,195,592,372,2,197,612,372,0.8408,0.010670369727589436,0.007633122674080025,0.8433333333333333,0.82,0.852,0.8271506885732614,0.013053137599785719,0.6685667121451104,0.02237983145485673,2515.4962690348098,489.23125913232053,0.20628484620247037,0.29075487442780407,2515.702553881012,489.21242726878353,0.9999180010983874,8.199890161268535e-05,10,10
