dataset,config,model,entanglement,optimization_level,optimization_name,optimization_description,noise_level,two_qubit_error,circuit_depth,total_gates,two_qubit_gates,component_count,aggregate_circuit_depth,aggregate_total_gates,aggregate_two_qubit_gates,accuracy_mean,accuracy_std,accuracy_ci95,accuracy_median,accuracy_min,accuracy_max,f1_mean,f1_std,mcc_mean,mcc_std,avg_kernel_time,kernel_time_std,avg_classifier_time,classifier_time_std,avg_time,time_std,kernel_fraction_of_total,classifier_fraction_of_total,n_runs,num_qubits
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0,0.0,124,204,150,1,124,204,150,0.8622444444444444,0.015936159354376193,0.00595065969927907,0.863,0.838,0.894,0.8628291504257427,0.014783771465744985,0.7095894232691012,0.029639238413597915,277.4638144842659,5.159588417387819,0.5680366704550882,0.4975613275320074,278.03185115472104,4.791168153578947,0.9979569367031297,0.0020430632968701967,30,6
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0003,0.0009,124,204,150,1,124,204,150,0.8612666666666666,0.016444356425155345,0.006140423604190495,0.8613333333333333,0.836,0.8973333333333333,0.8619032537239337,0.015195137236500771,0.7080681457891767,0.030823320042402833,225.5860475285134,4.902612737254037,0.5577110827434808,0.4553163518960263,226.14375861125689,4.603736855225842,0.9975338205831177,0.0024661794168822984,30,6
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.0005,0.0015,124,204,150,1,124,204,150,0.8609555555555556,0.01647167156787987,0.006150623246110256,0.861,0.8366666666666667,0.896,0.8616093028785533,0.015184874722226219,0.7076544362447161,0.030539263326357143,222.75914913575787,7.365044057755677,0.5877704779462268,0.5247323149980011,223.34691961370407,7.0090567906117425,0.9973683519837085,0.002631648016291524,30,6
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.001,0.003,124,204,150,1,124,204,150,0.8601111111111112,0.01570521872737165,0.00586442505192881,0.8593333333333333,0.8353333333333334,0.8926666666666667,0.8607103160966925,0.014228201680995613,0.7060809520241025,0.02909515778874545,225.11501506771893,7.147678066119245,0.5633335872398069,0.5044646426050714,225.67834865495874,6.849478506952107,0.9975038208556679,0.0024961791443320583,30,6
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.002,0.006,124,204,150,1,124,204,150,0.8598444444444444,0.017092655619227137,0.0063825025017122325,0.8573333333333333,0.8326666666666667,0.8946666666666667,0.8602864090846892,0.015256407084256208,0.7058252591245646,0.030870137010894926,224.9709819999989,5.369512302881156,0.6624936171186467,0.5714264540147932,225.63347561711757,5.095385472543141,0.9970638504977742,0.0029361495022256663,30,6
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.005,0.015,124,204,150,1,124,204,150,0.8444888888888887,0.015780033296230407,0.005892361271059581,0.8400000000000001,0.8133333333333334,0.88,0.8462549749332154,0.014242234265432129,0.6822193482317206,0.024659741693068036,225.63749397348923,6.4819458293597,0.6674013163894414,0.5891191100372959,226.30489528987866,6.108287429950621,0.9970508754769333,0.002949124523066782,30,6
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.008,0.024,124,204,150,1,124,204,150,0.7935111111111114,0.035086727068043576,0.013101599205964005,0.7853333333333333,0.742,0.858,0.7958840760725938,0.03296367679013461,0.6169415267514556,0.04019119567603031,224.8409056488114,5.392302387842846,0.6657017228659242,0.5766750123463031,225.50660737167735,5.107611837806471,0.9970479724269509,0.00295202757304899,30,6
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.01,0.03,124,204,150,1,124,204,150,0.7557555555555555,0.03829807807401663,0.014300737378878641,0.7426666666666666,0.7193333333333334,0.8633333333333333,0.7581250937551125,0.03671798021589255,0.563609562775381,0.03872912679091254,225.88211327687216,4.704675386001001,0.5907385945320129,0.5839441152880873,226.47285187140417,4.265333056673537,0.9973915699402794,0.002608430059720563,30,6
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.02,0.06,124,204,150,1,124,204,150,0.6439777777777778,0.026825665832964238,0.010016868244650931,0.6393333333333333,0.6386666666666667,0.786,0.5079954667210161,0.052791863091215155,0.018132716689614168,0.09931697959752082,222.57513487759667,8.58346631539179,0.7053046806404988,0.5816749628596333,223.28043955823716,8.275726033998394,0.996841171210358,0.003158828789642084,30,6
UNSW_NB15,6q_5k,QSVC,full,0,L0,baseline_unoptimized,0.05,0.15000000000000002,124,204,150,1,124,204,150,0.6390888888888888,0.00032675501190233797,0.00012201232666079897,0.6393333333333333,0.6386666666666667,0.6393333333333333,0.4983679031570244,0.0004102367698507486,0.0,0.0,225.8502328375665,4.3040795985999285,0.6191794493546089,0.6235682263237965,226.46941228692108,3.8301789601862897,0.9972659466764098,0.0027340533235903457,30,6
UNSW_NB15,6q_5k,QSVC,full,3,L3,qiskit_heavy,0.0,0.0,124,196,142,1,124,196,142,0.8625111111111111,0.014844980144967188,0.005543206686182895,0.8616666666666667,0.838,0.894,0.8631294645839613,0.013716986867782562,0.7104639691764348,0.02754740784502194,274.687198319907,4.572791948294143,0.5046236351287613,0.4960664937157738,275.1918219550358,4.185244112877426,0.9981662840430947,0.0018337159569051906,30,6
UNSW_NB15,6q_5k,QSVC,full,3,L3,qiskit_heavy,0.0003,0.0009,124,196,142,1,124,196,142,0.8607111111111112,0.015743084191869334,0.005878564248743442,0.8613333333333333,0.8346666666666667,0.8926666666666667,0.8612791353844985,0.014267664226905187,0.7070481545539012,0.029025210570406385,220.02391059372263,9.06854509753305,0.6642580292963733,0.5404914477287516,220.688168623019,8.73447874323413,0.9969900605300184,0.0030099394699815707,30,6
UNSW_NB15,6q_5k,QSVC,full,3,L3,qiskit_heavy,0.0005,0.0015,124,196,142,1,124,196,142,0.8612444444444443,0.016741197340036137,0.006251265823447871,0.8606666666666667,0.836,0.8973333333333333,0.8618777022632091,0.01541330396681993,0.7081251056632728,0.03060430656137213,223.2004626937521,5.094894018078056,0.6184313530257592,0.5991134204856404,223.81889404677787,4.838612857013561,0.9972369117644888,0.002763088235511109,30,6
UNSW_NB15,6q_5k,QSVC,full,3,L3,qiskit_heavy,0.001,0.003,124,196,142,1,124,196,142,0.8607111111111111,0.01609829322319209,0.006011201480871258,0.8593333333333333,0.8366666666666667,0.894,0.8613630087231471,0.01470998304336573,0.7072400838026323,0.02942976501606001,221.05520319816034,9.05565054750524,0.5825682986993342,0.5131773911495323,221.6377714968597,8.71408594502301,0.9973715297046848,0.0026284702953151126,30,6
UNSW_NB15,6q_5k,QSVC,full,3,L3,qiskit_heavy,0.002,0.006,124,196,142,1,124,196,142,0.8591555555555555,0.01659703461796215,0.006197434578333693,0.856,0.8333333333333334,0.8946666666666667,0.8596998467612521,0.014955328380936467,0.7043352494897026,0.030529772287843867,221.63644226815862,5.61201976099291,0.7185846171341836,0.599298504814382,222.3550268852928,5.139014324523728,0.9967683005542983,0.0032316994457016832,30,6
UNSW_NB15,6q_5k,QSVC,full,3,L3,qiskit_heavy,0.005,0.015,124,196,142,1,124,196,142,0.8470888888888889,0.01416647960210054,0.005289850419682787,0.843,0.8246666666666667,0.8786666666666667,0.8486430450462037,0.012671586268564699,0.6854133590803079,0.02208585863209285,222.11858233834306,5.6943813024137535,0.6267389491045227,0.5234234138524159,222.74532128744758,5.362549685506195,0.9971862980309439,0.00281370196905609,30,6
UNSW_NB15,6q_5k,QSVC,full,3,L3,qiskit_heavy,0.008,0.024,124,196,142,1,124,196,142,0.7984444444444445,0.0307840498747681,0.011494953137505825,0.7976666666666667,0.7473333333333333,0.8666666666666667,0.8010528951393364,0.028829327723021117,0.620859976949959,0.035531616542653334,220.59262029392025,10.034988426525567,0.7189541076775641,0.6603513415636575,221.3115744015978,9.7123520553511,0.9967513940035828,0.00324860599641721,30,6
UNSW_NB15,6q_5k,QSVC,full,3,L3,qiskit_heavy,0.01,0.03,124,196,142,1,124,196,142,0.7556000000000002,0.044099017808195105,0.016466843874584785,0.7373333333333334,0.7106666666666667,0.8626666666666667,0.7573881106381314,0.041327583235520146,0.5697685938921353,0.05258553022527161,221.82529537319206,6.577236297066695,0.6125844283184657,0.5017034416678436,222.43787980151052,6.231510519191519,0.9972460426755322,0.0027539573244678346,30,6
UNSW_NB15,6q_5k,QSVC,full,3,L3,qiskit_heavy,0.02,0.06,124,196,142,1,124,196,142,0.6814888888888888,0.05779702449839832,0.021581763634060173,0.6393333333333333,0.6386666666666667,0.8293333333333334,0.5861700083088291,0.1151179760892059,0.19327631079006435,0.2369721097800768,222.86610277939278,6.597014059638662,0.6109594766826679,0.5477123635227407,223.47706225607544,6.314223458873384,0.9972661199743955,0.0027338800256045447,30,6
UNSW_NB15,6q_5k,QSVC,full,3,L3,qiskit_heavy,0.05,0.15000000000000002,124,196,142,1,124,196,142,0.6390888888888888,0.00032675501190233797,0.00012201232666079897,0.6393333333333333,0.6386666666666667,0.6393333333333333,0.4983679031570244,0.0004102367698507486,0.0,0.0,224.34113221835966,3.6224696099210596,0.6091323788743466,0.6120337627861392,224.950264597234,3.2750839216962446,0.9972921464219436,0.002707853578056367,30,6
