dataset,map,map_type,entanglement,noise_level,num_qubits,n_runs,offdiag_var_mean,offdiag_var_ci95,offdiag_mean_mean,offdiag_mean_ci95,kta_mean,kta_ci95
IoT,Pauli-full,Pauli,full,0.0,10,5,0.014873572762702611,0.0008447411309110989,0.026405901167424518,0.0011676848310792336,0.20206919736775433,0.005971548848588579
IoT,Pauli-full,Pauli,full,0.002,10,5,0.008649814185234533,0.0013108649660940916,0.24274727125772905,0.004321311515895408,0.6368590041475238,0.004534824225229634
IoT,Pauli-full,Pauli,full,0.005,10,5,0.0016558269349380528,0.00021455794574124304,0.7637526992084981,0.0027239164440841838,0.6642149799171737,0.0013527129385084982
IoT,Pauli-full,Pauli,full,0.01,10,5,8.430213267740313e-05,3.081163104696371e-06,0.964523097288339,0.0007181741540903255,0.6633762394981338,0.00022122547635410953
IoT,Pauli-full,Pauli,full,0.02,10,5,2.0824947732678395e-07,4.735327289899785e-08,0.9987627702865401,9.70845433047892e-05,0.6630849944570503,1.6457673913686996e-05
IoT,Pauli-full,Pauli,full,0.05,10,5,2.604735724371109e-15,1.6576115132365826e-15,0.9999999854453302,8.349856408870052e-09,0.6630612239929451,2.8638273915480654e-09
IoT,Z-linear,Z,linear,0.0,10,5,0.04681632169925274,0.0033279602599665375,0.09100636597762636,0.009939285941970195,0.34926857759336316,0.02078423229987615
IoT,Z-linear,Z,linear,0.002,10,5,0.045460099007611894,0.005826059014573179,0.09586802904245662,0.01800269089130859,0.36617623847405345,0.03916693383341296
IoT,Z-linear,Z,linear,0.005,10,5,0.047726356210666995,0.004646411653616996,0.09298814989060786,0.009963753832467422,0.3529452661467364,0.01929255911450732
IoT,Z-linear,Z,linear,0.01,10,5,0.04593503438611437,0.005739668776313349,0.08863396676513795,0.014023593184225533,0.34458723851624623,0.02764025996646413
IoT,Z-linear,Z,linear,0.02,10,5,0.04507025554841028,0.006550388845063512,0.08645153540567518,0.017410144956242494,0.33736512118676093,0.03701646024167584
IoT,Z-linear,Z,linear,0.05,10,5,0.0450533288155377,0.006335478308371806,0.10910524620145134,0.024893256829675386,0.39030387754774376,0.044869372349101495
IoT,ZZ-full,ZZ,full,0.0,10,5,0.009724034243095087,0.0008700395042285723,0.015992368452297668,0.0013035752903520533,0.15948329065432557,0.005873650079471966
IoT,ZZ-full,ZZ,full,0.002,10,5,0.00037025128601525574,0.0002341381988141169,0.9621362395215568,0.0056723465877271655,0.6631267635808673,0.0012323312896121467
IoT,ZZ-full,ZZ,full,0.005,10,5,8.83699935514403e-06,7.18138090818838e-07,0.9957739312133406,0.00042827631765768526,0.6631686621406253,0.0001271669448694282
IoT,ZZ-full,ZZ,full,0.01,10,5,5.31012912730085e-08,1.755223546780602e-08,0.9996089287926792,4.807664517186926e-05,0.6630639337609555,1.0232533641856513e-05
IoT,ZZ-full,ZZ,full,0.02,10,5,2.236262363966181e-12,1.1204335102330693e-13,0.9999962075885988,1.7474276536499358e-07,0.6630613118607414,5.5926078538752704e-08
IoT,ZZ-full,ZZ,full,0.05,10,5,2.3791026976280486e-16,2.1780901803926634e-17,0.9999999979710441,1.891909970827856e-10,0.6630612248789516,6.312774763554122e-10
IoT,ZZ-linear,ZZ,linear,0.0,10,5,0.01962092516904677,0.0016487007869660304,0.027107057291554538,0.0026637491942280438,0.18931650012492604,0.009144126776968572
IoT,ZZ-linear,ZZ,linear,0.002,10,5,0.021561571046060258,0.0016548564661650817,0.03157842425751847,0.002388753185568597,0.20469768608854114,0.007380609794638929
IoT,ZZ-linear,ZZ,linear,0.005,10,5,0.02007816966511041,0.0017305693080558514,0.03323703477948217,0.002479889618877276,0.21591354928785136,0.008332006573327291
