dataset,num_qubits,seed,C,accuracy,mcc,f1_score,kernel_time
UNSW-NB15,6,42,0.01,0.6416666666666667,0.0,0.5016074450084602,7.696690320968628
UNSW-NB15,6,42,0.1,0.7666666666666667,0.5946511994924231,0.7705827505827506,7.696690320968628
UNSW-NB15,6,42,0.5,0.8833333333333333,0.7463002114164905,0.8833333333333333,7.696690320968628
UNSW-NB15,6,42,1.0,0.8666666666666667,0.7052936225181193,0.8641666666666665,7.696690320968628
UNSW-NB15,6,42,2.0,0.8583333333333333,0.686795108286702,0.8561883686621632,7.696690320968628
UNSW-NB15,6,42,5.0,0.85,0.6708802278208281,0.849175824175824,7.696690320968628
UNSW-NB15,6,42,10.0,0.8416666666666667,0.6513003047617778,0.8403179597370374,7.696690320968628
UNSW-NB15,6,42,50.0,0.8083333333333333,0.581152882886118,0.8078241619228336,7.696690320968628
UNSW-NB15,6,42,100.0,0.8166666666666667,0.6013289036544851,0.8166666666666667,7.696690320968628
UNSW-NB15,6,123,0.01,0.6416666666666667,0.0,0.5016074450084602,7.391099100001156
UNSW-NB15,6,123,0.1,0.725,0.5258228060225965,0.728621698836318,7.391099100001156
UNSW-NB15,6,123,0.5,0.8333333333333334,0.6812330723583463,0.8366666666666667,7.391099100001156
UNSW-NB15,6,123,1.0,0.875,0.7378670613747125,0.8763367504978243,7.391099100001156
UNSW-NB15,6,123,2.0,0.875,0.7333540293392214,0.8758650197187291,7.391099100001156
UNSW-NB15,6,123,5.0,0.8666666666666667,0.7134637372560301,0.867304625199362,7.391099100001156
UNSW-NB15,6,123,10.0,0.85,0.6738145575354878,0.85,7.391099100001156
UNSW-NB15,6,123,50.0,0.8583333333333333,0.6881663597482935,0.8571265955541914,7.391099100001156
UNSW-NB15,6,123,100.0,0.875,0.7250324147348093,0.8739352313713451,7.391099100001156
