dataset,C,n_runs,accuracy_mean,accuracy_ci95,mcc_mean,mcc_ci95,f1_score_mean,f1_score_ci95
IoT,0.01,10,0.950832408435072,0.005560778743214832,0.6848315890268362,0.03283563319847384,0.9479173991478689,0.005370534986457809
IoT,0.1,10,0.9583795782463929,0.006455199385301358,0.7654067034389241,0.03184354142497427,0.9592290374437391,0.005976646442225277
IoT,0.5,10,0.9645948945615983,0.003937743397036694,0.8047638275269666,0.021316775289510415,0.965592740190772,0.0037656430564728337
IoT,1.0,10,0.962708102108768,0.003974293988582707,0.7934950438492658,0.022711878260214462,0.9636983427139691,0.003883302540233608
IoT,2.0,10,0.9637069922308547,0.003161557494555645,0.7958615318079686,0.018760614075217202,0.9644684633178915,0.003149068877528603
IoT,5.0,10,0.9671476137624863,0.0029756446671268316,0.8102993771932272,0.01793922682583821,0.9674906396103289,0.002997687371381563
IoT,10.0,10,0.9685904550499446,0.0022478727339992617,0.8162159399368523,0.014554063235750236,0.9687228562700307,0.002354214204634356
IoT,50.0,10,0.9697003329633741,0.0020003332504108105,0.8202276812346352,0.012104742786992737,0.9696169507969525,0.0020112480585099553
IoT,100.0,10,0.9691453940066594,0.0021215189140305233,0.8167402444442231,0.012810976393250089,0.9690354537742316,0.002125763756762097
UNSW-2018,0.01,10,0.9790000000000001,0.002115174257577301,0.8784220944195799,0.012842449479667832,0.9779372373202333,0.0023378546674359493
UNSW-2018,0.1,10,0.9854444444444443,0.001986704228109036,0.9168802641278629,0.011771896680858124,0.9849965370998381,0.0020842954819243987
UNSW-2018,0.5,10,0.9923333333333332,0.0017316034419316993,0.956855047340369,0.009876798884824544,0.9922271530991644,0.0017669691247088823
UNSW-2018,1.0,10,0.9922222222222221,0.0016553658023661503,0.9562269663527786,0.009448436250784141,0.9921134633406471,0.001689131182545239
UNSW-2018,2.0,10,0.9922222222222221,0.0016553658023661503,0.9562269663527786,0.009448436250784141,0.9921134633406471,0.001689131182545239
UNSW-2018,5.0,10,0.9922222222222221,0.0016553658023661503,0.9562269663527786,0.009448436250784141,0.9921134633406471,0.001689131182545239
UNSW-2018,10.0,10,0.9922222222222221,0.0016553658023661503,0.9562269663527786,0.009448436250784141,0.9921134633406471,0.001689131182545239
UNSW-2018,50.0,10,0.9922222222222221,0.0016553658023661503,0.9562269663527786,0.009448436250784141,0.9921134633406471,0.001689131182545239
UNSW-2018,100.0,10,0.9922222222222221,0.0016553658023661503,0.9562269663527786,0.009448436250784141,0.9921134633406471,0.001689131182545239
UNSW-NB15,0.01,10,0.7292222222222222,0.018641037137704354,0.5399677645173564,0.019955048301742908,0.7315765930431068,0.019363835041498346
UNSW-NB15,0.1,10,0.8425555555555556,0.015070788685564482,0.6786418482556339,0.024351238911064096,0.8432822651118614,0.01316436646652471
UNSW-NB15,0.5,10,0.8587777777777778,0.01372537617575493,0.7021841996755173,0.025694290554125324,0.8580205108708627,0.012002537405523653
UNSW-NB15,1.0,10,0.8593333333333334,0.012341594741692647,0.702919375630991,0.02218879173857685,0.8586157229657305,0.010727154498580393
UNSW-NB15,2.0,10,0.8628888888888889,0.010359143552631806,0.7076358240865501,0.01906942414367675,0.8620717395500828,0.00921832107854097
UNSW-NB15,5.0,10,0.8692222222222222,0.008148821655666372,0.7195389623220516,0.016614642853685985,0.8693322724509305,0.007949098477970352
UNSW-NB15,10.0,10,0.8707777777777777,0.006403390905540838,0.7259395855454385,0.012946294701793561,0.8713237297347142,0.006367462830061062
UNSW-NB15,50.0,10,0.8776666666666666,0.005998889517720444,0.7431919801301416,0.012952371860149688,0.8787039319239298,0.005985635778594993
UNSW-NB15,100.0,10,0.8808888888888889,0.006080469262087252,0.7516701781022135,0.012191283709713157,0.8821498290790266,0.005955251385010881
