status,dataset,model,device,entanglement,optimization_level,num_qubits,run_idx,seed,gpu_id,aggregate_depth,aggregate_two_qubit_gates,mean_readout_error,accuracy,balanced_accuracy,f1_score,mcc,roc_auc,g_mean,kernel_time,classifier_time,total_time
success,IoT_Original_Distribution,QSVC,ideal,full,0,10,0,42,0,237,474,,0.9666666666666667,0.8534663865546219,0.9648484848484848,0.7888743678291347,0.9728571428571429,0.8420413371357597,316.4926390449982,0.7856808599317446,317.27831990492996
success,IoT_Original_Distribution,QSVC,ideal,full,0,10,1,123,1,237,474,,0.956,0.815546218487395,0.9532309545317675,0.7163778151602925,0.9816596638655462,0.7970533969860858,311.0770637720125,3.1373233170015737,314.21438708901405
success,IoT_Original_Distribution,QSVC,ideal,full,0,10,2,456,2,237,474,,0.952,0.8069327731092437,0.9491822955738933,0.6908364368305651,0.9711344537815126,0.7869737804351787,316.9531495880801,0.09130617405753583,317.04445576213766
success,IoT_Original_Distribution,QSVC,ideal,full,0,10,3,789,0,237,474,,0.96,0.8305672268907562,0.9576519129782446,0.7440322610218303,0.9823739495798319,0.8151790028715712,310.9013763689436,1.0672989450395107,311.9686753139831
success,IoT_Original_Distribution,QSVC,ideal,full,0,10,4,1024,1,237,474,,0.96,0.8177521008403361,0.9569565217391305,0.7411188857944132,0.9754621848739495,0.7988305528088171,320.8882322420832,0.7672218030784279,321.6554540451616
success,IoT_Original_Distribution,QSVC,ideal,full,0,10,5,2048,2,237,474,,0.9653333333333334,0.8335084033613445,0.962695652173913,0.7778685826106652,0.974264705882353,0.8175979369804096,320.9643326259684,0.07197210192680359,321.0363047278952
success,IoT_Original_Distribution,QSVC,ideal,full,0,10,6,3072,0,237,474,,0.9586666666666667,0.8170168067226891,0.9557062350048046,0.7326424578694603,0.9769117647058824,0.7982386071530115,327.2222877140157,0.31174153403844684,327.53402924805414
success,IoT_Original_Distribution,QSVC,ideal,full,0,10,7,4096,1,237,474,,0.96,0.811344537815126,0.9565895656013148,0.7400917247011043,0.9675210084033614,0.7904896897365783,317.84532449406106,1.0498762821080163,318.8952007761691
success,IoT_Original_Distribution,QSVC,ideal,full,0,10,8,5120,2,237,474,,0.9626666666666667,0.8448529411764706,0.9607827915251496,0.7632971795679112,0.9690126050420167,0.8323425482618673,327.4803927351022,0.07250800100155175,327.55290073610377
success,IoT_Original_Distribution,QSVC,ideal,full,0,10,9,6144,0,237,474,,0.9533333333333334,0.7756302521008404,0.9482123298305163,0.6897892465381865,0.9491386554621849,0.7442214362798799,528.0358840239933,0.10131546994671226,528.13719949394
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,10,0,42,1,251,474,0.012177777777777777,0.964,0.8391806722689076,0.9617344173441734,0.770034608905654,0.9714075630252101,0.8250286473253902,1323.231645265012,0.05857463297434151,1323.2902198979864
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,10,1,123,2,251,474,0.012177777777777777,0.9586666666666667,0.8362394957983194,0.9567468596651202,0.7382069891100169,0.9824159663865547,0.8225804857047029,1323.3835920239799,0.04017788090277463,1323.4237699048826
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,10,2,456,0,251,474,0.012177777777777777,0.9613333333333334,0.8697478991596639,0.9606881020214354,0.7646051573341011,0.97,0.8624276854351569,1464.266234557028,0.9411994420224801,1465.2074339990504
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,10,3,789,1,251,474,0.012177777777777777,0.9613333333333334,0.8377100840336135,0.9592242424242425,0.7537090914028731,0.9826890756302522,0.8238054759376596,1696.3272715490311,0.057776640984229743,1696.3850481900154
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,10,4,1024,2,251,474,0.012177777777777777,0.96,0.8241596638655462,0.9573104285136455,0.7424429064999531,0.9841806722689075,0.8070591910232644,1643.9206637090538,0.0701877020765096,1643.9908514111303
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,10,5,2048,0,251,474,0.012177777777777777,0.972,0.8692226890756303,0.9704727272727273,0.8240396442553962,0.968718487394958,0.859988274299582,1645.342873609974,0.2542278670007363,1645.5971014769748
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,10,6,3072,1,251,474,0.012177777777777777,0.9613333333333334,0.8313025210084033,0.9588999297400382,0.7521490109905334,0.9760084033613445,0.815784408824214,1367.255666373996,0.9324289549840614,1368.1880953289801
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,10,7,4096,2,251,474,0.012177777777777777,0.9653333333333334,0.8399159663865546,0.9630023713784928,0.7785305396739626,0.9799789915966387,0.8256395534789426,1649.7124844309874,0.04281543695833534,1649.7552998679457
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,10,8,5120,0,251,474,0.012177777777777777,0.9626666666666667,0.8384453781512605,0.9604751187796949,0.7617642024189187,0.976344537815126,0.8244172884809116,1872.2793528899783,0.05516889097634703,1872.3345217809547
success,IoT_Original_Distribution,QSVC,FakeKolkataV2,full,0,10,9,6144,1,251,474,0.012177777777777777,0.9546666666666667,0.7827731092436975,0.9499222804485964,0.7000722940502295,0.9666806722689075,0.7537023463481829,1864.0047089409782,0.22451249603182077,1864.22922143701
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,10,0,42,2,727,474,0.04147699311023622,0.9066666666666666,0.5,0.8622843822843823,0.0,0.780252100840336,0.0,1878.7862674610224,0.03850742301438004,1878.8247748840367
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,10,1,123,0,727,474,0.04147699311023622,0.9066666666666666,0.5,0.8622843822843823,0.0,0.7617962184873949,0.0,2613.3820513520623,0.03737633605487645,2613.419427688117
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,10,2,456,1,727,474,0.04147699311023622,0.9066666666666666,0.5,0.8622843822843823,0.0,0.5421113445378151,0.0,2495.140209980076,0.041051087086088955,2495.1812610671623
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,10,3,789,2,727,474,0.04147699311023622,0.9066666666666666,0.5,0.8622843822843823,0.0,0.6834033613445378,0.0,2617.3258528820006,0.0483676849398762,2617.3742205669405
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,10,4,1024,0,727,474,0.04147699311023622,0.9066666666666666,0.5,0.8622843822843823,0.0,0.7132773109243699,0.0,2597.4382431539707,0.11049149895552546,2597.548734652926
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,10,5,2048,1,727,474,0.04147699311023622,0.9066666666666666,0.5,0.8622843822843823,0.0,0.6716386554621849,0.0,2658.875329870032,0.06962733704131097,2658.9449572070735
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,10,6,3072,2,727,474,0.04147699311023622,0.9066666666666666,0.5,0.8622843822843823,0.0,0.7161449579831932,0.0,2699.1997345569544,0.050281813950277865,2699.2500163709046
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,10,7,4096,0,727,474,0.04147699311023622,0.9066666666666666,0.5,0.8622843822843823,0.0,0.5622373949579832,0.0,2530.565841089934,0.043873106013052166,2530.609714195947
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,10,8,5120,1,727,474,0.04147699311023622,0.9066666666666666,0.5,0.8622843822843823,0.0,0.5619432773109243,0.0,2508.915722619975,0.1129790770355612,2509.0287016970105
