status,dataset,model,device,entanglement,optimization_level,num_qubits,run_idx,seed,gpu_id,aggregate_depth,aggregate_two_qubit_gates,mean_readout_error,accuracy,balanced_accuracy,f1_score,mcc,roc_auc,g_mean,kernel_time,classifier_time,total_time
success,IoT_Original_Distribution,QSVC,ideal,full,0,6,0,42,0,124,150,,0.9486666666666667,0.9271758019820582,0.9519950511580313,0.7496239879314855,0.9559647007864565,0.9267979757270467,281.9205677480204,0.7700175530044362,282.69058530102484
success,IoT_Original_Distribution,QSVC,ideal,full,0,6,1,123,1,124,150,,0.96,0.946143127769167,0.9621857416538717,0.7993956907456233,0.9829818546177571,0.9459892177626344,282.59063272201456,0.3435418549925089,282.93417457700707
success,IoT_Original_Distribution,QSVC,ideal,full,0,6,2,456,2,124,150,,0.9486666666666667,0.9430667105036556,0.95253801453372,0.7607320737467842,0.9702117222196127,0.9430414936677707,277.7775569659425,4.151656451052986,281.9292134169955
success,IoT_Original_Distribution,QSVC,ideal,full,0,6,3,789,0,124,150,,0.9546666666666667,0.9368434236688429,0.9573529970495248,0.7754009734327173,0.9691732030748516,0.9365862514791115,288.02365879598074,0.38998982100747526,288.4136486169882
success,IoT_Original_Distribution,QSVC,ideal,full,0,6,4,1024,1,124,150,,0.9546666666666667,0.9241306968515648,0.9569284538432317,0.7673304473147916,0.9513879103846695,0.9233652273571288,280.8175846498925,1.301492908038199,282.1190775579307
success,IoT_Original_Distribution,QSVC,ideal,full,0,6,5,2048,2,124,150,,0.9573333333333334,0.9128896403801293,0.9588164839803776,0.7701949411529486,0.9542999389413367,0.9112473468984996,287.97541383001953,0.16484433703590184,288.14025816705544
success,IoT_Original_Distribution,QSVC,ideal,full,0,6,6,3072,0,124,150,,0.9533333333333334,0.907503953157046,0.9551979853699486,0.7522266687925445,0.9316403905666973,0.9057471708317207,280.23985577898566,1.2969343339791521,281.5367901129648
success,IoT_Original_Distribution,QSVC,ideal,full,0,6,7,4096,1,124,150,,0.954,0.9110500524478262,0.9558966469324232,0.756821928708788,0.9601918390138765,0.9095132875785343,288.4664745629998,0.09280874498654157,288.55928330798633
success,IoT_Original_Distribution,QSVC,ideal,full,0,6,8,5120,2,124,150,,0.944,0.9055312886509166,0.9473184081200012,0.7198216544876251,0.9582191745077472,0.9042911585540306,288.0703877430642,0.31811281898990273,288.3885005620541
success,IoT_Original_Distribution,QSVC,ideal,full,0,6,9,6144,0,124,150,,0.9493333333333334,0.9339000829771578,0.9527833215788977,0.7563495715972772,0.9630934301922043,0.9337066558810696,260.4223774439888,1.3086870679398999,261.7310645119287
success,IoT_Original_Distribution,QSVC,FakeCairoV2,full,0,6,0,42,1,135,150,0.026325925925925926,0.9486666666666667,0.9271758019820582,0.9519950511580313,0.7496239879314855,0.955959482097287,0.9267979757270467,262.72492769092787,0.272986933006905,262.9979146239348
success,IoT_Original_Distribution,QSVC,FakeCairoV2,full,0,6,1,123,2,135,150,0.026325925925925926,0.96,0.946143127769167,0.9621857416538717,0.7993956907456233,0.982997510685266,0.9459892177626344,261.32460530509707,1.5556126160081476,262.8802179211052
success,IoT_Original_Distribution,QSVC,FakeCairoV2,full,0,6,2,456,0,135,150,0.026325925925925926,0.9486666666666667,0.9430667105036556,0.95253801453372,0.7607320737467842,0.9702012848412735,0.9430414936677707,243.22219742101151,1.1096585710765794,244.3318559920881
success,IoT_Original_Distribution,QSVC,FakeCairoV2,full,0,6,3,789,1,135,150,0.026325925925925926,0.9666666666666667,0.9402877585208147,0.9678253781096701,0.8213027673741131,0.9697785710185315,0.9397263998272227,250.0561352650402,0.053072203998453915,250.10920746903867
success,IoT_Original_Distribution,QSVC,FakeCairoV2,full,0,6,4,1024,2,135,150,0.026325925925925926,0.9546666666666667,0.9241306968515648,0.9569284538432317,0.7673304473147916,0.9513983477630089,0.9233652273571288,243.38688565196935,1.2561459699645638,244.64303162193391
success,IoT_Original_Distribution,QSVC,FakeCairoV2,full,0,6,5,2048,0,135,150,0.026325925925925926,0.9573333333333334,0.9128896403801293,0.9588164839803776,0.7701949411529486,0.954310376319676,0.9112473468984996,246.46920768602286,0.8071822250494733,247.27638991107233
success,IoT_Original_Distribution,QSVC,FakeCairoV2,full,0,6,6,3072,1,135,150,0.026325925925925926,0.9613333333333334,0.9246316910118517,0.9626774386072172,0.7920982952477333,0.948408038868797,0.9235262900291211,242.02652364806272,1.517873683013022,243.54439733107574
success,IoT_Original_Distribution,QSVC,FakeCairoV2,full,0,6,7,4096,2,135,150,0.026325925925925926,0.9526666666666667,0.929383307500822,0.9554175125808769,0.7639370639604357,0.95817742499439,0.9289408640807164,249.44568210898433,0.0537801249884069,249.49946223397274
success,IoT_Original_Distribution,QSVC,FakeCairoV2,full,0,6,8,5120,0,135,150,0.026325925925925926,0.944,0.9055312886509166,0.9473184081200012,0.7198216544876251,0.9582191745077471,0.9042911585540306,437.17581672396045,0.8180410499917343,437.9938577739522
success,IoT_Original_Distribution,QSVC,FakeCairoV2,full,0,6,9,6144,1,135,150,0.026325925925925926,0.9666666666666667,0.9339313951121757,0.9676468711186604,0.8182144150258319,0.973379466545593,0.933060877991581,422.9627016769955,1.372586352052167,424.33528802904766
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,6,0,42,2,381,150,0.04147699311023622,0.9493333333333334,0.9275437195685188,0.9525627511065713,0.7519648903964132,0.9559333886514385,0.9271554677271215,448.66652725310996,0.051091143977828324,448.7176183970878
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,6,1,123,0,381,150,0.04147699311023622,0.956,0.9471138039547227,0.9588044943820224,0.7863848004242623,0.9825434847275062,0.9470505770303285,816.7388275989797,0.8243072059703991,817.5631348049501
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,6,2,456,1,381,150,0.04147699311023622,0.9613333333333334,0.9437007812377687,0.9632625047486387,0.8027363297881122,0.969439356222504,0.9434509127539433,827.4079514080659,0.8271357080666348,828.2350871161325
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,6,3,789,2,381,150,0.04147699311023622,0.954,0.9364755060823822,0.9567779322274735,0.772956409598325,0.9667099817867749,0.9362267863914213,832.899604335078,0.054574674111790955,832.9541790091898
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,6,4,1024,0,381,150,0.04147699311023622,0.956,0.9280447137288056,0.9581952640243129,0.7744116238094557,0.9494569953918975,0.9274059114931265,831.1415527029894,0.050859340000897646,831.1924120429903
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,6,5,2048,1,381,150,0.04147699311023622,0.9573333333333334,0.9128896403801293,0.9588164839803776,0.7701949411529486,0.9560325437456619,0.9112473468984996,825.1152031599777,0.8076033210381866,825.9228064810159
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,6,6,3072,2,381,150,0.04147699311023622,0.958,0.9227921030795485,0.9597317211122125,0.7784412944117622,0.9487942218673514,0.9217728684929747,814.6055878290208,0.8310501229716465,815.4366379519925
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,6,7,4096,0,381,150,0.04147699311023622,0.954,0.9301191426737432,0.956567244651434,0.7688553712724218,0.9590228526398739,0.929654062545913,812.3647290070076,0.8323595809051767,813.1970885879127
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,6,8,5120,1,381,150,0.04147699311023622,0.9546666666666667,0.9082397883299673,0.9563611663225333,0.7575151103098591,0.9687191771170917,0.9064383171900796,823.2471576050157,0.8285467299865559,824.0757043350022
success,IoT_Original_Distribution,QSVC,FakeSherbrooke,full,0,6,9,6144,2,381,150,0.04147699311023622,0.95,0.9374461822679379,0.9534580381395088,0.760854226747064,0.9641215119586263,0.937318687379758,829.2019469619263,0.05382160109002143,829.2557685630163
success,IoT_Original_Distribution,QSVC,ideal,full,3,6,0,42,0,124,142,,0.9546666666666667,0.9431997870774819,0.9575561457269323,0.7795008184186926,0.9736456196932455,0.943094064170358,282.9170613499591,0.09749925008509308,283.0145606000442
success,IoT_Original_Distribution,QSVC,ideal,full,3,6,1,123,1,124,142,,0.96,0.946143127769167,0.9621857416538717,0.7993956907456233,0.9829714172394177,0.9459892177626344,283.1865299131023,0.3255244370084256,283.5120543501107
success,IoT_Original_Distribution,QSVC,ideal,full,3,6,2,456,2,124,142,,0.9486666666666667,0.9430667105036556,0.95253801453372,0.7607320737467842,0.9702221595979521,0.9430414936677707,275.5075423520757,1.3618479589931667,276.86939031106886
success,IoT_Original_Distribution,QSVC,ideal,full,3,6,3,789,0,124,142,,0.9546666666666667,0.9368434236688429,0.9573529970495248,0.7754009734327173,0.9691784217640212,0.9365862514791115,281.8121675270377,0.30254715704359114,282.11471468408126
success,IoT_Original_Distribution,QSVC,ideal,full,3,6,4,1024,1,124,142,,0.9546666666666667,0.9241306968515648,0.9569284538432317,0.7673304473147916,0.9514087851413483,0.9233652273571288,280.7769279780332,0.731133863911964,281.50806184194516
success,IoT_Original_Distribution,QSVC,ideal,full,3,6,5,2048,2,124,142,,0.9533333333333334,0.9138603165656851,0.9554332680423616,0.7562137208034863,0.9395780167937418,0.9125664594629617,275.31378747709095,1.3799317280063406,276.6937192050973
