status,dataset,model,device,entanglement,optimization_level,num_qubits,run_idx,seed,gpu_id,aggregate_depth,aggregate_two_qubit_gates,mean_readout_error,accuracy,balanced_accuracy,f1_score,mcc,roc_auc,g_mean,kernel_time,classifier_time,total_time,error,zz_reps,layout
success,UNSW_NB15,QSVC,FakeKolkataV2,full,0,10.0,0,42,0.0,251.0,474.0,0.0125799999999999,0.7533333333333333,0.7764446224838031,0.7581493000711056,0.5312487041994077,0.8695699065550154,0.7719596494275799,1634.029609999969,0.0396939609199762,1634.0693039608886,,2,worst_healthy_path
success,UNSW_NB15,QSVC,FakeKolkataV2,full,0,10.0,1,123,1.0,251.0,474.0,0.0125799999999999,0.7773333333333333,0.7968361207620427,0.7816815084711127,0.5705490548271127,0.8870841004860988,0.7937269947510994,1631.0859506019624,0.2292720739496871,1631.315222675912,,2,worst_healthy_path
failed,UNSW_NB15,QSVC,FakeKolkataV2,full,0,,2,456,,,,,,,,,,,,,,Already mutably borrowed,2,worst_healthy_path
success,UNSW_NB15,QSVC,FakeKolkataV2,full,0,10.0,3,789,0.0,251.0,474.0,0.0125799999999999,0.772,0.7838478071628315,0.7762172593561069,0.5468463186052017,0.8881048309439253,0.7826827883745978,2510.8000621080864,0.0373883949359878,2510.8374505030224,,2,worst_healthy_path
success,UNSW_NB15,QSVC,FakeKolkataV2,full,0,10.0,4,1024,1.0,251.0,474.0,0.0125799999999999,0.744,0.7779506813857282,0.7484350071736012,0.5363043225516573,0.8837484303861828,0.7682584311497774,2428.450306489016,0.1655763760209083,2428.615882865037,,2,worst_healthy_path
success,UNSW_NB15,QSVC,FakeSherbrooke,full,0,10.0,0,42,2.0,727.0,474.0,0.0449462890625,0.7653333333333333,0.6913002950488796,0.7406157845600574,0.4784026707842383,0.7879499880593797,0.6376800949690893,2475.6576234350214,0.2115971039747819,2475.869220538996,,2,worst_healthy_path
success,UNSW_NB15,QSVC,FakeSherbrooke,full,0,10.0,1,123,0.0,727.0,474.0,0.0449462890625,0.6386666666666667,0.5,0.4978378085164089,0.0,0.874473264565631,0.0,3167.290676390985,0.0376954269595444,3167.328371817945,,2,worst_healthy_path
success,UNSW_NB15,QSVC,FakeSherbrooke,full,0,10.0,2,456,1.0,727.0,474.0,0.0449462890625,0.6386666666666667,0.5,0.4978378085164089,0.0,0.8204323274965526,0.0,3046.235658288002,0.1427101700101047,3046.378368458012,,2,worst_healthy_path
success,UNSW_NB15,QSVC,FakeSherbrooke,full,0,10.0,3,789,2.0,727.0,474.0,0.0449462890625,0.6386666666666667,0.5,0.4978378085164089,0.0,0.8680291813356548,0.0,3168.4746425040066,0.0421767500229179,3168.516819254029,,2,worst_healthy_path
success,UNSW_NB15,QSVC,FakeSherbrooke,full,0,10.0,4,1024,0.0,727.0,474.0,0.0449462890625,0.6386666666666667,0.5,0.4978378085164089,0.0,0.8751280727838593,0.0,2407.978065320058,0.1366751019377261,2408.1147404219955,,2,worst_healthy_path
