status,dataset,model,device,entanglement,optimization_level,num_qubits,run_idx,seed,gpu_id,aggregate_depth,aggregate_two_qubit_gates,mean_readout_error,accuracy,balanced_accuracy,f1_score,mcc,roc_auc,g_mean,kernel_time,classifier_time,total_time,zz_reps,layout
success,UNSW_NB15,QSVC,ideal,full,3,10,0,42,0,195,372,,0.84,0.8378848924188615,0.8415212224108659,0.6630210343931566,0.9226209276706544,0.8378501823543653,443.7922386910068,0.5840564279351383,444.3762951189419,2,worst_healthy_path
success,UNSW_NB15,QSVC,ideal,full,3,10,1,123,1,195,372,,0.876,0.8804897965472347,0.877471232553037,0.7430857274532514,0.9550955634817307,0.8803409524670838,442.8357071609935,1.534433391992934,444.3701405529864,2,worst_healthy_path
success,UNSW_NB15,QSVC,ideal,full,3,10,2,456,2,195,372,,0.8853333333333333,0.8910013943563235,0.8867215392303849,0.7632418393942285,0.9505311650193744,0.8907669641071626,444.1325065570418,0.2458084539975971,444.3783150110394,2,worst_healthy_path
success,UNSW_NB15,QSVC,ideal,full,3,10,3,789,0,195,372,,0.8346666666666667,0.8353118813025291,0.8365876898673212,0.6551794834124297,0.9209107226771642,0.8353086414408792,607.6895318080205,0.546439599012956,608.2359714070335,2,worst_healthy_path
success,UNSW_NB15,QSVC,ideal,full,3,10,4,1024,1,195,372,,0.8506666666666667,0.8430309146515265,0.8513368493091439,0.6799296829066596,0.9214422728778436,0.8425811950210761,607.7843447510386,0.2740437090396881,608.0583884600783,2,worst_healthy_path
success,UNSW_NB15,QSVC,FakeKolkataV2,full,3,10,0,42,2,245,372,0.0125799999999999,0.728,0.7413892719302976,0.7332657061191156,0.4641645418192019,0.8399879823432891,0.7398156709111493,1141.9370551380562,0.0575470679905265,1141.9946022060467,2,worst_healthy_path
success,UNSW_NB15,QSVC,FakeKolkataV2,full,3,10,1,123,0,245,372,0.0125799999999999,0.7693333333333333,0.8033919065704227,0.7734651402918071,0.5847330708653746,0.8836675423121664,0.7939501930203587,1956.280739918002,0.0853995960205793,1956.3661395140225,2,worst_healthy_path
success,UNSW_NB15,QSVC,FakeKolkataV2,full,3,10,2,456,1,245,372,0.0125799999999999,0.752,0.7794066667180242,0.7567207781439047,0.5373825491119516,0.8952614995878561,0.7731163829584847,2020.5359940759367,0.0581161660375073,2020.5941102419747,2,worst_healthy_path
success,UNSW_NB15,QSVC,FakeKolkataV2,full,3,10,3,789,2,245,372,0.0125799999999999,0.7866666666666666,0.7945288847460499,0.7902957007110106,0.569198620474591,0.8848962706746065,0.7940229614995507,2024.0581895241048,0.0388066080631688,2024.096996132168,2,worst_healthy_path
success,UNSW_NB15,QSVC,FakeKolkataV2,full,3,10,4,1024,0,245,372,0.0125799999999999,0.7613333333333333,0.7899182645271129,0.7658608223364707,0.5576650500418984,0.8722238057453644,0.7831649268036217,2376.175312520936,0.0980237589683383,2376.2733362799045,2,worst_healthy_path
success,UNSW_NB15,QSVC,FakeSherbrooke,full,3,10,0,42,1,505,390,0.0449462890625,0.6813333333333333,0.5646488302043772,0.5985461617570329,0.2588676750888775,0.8145660162238366,0.3765744935467134,2438.9567473490024,0.0750711540458723,2439.0318185030483,2,worst_healthy_path
success,UNSW_NB15,QSVC,FakeSherbrooke,full,3,10,1,123,2,505,390,0.0449462890625,0.84,0.8442943093314024,0.8421556224374724,0.6702122121107309,0.9326086789051606,0.8441523070989294,2444.539910700987,0.038709752028808,2444.578620453016,2,worst_healthy_path
success,UNSW_NB15,QSVC,FakeSherbrooke,full,3,10,2,456,0,505,390,0.0449462890625,0.584,0.6631050235345777,0.5678718215848428,0.3572612700675235,0.7725350322396752,0.5986230659981461,2700.0924342189683,0.0943628239911049,2700.18679704296,2,worst_healthy_path
success,UNSW_NB15,QSVC,FakeSherbrooke,full,3,10,3,789,1,505,390,0.0449462890625,0.5373333333333333,0.6257693996564182,0.5082996070483099,0.2936372954705958,0.8532536264819851,0.5384262784030134,2721.889040526002,0.0849026929354295,2721.973943218938,2,worst_healthy_path
success,UNSW_NB15,QSVC,FakeSherbrooke,full,3,10,4,1024,2,505,390,0.0449462890625,0.816,0.8030722060874054,0.8164274673372999,0.6033343516475448,0.8783867066228073,0.801718182023348,2728.720787011902,0.0395545619539916,2728.760341573856,2,worst_healthy_path
success,UNSW_NB15,QVE,ideal,full,3,10,0,42,0,197,372,,0.876,0.8508462433267339,0.8737629533807652,0.727556037505366,0.9438097512499132,0.845998277864471,515.4404197880067,2.227792305056937,517.6682120930636,2,worst_healthy_path
success,UNSW_NB15,QVE,ideal,full,3,10,1,123,1,197,372,,0.8946666666666667,0.890296512568466,0.8951025292904913,0.7741579675171772,0.9638622899798936,0.8901570496631713,515.9347228630213,1.6629559999564665,517.5976788629778,2,worst_healthy_path
success,UNSW_NB15,QVE,ideal,full,3,10,2,456,2,197,372,,0.8906666666666667,0.8783520403053717,0.8903004164049595,0.7617915012516845,0.9606575815236232,0.8772289427862727,515.6968940799125,2.0660187291214243,517.7629128090339,2,worst_healthy_path
success,UNSW_NB15,QVE,ideal,full,3,10,3,789,0,197,372,,0.8773333333333333,0.8647089184879323,0.8770285089077435,0.7330523242763093,0.943162646657782,0.8635099172342088,384.4265480559552,0.3157843590015545,384.7423324149568,2,worst_healthy_path
success,UNSW_NB15,QVE,ideal,full,3,10,4,1024,1,197,372,,0.864,0.8438552026438845,0.8626496075353219,0.7015190372859328,0.9387985424739425,0.8407231399264816,381.2746416479349,1.293407660908997,382.5680493088439,2,worst_healthy_path
success,UNSW_NB15,QVE,FakeKolkataV2,full,3,10,0,42,2,249,372,0.0125799999999999,0.8066666666666666,0.7781394202251,0.803832344966187,0.5728675652321464,0.8794690660894082,0.7713107214033573,1568.4916239691663,0.1197112540248781,1568.6113352231914,2,worst_healthy_path
