dataset,model,entanglement,optimization_level,device,num_qubits,n_runs,mean_readout_error,aggregate_depth,accuracy_mean,accuracy_std,accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,f1_score_mean,f1_score_std,f1_score_ci95,mcc_mean,mcc_std,mcc_ci95,roc_auc_mean,roc_auc_std,roc_auc_ci95,g_mean_mean,g_mean_std,g_mean_ci95,total_time_mean,total_time_std,total_time_ci95
IoT_Original_Distribution,QSVC,full,0,FakeCairoV2,10.0,1,0.026325925925925926,251.0,0.9555555555555556,0.0,0.0,0.75,0.0,0.0,0.9486772486772487,0.0,0.0,0.6904666436885359,0.0,0.0,0.9862804878048781,0.0,0.0,0.7071067811865476,0.0,0.0,97.07467323902529,0.0,0.0
IoT_Original_Distribution,QSVC,full,0,FakeSherbrooke,10.0,1,0.04147699311023622,727.0,0.08888888888888889,0.0,0.0,0.5,0.0,0.0,0.014512471655328797,0.0,0.0,0.0,0.0,0.0,0.5678353658536586,0.0,0.0,0.0,0.0,0.0,123.9538548240671,0.0,0.0
IoT_Original_Distribution,QSVC,linear,0,FakeCairoV2,10.0,1,0.026325925925925926,41.0,0.9555555555555556,0.0,0.0,0.75,0.0,0.0,0.9486772486772487,0.0,0.0,0.6904666436885359,0.0,0.0,1.0,0.0,0.0,0.7071067811865476,0.0,0.0,36.422163909999654,0.0,0.0
IoT_Original_Distribution,QSVC,linear,0,FakeSherbrooke,10.0,1,0.04147699311023622,117.0,0.9555555555555556,0.0,0.0,0.8064024390243902,0.0,0.0,0.9526486899980875,0.0,0.0,0.6991314920711089,0.0,0.0,0.9893292682926829,0.0,0.0,0.7857340827407755,0.0,0.0,40.68193669000175,0.0,0.0
IoT_Original_Distribution,QSVC,linear,0,ideal,10.0,1,,37.0,0.9555555555555556,0.0,0.0,0.75,0.0,0.0,0.9486772486772487,0.0,0.0,0.6904666436885359,0.0,0.0,0.9878048780487805,0.0,0.0,0.7071067811865476,0.0,0.0,11.111115316976793,0.0,0.0
UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,full,0,FakeCairoV2,10.0,1,0.026325925925925926,251.0,0.9222222222222223,0.0,0.0,0.6111111111111112,0.0,0.0,0.8990855298547605,0.0,0.0,0.45226701686664544,0.0,0.0,0.9780521262002744,0.0,0.0,0.4714045207910317,0.0,0.0,103.57935017102864,0.0,0.0
UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,full,0,FakeSherbrooke,10.0,1,0.04147699311023622,727.0,0.9,0.0,0.0,0.5,0.0,0.0,0.8526315789473683,0.0,0.0,0.0,0.0,0.0,0.4663923182441701,0.0,0.0,0.0,0.0,0.0,132.77108368393965,0.0,0.0
UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,full,0,ideal,10.0,1,,237.0,0.9222222222222223,0.0,0.0,0.6111111111111112,0.0,0.0,0.8990855298547605,0.0,0.0,0.45226701686664544,0.0,0.0,0.9780521262002744,0.0,0.0,0.4714045207910317,0.0,0.0,128.08318647602573,0.0,0.0
UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,linear,0,FakeCairoV2,10.0,1,0.026325925925925926,41.0,0.9333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.9178571428571429,0.0,0.0,0.5570860145311556,0.0,0.0,0.9684499314128943,0.0,0.0,0.5773502691896257,0.0,0.0,39.0733571969904,0.0,0.0
UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,linear,0,FakeSherbrooke,10.0,1,0.04147699311023622,117.0,0.9444444444444444,0.0,0.0,0.7222222222222222,0.0,0.0,0.9345923537540303,0.0,0.0,0.6469966392206304,0.0,0.0,0.9382716049382717,0.0,0.0,0.6666666666666666,0.0,0.0,41.92756723891944,0.0,0.0
UNSW_2018_IoT_Botnet_Final_10_Best,QSVC,linear,0,ideal,10.0,1,,37.0,0.9333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.9178571428571429,0.0,0.0,0.5570860145311556,0.0,0.0,0.9684499314128943,0.0,0.0,0.5773502691896257,0.0,0.0,10.886839743936434,0.0,0.0
UNSW_NB15,QSVC,full,0,FakeCairoV2,10.0,1,0.026325925925925926,251.0,0.8222222222222222,0.0,0.0,0.7780172413793103,0.0,0.0,0.8152585765488992,0.0,0.0,0.6018844492775434,0.0,0.0,0.8696120689655172,0.0,0.0,0.7628214415734117,0.0,0.0,129.6015748550417,0.0,0.0
UNSW_NB15,QSVC,full,0,FakeSherbrooke,10.0,1,0.04147699311023622,727.0,0.6444444444444445,0.0,0.0,0.5,0.0,0.0,0.5051051051051051,0.0,0.0,0.0,0.0,0.0,0.5441810344827587,0.0,0.0,0.0,0.0,0.0,127.65535852196626,0.0,0.0
UNSW_NB15,QSVC,full,0,ideal,10.0,1,,237.0,0.8111111111111111,0.0,0.0,0.7623922413793103,0.0,0.0,0.8024565656565658,0.0,0.0,0.5759286078398008,0.0,0.0,0.8782327586206897,0.0,0.0,0.743506371282675,0.0,0.0,126.54411844001152,0.0,0.0
UNSW_NB15,QSVC,linear,0,FakeCairoV2,10.0,1,0.026325925925925926,41.0,0.8444444444444444,0.0,0.0,0.8092672413793103,0.0,0.0,0.8402236040449721,0.0,0.0,0.6532452209040279,0.0,0.0,0.8987068965517241,0.0,0.0,0.8000538774961045,0.0,0.0,36.56968821503688,0.0,0.0
UNSW_NB15,QSVC,linear,0,FakeSherbrooke,10.0,1,0.04147699311023622,117.0,0.8,0.0,0.0,0.7467672413793103,0.0,0.0,0.7894179894179894,0.0,0.0,0.5497189280631696,0.0,0.0,0.8642241379310345,0.0,0.0,0.7236759610155115,0.0,0.0,39.98939799598884,0.0,0.0
UNSW_NB15,QSVC,linear,0,ideal,10.0,1,,37.0,0.8111111111111111,0.0,0.0,0.7693965517241379,0.0,0.0,0.8048875576475063,0.0,0.0,0.5758167996310984,0.0,0.0,0.8787715517241379,0.0,0.0,0.7557252739290731,0.0,0.0,11.346240516053513,0.0,0.0
