dataset,config,method,model,run,seed,gpu_id,circuit_depth,total_gates,two_qubit_gates,accuracy,f1_score,precision,recall,mcc,training_time
IoT_Original_Distribution,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,1,42,0,237,604,474,0.9653333333333334,0.9632983245811453,0.9640017028522775,0.9653333333333334,0.7794961438160072,314.43734874599613
IoT_Original_Distribution,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,2,123,1,237,604,474,0.9546666666666667,0.9520055013753437,0.9518773946360154,0.9546666666666667,0.7085683782276534,314.5285676131025
IoT_Original_Distribution,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,3,456,2,237,604,474,0.952,0.9491822955738933,0.9488463175819499,0.952,0.6908364368305651,313.9517853499856
IoT_Original_Distribution,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,4,789,0,237,604,474,0.96,0.9576519129782446,0.9579395487441464,0.96,0.7440322610218303,320.69361234200187
IoT_Original_Distribution,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,5,1024,1,237,604,474,0.964,0.9620363636363636,0.9624224983649445,0.964,0.7712917296160039,319.5292110159062
IoT_Original_Distribution,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,6,2048,2,237,604,474,0.968,0.9661215303825956,0.9670327799063431,0.968,0.7972280852130955,311.79902688087896
IoT_Original_Distribution,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,7,3072,0,237,604,474,0.964,0.9620363636363636,0.9624224983649445,0.964,0.7712917296160039,293.26927262707613
IoT_Original_Distribution,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,8,4096,1,237,604,474,0.9573333333333334,0.9532894824264169,0.9558234519104085,0.9573333333333334,0.7202954698055284,319.40265759499744
IoT_Original_Distribution,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,9,5120,2,237,604,474,0.96,0.9569565217391305,0.9582857142857144,0.96,0.7411188857944132,318.6103925500065
IoT_Original_Distribution,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,10,6144,0,237,604,474,0.9533333333333334,0.9482123298305163,0.9515629968312446,0.9533333333333334,0.6897892465381865,105.70002352795564
IoT_Original_Distribution,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,1,42,0,195,592,372,0.9666666666666667,0.9648484848484848,0.9654240244168302,0.9666666666666667,0.7888743678291347,319.55526302498765
IoT_Original_Distribution,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,2,123,1,195,592,372,0.9573333333333334,0.9548287071767942,0.954908471690081,0.9573333333333334,0.7263003196247418,326.0657225740142
IoT_Original_Distribution,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,3,456,2,195,592,372,0.9506666666666667,0.9475619793234971,0.947267985887406,0.9506666666666667,0.6806066193300515,325.98666228796355
IoT_Original_Distribution,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,4,789,0,195,592,372,0.96,0.9576519129782446,0.9579395487441464,0.96,0.7440322610218303,296.8951209408697
IoT_Original_Distribution,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,5,1024,1,195,592,372,0.9573333333333334,0.9540869565217391,0.9551238095238095,0.9573333333333334,0.7227440373862873,323.15769897098653
IoT_Original_Distribution,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,6,2048,2,195,592,372,0.968,0.9658483428109164,0.9673374476526339,0.968,0.7965743562609673,323.96735705109313
IoT_Original_Distribution,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,7,3072,0,195,592,372,0.9586666666666667,0.9557062350048046,0.956592330780667,0.9586666666666667,0.7326424578694603,271.31147740385495
IoT_Original_Distribution,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,8,4096,1,195,592,372,0.96,0.9565895656013148,0.9586419753086419,0.96,0.7400917247011043,318.2796221859753
IoT_Original_Distribution,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,9,5120,2,195,592,372,0.9546666666666667,0.9503700750780679,0.9525065876152833,0.9546666666666667,0.7011928671763153,320.4931347281672
IoT_Original_Distribution,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,10,6144,0,195,592,372,0.9533333333333334,0.9482123298305163,0.9515629968312446,0.9533333333333334,0.6897892465381865,141.1916382650379
