dataset,config,method,model,run,seed,gpu_id,circuit_depth,total_gates,two_qubit_gates,accuracy,f1_score,precision,recall,mcc,training_time
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,1,42,0,237,604,474,0.9693333333333334,0.9668132889069857,0.9703438395415472,0.9693333333333334,0.8188327704831995,313.6703867930919
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,2,123,1,237,604,474,0.9693333333333334,0.9668132889069857,0.9703438395415472,0.9693333333333334,0.8188327704831995,322.1813028231263
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,3,456,2,237,604,474,0.9653333333333334,0.9620264441110277,0.9666191155492154,0.9653333333333334,0.7931590533305228,321.9094919480849
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,4,789,0,237,604,474,0.9693333333333334,0.9668132889069857,0.9703438395415472,0.9693333333333334,0.8188327704831995,301.15629982505925
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,5,1024,1,237,604,474,0.964,0.9604017216642754,0.9653846153846154,0.964,0.7844645405527362,325.5887980218977
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,6,2048,2,237,604,474,0.9773333333333334,0.976025653013294,0.9778901734104047,0.9773333333333334,0.8685247607959182,323.99178886110894
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,7,3072,0,237,604,474,0.9693333333333334,0.9668132889069857,0.9703438395415472,0.9693333333333334,0.8188327704831995,321.03523379797116
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,8,4096,1,237,604,474,0.976,0.9745215311004785,0.9766233766233766,0.976,0.8603834844182797,325.03036986407824
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,9,5120,2,237,604,474,0.9693333333333334,0.9668132889069857,0.9703438395415472,0.9693333333333334,0.8188327704831995,325.9379526290577
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,10,6144,0,237,604,474,0.972,0.9699353722456874,0.9728448275862069,0.972,0.8356290217967334,119.26303043984808
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,1,42,0,195,592,372,0.9693333333333334,0.9668132889069857,0.9703438395415472,0.9693333333333334,0.8188327704831995,315.7165629870724
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,2,123,1,195,592,372,0.9693333333333334,0.9668132889069857,0.9703438395415472,0.9693333333333334,0.8188327704831995,330.65333457896486
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,3,456,2,195,592,372,0.9653333333333334,0.9620264441110277,0.9666191155492154,0.9653333333333334,0.7931590533305228,331.6670442740433
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,4,789,0,195,592,372,0.9693333333333334,0.9668132889069857,0.9703438395415472,0.9693333333333334,0.8188327704831995,316.1961466851644
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,5,1024,1,195,592,372,0.964,0.9604017216642754,0.9653846153846154,0.964,0.7844645405527362,340.20005546999164
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,6,2048,2,195,592,372,0.9773333333333334,0.976025653013294,0.9778901734104047,0.9773333333333334,0.8685247607959182,339.35235212603584
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,7,3072,0,195,592,372,0.9693333333333334,0.9668132889069857,0.9703438395415472,0.9693333333333334,0.8188327704831995,314.94986925297417
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,8,4096,1,195,592,372,0.976,0.9745215311004785,0.9766233766233766,0.976,0.8603834844182797,333.01030179299414
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,9,5120,2,195,592,372,0.9693333333333334,0.9668132889069857,0.9703438395415472,0.9693333333333334,0.8188327704831995,335.1641133360099
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,10,6144,0,195,592,372,0.972,0.9699353722456874,0.9728448275862069,0.972,0.8356290217967334,136.14100772188976
