dataset,config,method,model,run,seed,gpu_id,circuit_depth,total_gates,two_qubit_gates,accuracy,f1_score,precision,recall,mcc,training_time
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,none (baseline),QSVC_Precomputed_GPU,1,42,0,124,204,150,0.9966666666666667,0.9966400755284308,0.9966789035731768,0.9966666666666667,0.9805571131969575,278.78433878102805
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,none (baseline),QSVC_Precomputed_GPU,2,123,1,124,204,150,0.996,0.996,0.996,0.996,0.976810219993713,281.62607541296165
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,none (baseline),QSVC_Precomputed_GPU,3,456,2,124,204,150,0.996,0.9959615546218488,0.996017608217168,0.996,0.9766394448969591,281.2193610430695
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,none (baseline),QSVC_Precomputed_GPU,4,789,0,124,204,150,0.9973333333333333,0.9973163830309103,0.9973411707078129,0.9973333333333333,0.9844649139608554,271.1157985989703
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,none (baseline),QSVC_Precomputed_GPU,5,1024,1,124,204,150,0.9953333333333333,0.995340603358116,0.9953503769255982,0.9953333333333333,0.9730368435381365,292.4226626700256
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,none (baseline),QSVC_Precomputed_GPU,6,2048,2,124,204,150,0.9926666666666667,0.9926081661625477,0.9926137819489667,0.9926666666666667,0.9569943361344565,290.56485655892175
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,none (baseline),QSVC_Precomputed_GPU,7,3072,0,124,204,150,0.996,0.9959615546218488,0.996017608217168,0.996,0.9766394448969591,274.1909311369527
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,none (baseline),QSVC_Precomputed_GPU,8,4096,1,124,204,150,0.9906666666666667,0.9904504197573457,0.9907619742280573,0.9906666666666667,0.9449265089561836,284.0768805400003
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,none (baseline),QSVC_Precomputed_GPU,9,5120,2,124,204,150,0.9953333333333333,0.9952807936150397,0.9953572825024438,0.9953333333333333,0.9727117770954385,285.5622946219519
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,none (baseline),QSVC_Precomputed_GPU,10,6144,0,124,204,150,0.996,0.9959615546218488,0.996017608217168,0.996,0.9766394448969591,262.62119089299813
