dataset,config,method,model,run,seed,gpu_id,circuit_depth,total_gates,two_qubit_gates,accuracy,f1_score,precision,recall,mcc,training_time
UNSW_NB15,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,1,42,0,237,604,474,0.844,0.845256504661398,0.8481407685881369,0.844,0.6695454674663449,315.0688791810244
UNSW_NB15,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,2,123,1,237,604,474,0.876,0.877471232553037,0.8832860668743022,0.876,0.7430857274532514,315.33895272400696
UNSW_NB15,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,3,456,2,237,604,474,0.884,0.8853763143238088,0.8911403890227421,0.884,0.7600113099153378,315.34022790400195
UNSW_NB15,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,4,789,0,237,604,474,0.8346666666666667,0.8365876898673212,0.8424073156324832,0.8346666666666667,0.6551794834124297,313.24322034200304
UNSW_NB15,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,5,1024,1,237,604,474,0.8506666666666667,0.8513368493091439,0.8524589049215224,0.8506666666666667,0.6799296829066596,312.2365096959984
UNSW_NB15,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,6,2048,2,237,604,474,0.8866666666666667,0.8872913204036419,0.888654549473515,0.8866666666666667,0.7580580820743626,314.8812517890183
UNSW_NB15,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,7,3072,0,237,604,474,0.86,0.8613700210572353,0.8653703703703705,0.86,0.7059273679973916,320.5507750239922
UNSW_NB15,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,8,4096,1,237,604,474,0.884,0.8855375648031386,0.8929753988196107,0.884,0.7625574108708372,314.7323351810046
UNSW_NB15,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,9,5120,2,237,604,474,0.9,0.900617278083111,0.9021975709475709,0.9,0.7871713106156527,318.8467060539988
UNSW_NB15,10q_2p5k,none (baseline),QSVC_Precomputed_GPU,10,6144,0,237,604,474,0.8533333333333334,0.8545585056610245,0.857576954119327,0.8533333333333334,0.6898182662966531,96.23419350298354
UNSW_NB15,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,1,42,0,195,592,372,0.8626666666666667,0.8637728203429401,0.866548036758563,0.8626666666666667,0.7093425114194086,322.6721993070096
UNSW_NB15,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,2,123,1,195,592,372,0.876,0.877471232553037,0.8832860668743022,0.876,0.7430857274532514,324.5503323500161
UNSW_NB15,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,3,456,2,195,592,372,0.8853333333333333,0.8867215392303849,0.8927420910111616,0.8853333333333333,0.7632418393942285,324.34811505599646
UNSW_NB15,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,4,789,0,195,592,372,0.8346666666666667,0.8365876898673212,0.8424073156324832,0.8346666666666667,0.6551794834124297,317.22325431599165
UNSW_NB15,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,5,1024,1,195,592,372,0.8706666666666667,0.8714650129874904,0.8731902958152958,0.8706666666666667,0.7243966584815312,327.29410862899385
UNSW_NB15,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,6,2048,2,195,592,372,0.884,0.8847160425764088,0.8863754208754208,0.884,0.7529305912697682,328.2638422510063
UNSW_NB15,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,7,3072,0,195,592,372,0.8773333333333333,0.8785673579294268,0.882677952975358,0.8773333333333333,0.743129073238057,300.15977069200017
UNSW_NB15,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,8,4096,1,195,592,372,0.884,0.8855375648031386,0.8929753988196107,0.884,0.7625574108708372,341.7145530509879
UNSW_NB15,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,9,5120,2,195,592,372,0.9,0.900617278083111,0.9021975709475709,0.9,0.7871713106156527,340.2094265240012
UNSW_NB15,10q_2p5k,qiskit_level3,QSVC_Precomputed_GPU,10,6144,0,195,592,372,0.868,0.8687275378818888,0.8701756691584278,0.868,0.7180576304803931,130.6253871389781
