dataset,config,method,model,run,seed,gpu_id,circuit_depth,total_gates,two_qubit_gates,accuracy,f1_score,precision,recall,mcc,training_time
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,1,42,0,237,604,474,0.8866666666666667,0.887926436988937,0.8929126297046724,0.8866666666666667,0.7644609980045476,627.8886600411497
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,2,123,1,237,604,474,0.8706666666666667,0.872104286916787,0.8771931970283049,0.8706666666666667,0.7305586180792449,627.9428778048605
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,3,456,2,237,604,474,0.8686666666666667,0.8704621867664227,0.878451632913702,0.8686666666666667,0.7307336961834441,626.7857838212512
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,4,789,0,237,604,474,0.8973333333333333,0.8981962172479612,0.900958909436759,0.8973333333333333,0.783419217323532,625.8444782979786
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,5,1024,1,237,604,474,0.8713333333333333,0.8730068381065985,0.8800963880107715,0.8713333333333333,0.7349982251655192,634.1967080021277
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,6,2048,2,237,604,474,0.8733333333333333,0.8750786526364006,0.8831932922273751,0.8733333333333333,0.7408092583742086,635.9088769629598
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,7,3072,0,237,604,474,0.8746666666666667,0.8764717615362012,0.8855221869120229,0.8746666666666667,0.7450275518085625,602.2837321399711
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,8,4096,1,237,604,474,0.8673333333333333,0.8692573765963859,0.8785083921865263,0.8673333333333333,0.7298216089131434,656.7024306179956
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,9,5120,2,237,604,474,0.8893333333333333,0.8903920786148146,0.8940008050588861,0.8893333333333333,0.7677355638384742,656.6140260277316
UNSW_NB15,10q_5k,none (baseline),QSVC_Precomputed_GPU,10,6144,0,237,604,474,0.8913333333333333,0.8922889521402447,0.8953690123596807,0.8913333333333333,0.7712841281119017,603.0332904909737
