dataset,config,feature_map,reps,entanglement,optimization,optimization_level,optimization_name,optimization_description,run,seed,gpu_id,accuracy,f1_score,mcc,training_time,circuit_depth,total_gates,two_qubit_gates
IoT_Original_Distribution,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,1,42,0,0.968,0.9666399416909621,0.7993783471062635,316.51419572904706,237,604,474
IoT_Original_Distribution,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,1,42,1,0.968,0.9666399416909621,0.7993783471062635,319.8298901100643,195,592,372
IoT_Original_Distribution,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,2,123,2,0.956,0.9532309545317675,0.7163778151602925,319.8169247780461,237,604,474
IoT_Original_Distribution,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,2,123,0,0.964,0.962881693329393,0.7764737504172488,306.7616297688801,195,592,372
IoT_Original_Distribution,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,3,456,1,0.9546666666666667,0.9530885270447316,0.7163470439122962,319.72224804293364,237,604,474
IoT_Original_Distribution,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,3,456,2,0.9546666666666667,0.9530885270447316,0.7163470439122962,320.56421953602694,195,592,372
IoT_Original_Distribution,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,4,789,0,0.9666666666666667,0.9656311975272157,0.7932418273770223,267.1903329328634,237,604,474
IoT_Original_Distribution,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,4,789,1,0.9666666666666667,0.9656311975272157,0.7932418273770223,321.8434992909897,195,592,372
IoT_Original_Distribution,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,5,1024,2,0.96,0.9569565217391305,0.7411188857944132,324.7730281718541,237,604,474
IoT_Original_Distribution,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,5,1024,0,0.9586666666666667,0.9557062350048046,0.7326424578694603,262.2987410048954,195,592,372
IoT_Original_Distribution,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,6,2048,1,0.964,0.961097244111258,0.7683882726092229,325.51133036613464,237,604,474
IoT_Original_Distribution,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,6,2048,2,0.9706666666666667,0.9691864790554746,0.8156096576071376,322.4592241900973,195,592,372
IoT_Original_Distribution,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,7,3072,0,0.964,0.9620363636363636,0.7712917296160039,268.36465011001565,237,604,474
IoT_Original_Distribution,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,7,3072,1,0.964,0.9620363636363636,0.7712917296160039,321.4962202049792,195,592,372
IoT_Original_Distribution,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,8,4096,2,0.9613333333333334,0.9582155584898695,0.7498401166884983,322.9430572760757,237,604,474
IoT_Original_Distribution,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,8,4096,0,0.9586666666666667,0.9549476858804409,0.7302448279086421,268.1533564089332,195,592,372
IoT_Original_Distribution,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,9,5120,1,0.9586666666666667,0.9553338728684811,0.7312919607677735,309.4408613170963,237,604,474
IoT_Original_Distribution,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,9,5120,2,0.9573333333333334,0.9540869565217391,0.7227440373862873,303.5571874980815,195,592,372
IoT_Original_Distribution,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,10,6144,0,0.96,0.9569565217391305,0.7411188857944132,268.881551316008,237,604,474
IoT_Original_Distribution,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,10,6144,1,0.9533333333333334,0.9482123298305163,0.6897892465381865,116.59298020298593,195,592,372
IoT_Original_Distribution,10q_2p5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,1,42,0,0.9613333333333334,0.958563897262559,0.7508492783930552,454.6258054859936,370,930,735
IoT_Original_Distribution,10q_2p5k,ZZ,3,full,L3,3,L3,qiskit_heavy,1,42,1,0.9613333333333334,0.958563897262559,0.7508492783930552,454.2298303639982,289,807,612
IoT_Original_Distribution,10q_2p5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,2,123,2,0.9533333333333334,0.9499909104892954,0.6962288168222703,444.8058367918711,370,930,735
IoT_Original_Distribution,10q_2p5k,ZZ,3,full,L3,3,L3,qiskit_heavy,2,123,0,0.952,0.9483478260869564,0.6859943405700354,387.81706704199314,289,807,612
IoT_Original_Distribution,10q_2p5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,3,456,1,0.956,0.9532309545317675,0.7163778151602925,450.75203833100386,370,930,735
IoT_Original_Distribution,10q_2p5k,ZZ,3,full,L3,3,L3,qiskit_heavy,3,456,2,0.956,0.9532309545317675,0.7163778151602925,451.96497618197463,289,807,612
IoT_Original_Distribution,10q_2p5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,4,789,0,0.9613333333333334,0.9595373848480157,0.7555033103169059,388.84690621704794,370,930,735
IoT_Original_Distribution,10q_2p5k,ZZ,3,full,L3,3,L3,qiskit_heavy,4,789,1,0.9546666666666667,0.9512173913043477,0.7043691889781614,442.5194091470912,289,807,612
IoT_Original_Distribution,10q_2p5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,5,1024,2,0.9613333333333334,0.958563897262559,0.7508492783930552,434.2690358539112,370,930,735
IoT_Original_Distribution,10q_2p5k,ZZ,3,full,L3,3,L3,qiskit_heavy,5,1024,0,0.9546666666666667,0.9503700750780679,0.7011928671763153,383.80875495192595,289,807,612
IoT_Original_Distribution,10q_2p5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,6,2048,1,0.952,0.9459725310660564,0.6785907002763875,456.1123328169342,370,930,735
IoT_Original_Distribution,10q_2p5k,ZZ,3,full,L3,3,L3,qiskit_heavy,6,2048,2,0.9613333333333334,0.9578542867913801,0.7491565551507513,447.4829014670104,289,807,612
IoT_Original_Distribution,10q_2p5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,7,3072,0,0.9533333333333334,0.948682048867263,0.6909394632784335,409.2523547769524,370,930,735
IoT_Original_Distribution,10q_2p5k,ZZ,3,full,L3,3,L3,qiskit_heavy,7,3072,1,0.9626666666666667,0.9601563999460689,0.7604867230869579,455.56687044911087,289,807,612
