dataset,config,feature_map,reps,entanglement,optimization,optimization_level,optimization_name,optimization_description,run,seed,gpu_id,accuracy,f1_score,mcc,training_time,circuit_depth,total_gates,two_qubit_gates
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,1,42,0,0.9546666666666667,0.9575561457269323,0.7795008184186926,274.38538281805813,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,1,42,1,0.9486666666666667,0.9519950511580313,0.7496239879314855,279.7828944969224,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,2,123,2,0.96,0.9621857416538717,0.7993956907456233,279.5357481279643,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,2,123,0,0.96,0.9621857416538717,0.7993956907456233,253.0374197040219,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,3,456,1,0.9406666666666667,0.9456122066712134,0.7300740400658026,268.89241363608744,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,3,456,2,0.9613333333333334,0.9632625047486387,0.8027363297881122,270.0476283719763,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,4,789,0,0.9546666666666667,0.9573529970495248,0.7754009734327173,210.19443889101967,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,4,789,1,0.9546666666666667,0.9573529970495248,0.7754009734327173,265.9828536170535,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,5,1024,2,0.9546666666666667,0.9569284538432317,0.7673304473147916,266.3043854669668,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,5,1024,0,0.9546666666666667,0.9569284538432317,0.7673304473147916,200.1030190240126,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,6,2048,1,0.9573333333333334,0.9588164839803776,0.7701949411529486,270.3297006209614,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,6,2048,2,0.9533333333333334,0.9554332680423616,0.7562137208034863,268.8741769819753,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,7,3072,0,0.9533333333333334,0.9551979853699486,0.7522266687925445,195.07807428808883,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,7,3072,1,0.9613333333333334,0.9626774386072172,0.7920982952477333,268.61124638596084,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,8,4096,2,0.96,0.9617999440363101,0.7919725643981961,270.830242358963,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,8,4096,0,0.9526666666666667,0.9554175125808769,0.7639370639604357,229.2114241149975,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,9,5120,1,0.9466666666666667,0.9495809888718288,0.7292646491487936,263.78665357793216,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,9,5120,2,0.944,0.9473184081200012,0.7198216544876251,272.4611064210767,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,10,6144,0,0.9613333333333334,0.9631685940123375,0.8009225293607383,260.39284008089453,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,10,6144,1,0.9666666666666667,0.9676468711186604,0.8182144150258319,233.02004179300275,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,11,7168,2,0.9533333333333334,0.9553165064102563,0.7542139235406125,266.73455058806576,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,11,7168,0,0.9533333333333334,0.9553165064102563,0.7542139235406125,266.7447618789738,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,12,8192,1,0.9533333333333334,0.9562039944501242,0.7705303644616922,195.41159899893682,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,12,8192,2,0.9593333333333334,0.9614111283512563,0.7930530351829883,264.4737535499735,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,13,9216,0,0.9626666666666667,0.9638652194283929,0.7977266593203619,267.11405703797936,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,13,9216,1,0.9626666666666667,0.9638652194283929,0.7977266593203619,198.46092888503335,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,14,10240,2,0.96,0.9615982731742415,0.7883518137678861,262.99484198901337,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,14,10240,0,0.962,0.9632706347516652,0.7949002935279957,262.35550237994175,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,15,11264,1,0.9626666666666667,0.9638652194283929,0.7977266593203619,203.84598928596824,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,15,11264,2,0.96,0.9616998626373626,0.7901542016194781,269.0401488440111,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,16,12288,0,0.9566666666666667,0.9588807105382239,0.7789251797801489,265.1030787869822,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,16,12288,1,0.9446666666666667,0.9486105873320623,0.7359341918993468,243.66584379493725,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,17,13312,2,0.96,0.9618985455300044,0.7938063807213714,249.8659735060064,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,17,13312,0,0.95,0.9527904833167758,0.7478659806542033,269.5066865789704,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,18,14336,1,0.9546666666666667,0.9573529970495248,0.7754009734327173,262.4106583070243,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,18,14336,2,0.9686666666666667,0.9697970150625762,0.8330112268534177,202.19915045402013,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,19,15360,0,0.9446666666666667,0.948725949722807,0.7382501928382417,265.92857931298204,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,19,15360,1,0.9446666666666667,0.948725949722807,0.7382501928382417,261.6391479319427,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,20,16384,2,0.9553333333333334,0.9570607093764544,0.7621035520981367,195.9356853730278,124,204,150
IoT_Original_Distribution,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,20,16384,0,0.9553333333333334,0.9568268864624838,0.758297281411662,267.5126936939778,124,196,142
IoT_Original_Distribution,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,21,17408,1,0.9433333333333334,0.9472524432247766,0.7268157963603983,269.4512758740457,124,204,150
