dataset,config,feature_map,reps,entanglement,optimization,optimization_level,optimization_name,optimization_description,run,seed,gpu_id,accuracy,f1_score,mcc,training_time,circuit_depth,total_gates,two_qubit_gates
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,1,42,0,0.9693333333333334,0.9668132889069857,0.8188327704831995,307.1653686128557,237,604,474
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,1,42,1,0.9693333333333334,0.9668132889069857,0.8188327704831995,329.0086114529986,195,592,372
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,2,123,2,0.9693333333333334,0.9668132889069857,0.8188327704831995,330.1734758380335,237,604,474
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,2,123,0,0.9693333333333334,0.9668132889069857,0.8188327704831995,315.06871337187476,195,592,372
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,3,456,1,0.9653333333333334,0.9620264441110277,0.7931590533305228,336.53772199410014,237,604,474
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,3,456,2,0.9653333333333334,0.9620264441110277,0.7931590533305228,336.3993174179923,195,592,372
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,4,789,0,0.9693333333333334,0.9668132889069857,0.8188327704831995,308.7218810841441,237,604,474
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,4,789,1,0.9693333333333334,0.9668132889069857,0.8188327704831995,334.4571429139469,195,592,372
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,5,1024,2,0.964,0.9604017216642754,0.7844645405527362,332.78459185990505,237,604,474
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,5,1024,0,0.964,0.9604017216642754,0.7844645405527362,312.916152899852,195,592,372
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,6,2048,1,0.9773333333333334,0.976025653013294,0.8685247607959182,331.8209451660514,237,604,474
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,6,2048,2,0.9773333333333334,0.976025653013294,0.8685247607959182,334.9480341251474,195,592,372
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,7,3072,0,0.9693333333333334,0.9668132889069857,0.8188327704831995,327.4804832460359,237,604,474
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,7,3072,1,0.9693333333333334,0.9668132889069857,0.8188327704831995,319.0522695509717,195,592,372
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,8,4096,2,0.976,0.9745215311004785,0.8603834844182797,333.8689419932198,237,604,474
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,8,4096,0,0.976,0.9745215311004785,0.8603834844182797,334.15369012602605,195,592,372
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,9,5120,1,0.9693333333333334,0.9668132889069857,0.8188327704831995,318.9167317589745,237,604,474
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,9,5120,2,0.9693333333333334,0.9668132889069857,0.8188327704831995,335.67543415515684,195,592,372
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,10,6144,0,0.972,0.9699353722456874,0.8356290217967334,256.5800248209853,237,604,474
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,10,6144,1,0.972,0.9699353722456874,0.8356290217967334,210.9779836558737,195,592,372
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,1,42,0,0.9586666666666667,0.9537468282026786,0.7489369236329161,463.2211713439319,370,930,735
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,3,full,L3,3,L3,qiskit_heavy,1,42,1,0.9586666666666667,0.9537468282026786,0.7489369236329161,463.99322902294807,289,807,612
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,2,123,2,0.9546666666666667,0.9485798285828185,0.7214231351401019,440.3482564990409,370,930,735
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,3,full,L3,3,L3,qiskit_heavy,2,123,0,0.9546666666666667,0.9485798285828185,0.7214231351401019,427.81167675787583,289,807,612
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,3,456,1,0.964,0.9604017216642754,0.7844645405527362,456.99123958917335,370,930,735
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,3,full,L3,3,L3,qiskit_heavy,3,456,2,0.964,0.9604017216642754,0.7844645405527362,460.6430864271242,289,807,612
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,4,789,0,0.9586666666666667,0.9537468282026786,0.7489369236329161,443.07085065706633,370,930,735
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,3,full,L3,3,L3,qiskit_heavy,4,789,1,0.9586666666666667,0.9537468282026786,0.7489369236329161,455.27331505692564,289,807,612
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,5,1024,2,0.964,0.9604017216642754,0.7844645405527362,456.826048794901,370,930,735
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,3,full,L3,3,L3,qiskit_heavy,5,1024,0,0.964,0.9604017216642754,0.7844645405527362,426.9764376829844,289,807,612
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,6,2048,1,0.968,0.9652318569349136,0.810340891548132,458.76089888601564,370,930,735
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,3,full,L3,3,L3,qiskit_heavy,6,2048,2,0.968,0.9652318569349136,0.810340891548132,453.4098953581415,289,807,612
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,7,3072,0,0.9613333333333334,0.9571062993305726,0.7668560372183176,432.6679544111248,370,930,735
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,3,full,L3,3,L3,qiskit_heavy,7,3072,1,0.9613333333333334,0.9571062993305726,0.7668560372183176,458.4741878239438,289,807,612
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,8,4096,2,0.9706666666666667,0.9683810131195335,0.8272614758937152,453.53231171309017,370,930,735
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,3,full,L3,3,L3,qiskit_heavy,8,4096,0,0.9706666666666667,0.9683810131195335,0.8272614758937152,438.2839104149025,289,807,612
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,9,5120,1,0.96,0.9554347826086956,0.7579367289598671,441.3592413610313,370,930,735
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,3,full,L3,3,L3,qiskit_heavy,9,5120,2,0.96,0.9554347826086956,0.7579367289598671,446.06833172310144,289,807,612
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,10,6144,0,0.9666666666666667,0.9636363636363636,0.8017837257372732,347.28241687710397,370,930,735
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,ZZ,3,full,L3,3,L3,qiskit_heavy,10,6144,1,0.9666666666666667,0.9636363636363636,0.8017837257372732,256.9311969289556,289,807,612
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,Pauli,2,full,L0,0,L0,baseline_unoptimized,1,42,0,0.9693333333333334,0.9668132889069857,0.8188327704831995,318.028759595938,237,604,474
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,Pauli,2,full,L3,3,L3,qiskit_heavy,1,42,1,0.9693333333333334,0.9668132889069857,0.8188327704831995,317.2308681430295,195,592,372
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,Pauli,2,full,L0,0,L0,baseline_unoptimized,2,123,2,0.9693333333333334,0.9668132889069857,0.8188327704831995,314.3330821839627,237,604,474
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,Pauli,2,full,L3,3,L3,qiskit_heavy,2,123,0,0.9693333333333334,0.9668132889069857,0.8188327704831995,315.7583544680383,195,592,372
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,Pauli,2,full,L0,0,L0,baseline_unoptimized,3,456,1,0.9653333333333334,0.9620264441110277,0.7931590533305228,339.33199018985033,237,604,474
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,Pauli,2,full,L3,3,L3,qiskit_heavy,3,456,2,0.9653333333333334,0.9620264441110277,0.7931590533305228,338.2059666230343,195,592,372
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,Pauli,2,full,L0,0,L0,baseline_unoptimized,4,789,0,0.9693333333333334,0.9668132889069857,0.8188327704831995,311.0344029609114,237,604,474
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,Pauli,2,full,L3,3,L3,qiskit_heavy,4,789,1,0.9693333333333334,0.9668132889069857,0.8188327704831995,331.04932830296457,195,592,372
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,Pauli,2,full,L0,0,L0,baseline_unoptimized,5,1024,2,0.964,0.9604017216642754,0.7844645405527362,331.759102222044,237,604,474
