dataset,config,feature_map,reps,entanglement,optimization,optimization_level,optimization_name,optimization_description,run,seed,gpu_id,accuracy,f1_score,mcc,training_time,circuit_depth,total_gates,two_qubit_gates
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,1,42,0,0.9966666666666667,0.9966400755284308,0.9805571131969575,274.6856161749456,124,204,150
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,1,42,1,0.9966666666666667,0.9966400755284308,0.9805571131969575,274.67834426194895,124,196,142
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,2,123,2,0.996,0.996,0.976810219993713,274.68045497802086,124,204,150
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,2,123,0,0.996,0.996,0.976810219993713,269.9240899819415,124,196,142
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,3,456,1,0.996,0.9959615546218488,0.9766394448969591,283.5084327820223,124,204,150
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,3,456,2,0.996,0.9959615546218488,0.9766394448969591,283.9574131829431,124,196,142
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,4,789,0,0.9973333333333333,0.9973163830309103,0.9844649139608554,268.0118117519887,124,204,150
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,4,789,1,0.9973333333333333,0.9973163830309103,0.9844649139608554,283.0376761739608,124,196,142
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,5,1024,2,0.9953333333333333,0.995340603358116,0.9730368435381365,284.59069362294395,124,204,150
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,5,1024,0,0.9953333333333333,0.995340603358116,0.9730368435381365,268.1564143509604,124,196,142
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,6,2048,1,0.9926666666666667,0.9926081661625477,0.9569943361344565,284.3679690770805,124,204,150
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,6,2048,2,0.9926666666666667,0.9926081661625477,0.9569943361344565,283.56639971002005,124,196,142
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,7,3072,0,0.996,0.9959615546218488,0.9766394448969591,269.22571354405954,124,204,150
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,7,3072,1,0.996,0.9959615546218488,0.9766394448969591,285.0941131429281,124,196,142
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,8,4096,2,0.9906666666666667,0.9904504197573457,0.9449265089561836,286.08905232697725,124,204,150
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,8,4096,0,0.9906666666666667,0.9904504197573457,0.9449265089561836,269.0458977239905,124,196,142
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,9,5120,1,0.9953333333333333,0.9952807936150397,0.9727117770954385,282.67703631694894,124,204,150
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,9,5120,2,0.9953333333333333,0.9952807936150397,0.9727117770954385,278.7981823409209,124,196,142
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,10,6144,0,0.996,0.9959615546218488,0.9766394448969591,264.6240907260217,124,204,150
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,10,6144,1,0.996,0.9959615546218488,0.9766394448969591,285.6579488089774,124,196,142
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,11,7168,2,0.9993333333333333,0.9993322865173985,0.9961303958175565,285.01074394304305,124,204,150
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,11,7168,0,0.9993333333333333,0.9993322865173985,0.9961303958175565,258.80930451501627,124,196,142
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,12,8192,1,0.9946666666666667,0.9945977654320335,0.9687739754174306,280.1457834460307,124,204,150
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,12,8192,2,0.9946666666666667,0.9945977654320335,0.9687739754174306,282.3149702710798,124,196,142
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,13,9216,0,0.9933333333333333,0.9932247972929835,0.9608674205030172,271.5169954620069,124,204,150
