dataset,config,feature_map,reps,entanglement,optimization,optimization_level,optimization_name,optimization_description,run,seed,gpu_id,accuracy,f1_score,mcc,training_time,circuit_depth,total_gates,two_qubit_gates
UNSW_NB15,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,1,42,0,0.8626666666666667,0.8637728203429401,0.7093425114194086,318.57747537698015,237,604,474
UNSW_NB15,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,1,42,1,0.8626666666666667,0.8637728203429401,0.7093425114194086,325.7102497739834,195,592,372
UNSW_NB15,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,2,123,2,0.88,0.8815639767900939,0.753676892333124,325.6618173409952,237,604,474
UNSW_NB15,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,2,123,0,0.9,0.9003425135638048,0.7851482436725631,296.7181266119878,195,592,372
UNSW_NB15,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,3,456,1,0.884,0.8853763143238088,0.7600113099153378,332.58457378699677,237,604,474
UNSW_NB15,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,3,456,2,0.8853333333333333,0.8867215392303849,0.7632418393942285,334.17355207400396,195,592,372
UNSW_NB15,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,4,789,0,0.856,0.8581705799719045,0.7078811263279913,293.3294201709796,237,604,474
UNSW_NB15,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,4,789,1,0.8346666666666667,0.8365876898673212,0.6551794834124297,314.86680674701347,195,592,372
UNSW_NB15,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,5,1024,2,0.8706666666666667,0.8714650129874904,0.7243966584815312,316.6083295950084,237,604,474
UNSW_NB15,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,5,1024,0,0.8506666666666667,0.8513368493091439,0.6799296829066596,300.6231747440179,195,592,372
UNSW_NB15,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,6,2048,1,0.884,0.8847160425764088,0.7529305912697682,316.0568411749555,237,604,474
UNSW_NB15,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,6,2048,2,0.8866666666666667,0.8872913204036419,0.7580580820743626,315.79089231195394,195,592,372
UNSW_NB15,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,7,3072,0,0.8773333333333333,0.8785673579294268,0.743129073238057,299.37115479196655,237,604,474
UNSW_NB15,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,7,3072,1,0.8773333333333333,0.8785673579294268,0.743129073238057,331.4324728799984,195,592,372
UNSW_NB15,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,8,4096,2,0.884,0.8855375648031386,0.7625574108708372,321.9781281320029,237,604,474
UNSW_NB15,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,8,4096,0,0.884,0.8855375648031386,0.7625574108708372,296.52910488902126,195,592,372
UNSW_NB15,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,9,5120,1,0.9,0.900617278083111,0.7871713106156527,327.5986413549981,237,604,474
UNSW_NB15,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,9,5120,2,0.9,0.900617278083111,0.7871713106156527,326.6474341659923,195,592,372
UNSW_NB15,10q_2p5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,10,6144,0,0.868,0.8687275378818888,0.7180576304803931,250.68809291603975,237,604,474
UNSW_NB15,10q_2p5k,ZZ,2,full,L3,3,L3,qiskit_heavy,10,6144,1,0.868,0.8687275378818888,0.7180576304803931,156.72940095199738,195,592,372
UNSW_NB15,10q_2p5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,1,42,0,0.8413333333333334,0.8424149482040856,0.6623490300111813,445.3542857330176,370,930,735
UNSW_NB15,10q_2p5k,ZZ,3,full,L3,3,L3,qiskit_heavy,1,42,1,0.856,0.8568415861927264,0.6926736557778539,457.5014982409775,289,807,612
UNSW_NB15,10q_2p5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,2,123,2,0.8853333333333333,0.8864235427277872,0.7593892721983885,458.3308338879724,370,930,735
UNSW_NB15,10q_2p5k,ZZ,3,full,L3,3,L3,qiskit_heavy,2,123,0,0.8973333333333333,0.8975332344762011,0.7785258914901622,418.9443805560004,289,807,612
UNSW_NB15,10q_2p5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,3,456,1,0.8893333333333333,0.8906463688376568,0.7712950315567287,457.3894659130019,370,930,735
UNSW_NB15,10q_2p5k,ZZ,3,full,L3,3,L3,qiskit_heavy,3,456,2,0.8893333333333333,0.8906463688376568,0.7712950315567287,451.463666783995,289,807,612
UNSW_NB15,10q_2p5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,4,789,0,0.8533333333333334,0.855309320567683,0.6983298581969337,448.8968961490318,370,930,735
UNSW_NB15,10q_2p5k,ZZ,3,full,L3,3,L3,qiskit_heavy,4,789,1,0.8533333333333334,0.855309320567683,0.6983298581969337,472.06989411101677,289,807,612
UNSW_NB15,10q_2p5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,5,1024,2,0.8613333333333333,0.8621437496670701,0.7040947420745219,465.45407643698854,370,930,735
UNSW_NB15,10q_2p5k,ZZ,3,full,L3,3,L3,qiskit_heavy,5,1024,0,0.872,0.8727480766157568,0.7269369146678579,423.7269846419804,289,807,612
UNSW_NB15,10q_2p5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,6,2048,1,0.88,0.8801879881125164,0.740882323796012,463.9420168250217,370,930,735
UNSW_NB15,10q_2p5k,ZZ,3,full,L3,3,L3,qiskit_heavy,6,2048,2,0.88,0.8801879881125164,0.740882323796012,462.20103898702655,289,807,612
UNSW_NB15,10q_2p5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,7,3072,0,0.8786666666666667,0.879569885624415,0.7427867471599806,431.4757159999572,370,930,735
UNSW_NB15,10q_2p5k,ZZ,3,full,L3,3,L3,qiskit_heavy,7,3072,1,0.8813333333333333,0.8822167013249774,0.7484790067378814,453.63615232595475,289,807,612
UNSW_NB15,10q_2p5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,8,4096,2,0.8893333333333333,0.8901571484266642,0.7655557854715834,447.85203691298375,370,930,735
UNSW_NB15,10q_2p5k,ZZ,3,full,L3,3,L3,qiskit_heavy,8,4096,0,0.8906666666666667,0.891706168647425,0.7707267119401805,415.87295420700684,289,807,612
UNSW_NB15,10q_2p5k,ZZ,3,full,L0,0,L0,baseline_unoptimized,9,5120,1,0.8946666666666667,0.8951025292904913,0.7741579675171772,466.94804516999284,370,930,735
UNSW_NB15,10q_2p5k,ZZ,3,full,L3,3,L3,qiskit_heavy,9,5120,2,0.8946666666666667,0.8951025292904913,0.7741579675171772,463.0605096819927,289,807,612
