dataset,config,feature_map,reps,entanglement,optimization,optimization_level,optimization_name,optimization_description,run,seed,gpu_id,accuracy,f1_score,mcc,training_time,circuit_depth,total_gates,two_qubit_gates
UNSW_NB15,10q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,1,42,0,0.8866666666666667,0.887926436988937,0.7644609980045476,629.6404457078315,237,604,474
UNSW_NB15,10q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,1,42,1,0.8866666666666667,0.887926436988937,0.7644609980045476,626.6032377439551,195,592,372
UNSW_NB15,10q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,2,123,2,0.8706666666666667,0.872104286916787,0.7305586180792449,629.1508416379802,237,604,474
UNSW_NB15,10q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,2,123,0,0.8706666666666667,0.872104286916787,0.7305586180792449,627.3526606080122,195,592,372
UNSW_NB15,10q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,3,456,1,0.8713333333333333,0.8729166724078163,0.7336830782395152,666.9060398642905,237,604,474
UNSW_NB15,10q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,3,456,2,0.8686666666666667,0.8704621867664227,0.7307336961834441,669.2825952852145,195,592,372
UNSW_NB15,10q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,4,789,0,0.8973333333333333,0.8981962172479612,0.783419217323532,606.1003442341462,237,604,474
UNSW_NB15,10q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,4,789,1,0.876,0.8769670256345123,0.7372442172188791,671.3360133171082,195,592,372
UNSW_NB15,10q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,5,1024,2,0.8826666666666667,0.8839178193086595,0.7550479228928721,670.4146186080761,237,604,474
UNSW_NB15,10q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,5,1024,0,0.8713333333333333,0.8730068381065985,0.7349982251655192,607.1722255735658,195,592,372
UNSW_NB15,10q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,6,2048,1,0.8733333333333333,0.8750786526364006,0.7408092583742086,668.5971660036594,237,604,474
UNSW_NB15,10q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,6,2048,2,0.8733333333333333,0.8750786526364006,0.7408092583742086,666.5147419590503,195,592,372
UNSW_NB15,10q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,7,3072,0,0.882,0.8833351937483289,0.7546121952117872,595.9474462387152,237,604,474
UNSW_NB15,10q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,7,3072,1,0.8746666666666667,0.8764717615362012,0.7450275518085625,667.8679661327042,195,592,372
UNSW_NB15,10q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,8,4096,2,0.8673333333333333,0.8692573765963859,0.7298216089131434,667.0837016226724,237,604,474
UNSW_NB15,10q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,8,4096,0,0.8673333333333333,0.8692573765963859,0.7298216089131434,602.19470374519,195,592,372
UNSW_NB15,10q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,9,5120,1,0.8893333333333333,0.8903920786148146,0.7677355638384742,663.9780533337034,237,604,474
UNSW_NB15,10q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,9,5120,2,0.8893333333333333,0.8903920786148146,0.7677355638384742,664.1761703193188,195,592,372
UNSW_NB15,10q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,10,6144,0,0.888,0.8890011485220334,0.7643592782401754,608.1789953988045,237,604,474
UNSW_NB15,10q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,10,6144,1,0.888,0.8890011485220334,0.7643592782401754,669.5939597603865,195,592,372
UNSW_NB15,10q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,11,7168,2,0.8673333333333333,0.8692702752703599,0.7304656241125195,668.2888216711581,237,604,474
UNSW_NB15,10q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,11,7168,0,0.8673333333333333,0.8692702752703599,0.7304656241125195,616.9452813067473,195,592,372
UNSW_NB15,10q_5k,ZZ,2,full,L0,0,L0,baseline_unoptimized,12,8192,1,0.8773333333333333,0.8785751258187092,0.742957674559695,660.7642274959944,237,604,474
UNSW_NB15,10q_5k,ZZ,2,full,L3,3,L3,qiskit_heavy,12,8192,2,0.864,0.8655561868686868,0.7166663695766846,662.9947676211596,195,592,372
