dataset,config,optimization_level,optimization_name,optimization_description,run,seed,gpu_id,circuit_depth,total_gates,two_qubit_gates,accuracy,f1_score,mcc,training_time
IoT_Original_Distribution,10q_2p5k,0,L0,baseline_unoptimized,1,42,0,237,604,474,0.9653333333333334,0.9632983245811453,0.7794961438160072,315.0826387030538
IoT_Original_Distribution,10q_2p5k,0,L0,baseline_unoptimized,2,123,1,237,604,474,0.96,0.9579815623483746,0.7458596868881692,303.4683534419164
IoT_Original_Distribution,10q_2p5k,0,L0,baseline_unoptimized,3,456,2,237,604,474,0.9506666666666667,0.9475619793234971,0.6806066193300515,314.4039020331111
IoT_Original_Distribution,10q_2p5k,0,L0,baseline_unoptimized,4,789,0,237,604,474,0.9666666666666667,0.9656311975272157,0.7932418273770223,286.7012163409963
IoT_Original_Distribution,10q_2p5k,0,L0,baseline_unoptimized,5,1024,1,237,604,474,0.9613333333333334,0.9592242424242425,0.7537090914028731,320.5078656869009
IoT_Original_Distribution,10q_2p5k,0,L0,baseline_unoptimized,6,2048,2,237,604,474,0.9666666666666667,0.9642792217780681,0.7872629194402451,322.42219992005266
IoT_Original_Distribution,10q_2p5k,0,L0,baseline_unoptimized,7,3072,0,237,604,474,0.9586666666666667,0.9553338728684811,0.7312919607677735,263.77699532709084
IoT_Original_Distribution,10q_2p5k,0,L0,baseline_unoptimized,8,4096,1,237,604,474,0.9573333333333334,0.9532894824264169,0.7202954698055284,311.7491695561912
IoT_Original_Distribution,10q_2p5k,0,L0,baseline_unoptimized,9,5120,2,237,604,474,0.96,0.9569565217391305,0.7411188857944132,314.7521579100285
IoT_Original_Distribution,10q_2p5k,0,L0,baseline_unoptimized,10,6144,0,237,604,474,0.9533333333333334,0.9482123298305163,0.6897892465381865,146.40804869495332
IoT_Original_Distribution,10q_2p5k,1,L1,qiskit_light,1,42,0,225,562,432,0.9666666666666667,0.9648484848484848,0.7888743678291347,303.1552190480288
IoT_Original_Distribution,10q_2p5k,1,L1,qiskit_light,2,123,1,225,562,432,0.9573333333333334,0.9548287071767942,0.7263003196247418,309.57842717692256
IoT_Original_Distribution,10q_2p5k,1,L1,qiskit_light,3,456,2,225,562,432,0.9546666666666667,0.9530885270447316,0.7163470439122962,309.6458549851086
