dataset,config,optimization_level,optimization_name,optimization_description,run,seed,gpu_id,circuit_depth,total_gates,two_qubit_gates,accuracy,f1_score,mcc,training_time
IoT_Original_Distribution,6q_5k,0,L0,baseline_unoptimized,1,42,0,124,204,150,0.9486666666666667,0.9519950511580313,0.7496239879314855,281.82159820001107
IoT_Original_Distribution,6q_5k,0,L0,baseline_unoptimized,2,123,1,124,204,150,0.96,0.9621857416538717,0.7993956907456233,272.51296020299196
IoT_Original_Distribution,6q_5k,0,L0,baseline_unoptimized,3,456,2,124,204,150,0.9406666666666667,0.9456122066712134,0.7300740400658026,281.4378005209146
IoT_Original_Distribution,6q_5k,0,L0,baseline_unoptimized,4,789,0,124,204,150,0.9546666666666667,0.9573529970495248,0.7754009734327173,244.78703874605708
IoT_Original_Distribution,6q_5k,0,L0,baseline_unoptimized,5,1024,1,124,204,150,0.952,0.954844349817144,0.7615061436964442,276.5206137779169
IoT_Original_Distribution,6q_5k,0,L0,baseline_unoptimized,6,2048,2,124,204,150,0.9526666666666667,0.954855156513257,0.753651251609038,276.9667916110484
IoT_Original_Distribution,6q_5k,0,L0,baseline_unoptimized,7,3072,0,124,204,150,0.9533333333333334,0.9551979853699486,0.7522266687925445,198.94199892308097
IoT_Original_Distribution,6q_5k,0,L0,baseline_unoptimized,8,4096,1,124,204,150,0.954,0.9558966469324232,0.756821928708788,277.34213715209626
IoT_Original_Distribution,6q_5k,0,L0,baseline_unoptimized,9,5120,2,124,204,150,0.944,0.9473184081200012,0.7198216544876251,272.9655699080322
IoT_Original_Distribution,6q_5k,0,L0,baseline_unoptimized,10,6144,0,124,204,150,0.9613333333333334,0.9631685940123375,0.8009225293607383,206.4665881919209
IoT_Original_Distribution,6q_5k,0,L0,baseline_unoptimized,11,7168,1,124,204,150,0.9533333333333334,0.9553165064102563,0.7542139235406125,264.3862474679481
IoT_Original_Distribution,6q_5k,0,L0,baseline_unoptimized,12,8192,2,124,204,150,0.9673333333333334,0.9685966382006906,0.8272975674665805,264.3166758149164
