dataset,config,optimization_level,optimization_name,optimization_description,run,seed,gpu_id,circuit_depth,total_gates,two_qubit_gates,accuracy,f1_score,mcc,training_time
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,0,L0,baseline_unoptimized,1,42,0,237,604,474,0.9693333333333334,0.9668132889069857,0.8188327704831995,325.11313979304396
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,0,L0,baseline_unoptimized,2,123,1,237,604,474,0.9693333333333334,0.9668132889069857,0.8188327704831995,325.9337861740496
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,0,L0,baseline_unoptimized,3,456,2,237,604,474,0.9653333333333334,0.9620264441110277,0.7931590533305228,300.3404770649504
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,0,L0,baseline_unoptimized,4,789,0,237,604,474,0.9693333333333334,0.9668132889069857,0.8188327704831995,310.50695484504104
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,0,L0,baseline_unoptimized,5,1024,1,237,604,474,0.964,0.9604017216642754,0.7844645405527362,327.41775179700926
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,0,L0,baseline_unoptimized,6,2048,2,237,604,474,0.9773333333333334,0.976025653013294,0.8685247607959182,328.36192403011955
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,0,L0,baseline_unoptimized,7,3072,0,237,604,474,0.9693333333333334,0.9668132889069857,0.8188327704831995,308.819574363064
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,0,L0,baseline_unoptimized,8,4096,1,237,604,474,0.976,0.9745215311004785,0.8603834844182797,336.3710126399528
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,0,L0,baseline_unoptimized,9,5120,2,237,604,474,0.9693333333333334,0.9668132889069857,0.8188327704831995,334.88219307293184
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,0,L0,baseline_unoptimized,10,6144,0,237,604,474,0.972,0.9699353722456874,0.8356290217967334,141.95383837097324
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,1,L1,qiskit_light,1,42,0,225,562,432,0.9693333333333334,0.9668132889069857,0.8188327704831995,303.69075416889973
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,1,L1,qiskit_light,2,123,1,225,562,432,0.9693333333333334,0.9668132889069857,0.8188327704831995,303.98331496003084
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,1,L1,qiskit_light,3,456,2,225,562,432,0.9653333333333334,0.9620264441110277,0.7931590533305228,303.9586040189024
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,1,L1,qiskit_light,4,789,0,225,562,432,0.9693333333333334,0.9668132889069857,0.8188327704831995,314.544238648843
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,1,L1,qiskit_light,5,1024,1,225,562,432,0.964,0.9604017216642754,0.7844645405527362,298.79599612299353
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,1,L1,qiskit_light,6,2048,2,225,562,432,0.9773333333333334,0.976025653013294,0.8685247607959182,314.3839519629255
UNSW_2018_IoT_Botnet_Final_10_Best,10q_2p5k,1,L1,qiskit_light,7,3072,0,225,562,432,0.9693333333333334,0.9668132889069857,0.8188327704831995,301.0245526190847
