dataset,config,optimization_level,optimization_name,optimization_description,run,seed,gpu_id,circuit_depth,total_gates,two_qubit_gates,accuracy,f1_score,mcc,training_time
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,1,42,0,124,204,150,0.9966666666666667,0.9966400755284308,0.9805571131969575,273.5674508670345
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,2,123,1,124,204,150,0.996,0.996,0.976810219993713,277.1834756770404
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,3,456,2,124,204,150,0.996,0.9959615546218488,0.9766394448969591,277.07724451099057
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,4,789,0,124,204,150,0.9973333333333333,0.9973163830309103,0.9844649139608554,265.8241920559667
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,5,1024,1,124,204,150,0.9953333333333333,0.995340603358116,0.9730368435381365,285.8484079979826
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,6,2048,2,124,204,150,0.9926666666666667,0.9926081661625477,0.9569943361344565,286.4084956110455
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,7,3072,0,124,204,150,0.996,0.9959615546218488,0.9766394448969591,271.1463354229927
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,8,4096,1,124,204,150,0.9906666666666667,0.9904504197573457,0.9449265089561836,284.74525529902894
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,9,5120,2,124,204,150,0.9953333333333333,0.9952807936150397,0.9727117770954385,286.03038795792963
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,10,6144,0,124,204,150,0.996,0.9959615546218488,0.9766394448969591,277.8641196489334
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,11,7168,1,124,204,150,0.9993333333333333,0.9993322865173985,0.9961303958175565,289.82881343504414
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,12,8192,2,124,204,150,0.9946666666666667,0.9945977654320335,0.9687739754174306,290.62499286804814
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,13,9216,0,124,204,150,0.9933333333333333,0.9932247972929835,0.9608674205030172,270.2674881690182
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,14,10240,1,124,204,150,0.9966666666666667,0.9966400755284308,0.9805571131969575,289.2998057639925
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,15,11264,2,124,204,150,0.9946666666666667,0.9946832186168468,0.9693011272631611,286.98358339909464
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,16,12288,0,124,204,150,0.996,0.9959615546218488,0.9766394448969591,264.3927446339512
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,17,13312,1,124,204,150,0.9946666666666667,0.994615406162465,0.968759465082397,277.4717045050347
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,18,14336,2,124,204,150,0.9933333333333333,0.9932247972929835,0.9608674205030172,275.89888735103887
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,19,15360,0,124,204,150,0.9973333333333333,0.9973163830309103,0.9844649139608554,270.2667145669693
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,20,16384,1,124,204,150,0.9946666666666667,0.9945977654320335,0.9687739754174306,287.7174541299464
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,21,17408,2,124,204,150,0.994,0.9939124426101495,0.9648259030152229,287.96821563807316
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,22,18432,0,124,204,150,0.996,0.9959615546218488,0.9766394448969591,270.7109988760203
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,23,19456,1,124,204,150,0.9966666666666667,0.9966400755284308,0.9805571131969575,285.8276006189408
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,24,20480,2,124,204,150,0.9966666666666667,0.9966400755284308,0.9805571131969575,287.5334369109478
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,25,21504,0,124,204,150,0.9953333333333333,0.9952807936150397,0.9727117770954385,272.9371546920156
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,26,22528,1,124,204,150,0.9966666666666667,0.9966400755284308,0.9805571131969575,280.5126505709486
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,27,23552,2,124,204,150,0.9966666666666667,0.9966400755284308,0.9805571131969575,280.2611729990458
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,28,24576,0,124,204,150,0.9946666666666667,0.9946327660618205,0.9688072542805272,271.62669880792964
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,29,25600,1,124,204,150,0.9953333333333333,0.9952807936150397,0.9727117770954385,235.76410483696964
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,0,L0,baseline_unoptimized,30,26624,2,124,204,150,0.9966666666666667,0.9966400755284308,0.9805571131969575,233.6858232379891
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,1,L1,qiskit_light,1,42,0,127,198,144,0.9966666666666667,0.9966400755284308,0.9805571131969575,272.10230053495616
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,1,L1,qiskit_light,2,123,1,127,198,144,0.996,0.996,0.976810219993713,272.4707916950574
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,1,L1,qiskit_light,3,456,2,127,198,144,0.996,0.9959615546218488,0.9766394448969591,272.5192140680738
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,1,L1,qiskit_light,4,789,0,127,198,144,0.9973333333333333,0.9973163830309103,0.9844649139608554,267.50432077795267
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,1,L1,qiskit_light,5,1024,1,127,198,144,0.9953333333333333,0.995340603358116,0.9730368435381365,287.4602539410116
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,1,L1,qiskit_light,6,2048,2,127,198,144,0.9926666666666667,0.9926081661625477,0.9569943361344565,287.59274285205174
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,1,L1,qiskit_light,7,3072,0,127,198,144,0.996,0.9959615546218488,0.9766394448969591,265.838278412004
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,1,L1,qiskit_light,8,4096,1,127,198,144,0.9906666666666667,0.9904504197573457,0.9449265089561836,282.38668539596256
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,1,L1,qiskit_light,9,5120,2,127,198,144,0.9953333333333333,0.9952807936150397,0.9727117770954385,284.2203200580552
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,1,L1,qiskit_light,10,6144,0,127,198,144,0.996,0.9959615546218488,0.9766394448969591,258.9271677689394
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,1,L1,qiskit_light,11,7168,1,127,198,144,0.9993333333333333,0.9993322865173985,0.9961303958175565,286.0421196540119
UNSW_2018_IoT_Botnet_Final_10_Best,6q_5k,1,L1,qiskit_light,12,8192,2,127,198,144,0.9946666666666667,0.9945977654320335,0.9687739754174306,284.6592867280124
