dataset,config,optimization_level,optimization_name,optimization_description,run,seed,gpu_id,circuit_depth,total_gates,two_qubit_gates,accuracy,f1_score,mcc,training_time
UNSW_NB15,10q_2p5k,0,L0,baseline_unoptimized,1,42,0,237,604,474,0.8626666666666667,0.8637728203429401,0.7093425114194086,321.3315609100391
UNSW_NB15,10q_2p5k,0,L0,baseline_unoptimized,2,123,1,237,604,474,0.884,0.8853188476278281,0.7592054600844044,321.12586040695896
UNSW_NB15,10q_2p5k,0,L0,baseline_unoptimized,3,456,2,237,604,474,0.8853333333333333,0.8867215392303849,0.7632418393942285,315.6677429199917
UNSW_NB15,10q_2p5k,0,L0,baseline_unoptimized,4,789,0,237,604,474,0.856,0.8581705799719045,0.7078811263279913,296.13497261703014
UNSW_NB15,10q_2p5k,0,L0,baseline_unoptimized,5,1024,1,237,604,474,0.8506666666666667,0.8513368493091439,0.6799296829066596,327.1763171409839
UNSW_NB15,10q_2p5k,0,L0,baseline_unoptimized,6,2048,2,237,604,474,0.884,0.8847160425764088,0.7529305912697682,328.754703418992
UNSW_NB15,10q_2p5k,0,L0,baseline_unoptimized,7,3072,0,237,604,474,0.8773333333333333,0.8785673579294268,0.743129073238057,291.1641400799854
UNSW_NB15,10q_2p5k,0,L0,baseline_unoptimized,8,4096,1,237,604,474,0.884,0.8855375648031386,0.7625574108708372,325.1872790919733
UNSW_NB15,10q_2p5k,0,L0,baseline_unoptimized,9,5120,2,237,604,474,0.9,0.900617278083111,0.7871713106156527,327.7782347520115
UNSW_NB15,10q_2p5k,0,L0,baseline_unoptimized,10,6144,0,237,604,474,0.868,0.8687275378818888,0.7180576304803931,141.03267134301132
UNSW_NB15,10q_2p5k,1,L1,qiskit_light,1,42,0,225,562,432,0.8626666666666667,0.8637728203429401,0.7093425114194086,303.8155275109457
UNSW_NB15,10q_2p5k,1,L1,qiskit_light,2,123,1,225,562,432,0.876,0.877471232553037,0.7430857274532514,311.28898630599724
UNSW_NB15,10q_2p5k,1,L1,qiskit_light,3,456,2,225,562,432,0.884,0.8853763143238088,0.7600113099153378,310.98631969303824
UNSW_NB15,10q_2p5k,1,L1,qiskit_light,4,789,0,225,562,432,0.8346666666666667,0.8365876898673212,0.6551794834124297,287.225811440032
UNSW_NB15,10q_2p5k,1,L1,qiskit_light,5,1024,1,225,562,432,0.8506666666666667,0.8513368493091439,0.6799296829066596,315.8138716899557
UNSW_NB15,10q_2p5k,1,L1,qiskit_light,6,2048,2,225,562,432,0.8866666666666667,0.8872913204036419,0.7580580820743626,316.6223426319775
UNSW_NB15,10q_2p5k,1,L1,qiskit_light,7,3072,0,225,562,432,0.8733333333333333,0.8745728761946414,0.7342551114964845,292.8450006789644
UNSW_NB15,10q_2p5k,1,L1,qiskit_light,8,4096,1,225,562,432,0.884,0.8855375648031386,0.7625574108708372,313.0907045149943
UNSW_NB15,10q_2p5k,1,L1,qiskit_light,9,5120,2,225,562,432,0.9,0.9004833404833404,0.7861120616985272,313.9895656189765
UNSW_NB15,10q_2p5k,1,L1,qiskit_light,10,6144,0,225,562,432,0.868,0.8687275378818888,0.7180576304803931,126.86884258099599
UNSW_NB15,10q_2p5k,2,L2,qiskit_medium,1,42,0,195,592,372,0.8506666666666667,0.8514394179571597,0.6805811255828472,323.6254855009611
UNSW_NB15,10q_2p5k,2,L2,qiskit_medium,2,123,1,195,592,372,0.876,0.877471232553037,0.7430857274532514,322.9579638610012
UNSW_NB15,10q_2p5k,2,L2,qiskit_medium,3,456,2,195,592,372,0.884,0.8853763143238088,0.7600113099153378,323.6295746539836
UNSW_NB15,10q_2p5k,2,L2,qiskit_medium,4,789,0,195,592,372,0.8573333333333333,0.8596085497039399,0.713291179042539,325.7567929289653
UNSW_NB15,10q_2p5k,2,L2,qiskit_medium,5,1024,1,195,592,372,0.8506666666666667,0.8513368493091439,0.6799296829066596,325.1639359369874
UNSW_NB15,10q_2p5k,2,L2,qiskit_medium,6,2048,2,195,592,372,0.884,0.8847160425764088,0.7529305912697682,318.29191426897887
UNSW_NB15,10q_2p5k,2,L2,qiskit_medium,7,3072,0,195,592,372,0.8826666666666667,0.8839099244185902,0.7552088980608882,310.52080862695584
UNSW_NB15,10q_2p5k,2,L2,qiskit_medium,8,4096,1,195,592,372,0.884,0.8855375648031386,0.7625574108708372,333.6757024009712
UNSW_NB15,10q_2p5k,2,L2,qiskit_medium,9,5120,2,195,592,372,0.8973333333333333,0.8978295628962295,0.7803899447076318,329.40223883796716
UNSW_NB15,10q_2p5k,2,L2,qiskit_medium,10,6144,0,195,592,372,0.868,0.8687275378818888,0.7180576304803931,112.7950152179692
UNSW_NB15,10q_2p5k,3,L3,qiskit_heavy,1,42,0,195,592,372,0.8573333333333333,0.8583953600199167,0.6972486705367751,324.29431372199906
UNSW_NB15,10q_2p5k,3,L3,qiskit_heavy,2,123,1,195,592,372,0.88,0.8815639767900939,0.753676892333124,329.7199189499952
UNSW_NB15,10q_2p5k,3,L3,qiskit_heavy,3,456,2,195,592,372,0.8653333333333333,0.8666511631121978,0.7172584653970288,329.7822122189682
UNSW_NB15,10q_2p5k,3,L3,qiskit_heavy,4,789,0,195,592,372,0.852,0.8538955015890058,0.6941139388231395,307.7165644199704
