dataset,config,optimization_level,optimization_name,optimization_description,run,seed,gpu_id,circuit_depth,total_gates,two_qubit_gates,accuracy,f1_score,mcc,training_time
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,1,42,0,124,204,150,0.84,0.8422234156820623,0.6711940496068474,276.24823725922033
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,2,123,1,124,204,150,0.866,0.8669346881284481,0.7152366980897982,282.3440017560497
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,3,456,2,124,204,150,0.87,0.8706987871894653,0.7219850140760168,281.907784035895
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,4,789,0,124,204,150,0.842,0.8437057143838474,0.6689472224372437,260.6538180052303
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,5,1024,1,124,204,150,0.882,0.8779883524351422,0.7439252184215775,282.65854561701417
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,6,2048,2,124,204,150,0.838,0.8408098481706526,0.677378793342906,282.5188945038244
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,7,3072,0,124,204,150,0.852,0.8540706098359677,0.6962968318254461,240.18205166701227
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,8,4096,1,124,204,150,0.8613333333333333,0.8625805210099601,0.7074065281969861,280.7437769267708
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,9,5120,2,124,204,150,0.8533333333333334,0.8550848038590196,0.6949355645169694,280.153818203602
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,10,6144,0,124,204,150,0.8913333333333333,0.8869336170810926,0.7685826740333161,238.84670248581097
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,11,7168,1,124,204,150,0.87,0.8712541446283778,0.7269830053436579,280.16979923611507
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,12,8192,2,124,204,150,0.8626666666666667,0.8634740622419885,0.706735634561237,274.6733350590803
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,13,9216,0,124,204,150,0.854,0.850231060401642,0.6778379791922532,247.47472606319934
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,14,10240,1,124,204,150,0.8633333333333333,0.8645351852070563,0.7116771416608624,283.9397138450295
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,15,11264,2,124,204,150,0.844,0.8458886056971514,0.6758356825939024,281.4189976770431
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,16,12288,0,124,204,150,0.8786666666666667,0.879214378962658,0.7398586855893711,244.7268448821269
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,17,13312,1,124,204,150,0.8406666666666667,0.8428304204573717,0.6718615251869926,278.55359947122633
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,18,14336,2,124,204,150,0.8686666666666667,0.8691869259820836,0.7181460662023482,280.09996039094403
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,19,15360,0,124,204,150,0.894,0.8941465403283585,0.7708366202758756,244.83127596694976
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,20,16384,1,124,204,150,0.8693333333333333,0.8700969948785852,0.721226371519524,283.444370044861
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,21,17408,2,124,204,150,0.882,0.8776448494533765,0.7449140326745637,281.79713079566136
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,22,18432,0,124,204,150,0.86,0.8615661574618096,0.7077670809771981,240.580320158042
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,23,19456,1,124,204,150,0.8573333333333333,0.8594023517410964,0.7091777236102729,280.37578447628766
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,24,20480,2,124,204,150,0.8693333333333333,0.8701873557165553,0.7216645650485666,279.55755548365414
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,25,21504,0,124,204,150,0.8533333333333334,0.8548972741358245,0.6927868215411191,263.16126529406756
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,26,22528,1,124,204,150,0.856,0.856894185329772,0.6927861005948214,274.68556835176423
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,27,23552,2,124,204,150,0.8833333333333333,0.8838365661346347,0.7499389002358935,283.4496195567772
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,28,24576,0,124,204,150,0.8586666666666667,0.8600187991948236,0.7025006462293059,279.02011859277263
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,29,25600,1,124,204,150,0.838,0.8400698604354645,0.6641047317144095,176.98628320498392
UNSW_NB15,6q_5k,0,L0,baseline_unoptimized,30,26624,2,124,204,150,0.8573333333333333,0.8589658038720539,0.7025383319899775,177.93002786440775
UNSW_NB15,6q_5k,1,L1,qiskit_light,1,42,0,127,198,144,0.84,0.8422234156820623,0.6711940496068474,279.6988553116098
UNSW_NB15,6q_5k,1,L1,qiskit_light,2,123,1,127,198,144,0.866,0.8669346881284481,0.7152366980897982,275.19758398784325
UNSW_NB15,6q_5k,1,L1,qiskit_light,3,456,2,127,198,144,0.8606666666666667,0.8617317925925926,0.7043319056602995,279.10708826128393
UNSW_NB15,6q_5k,1,L1,qiskit_light,4,789,0,127,198,144,0.842,0.8437057143838474,0.6689472224372437,258.5058262171224
UNSW_NB15,6q_5k,1,L1,qiskit_light,5,1024,1,127,198,144,0.882,0.8779883524351422,0.7439252184215775,278.0826040939428
UNSW_NB15,6q_5k,1,L1,qiskit_light,6,2048,2,127,198,144,0.84,0.8429026117694226,0.6854792101608954,276.5896990438923
UNSW_NB15,6q_5k,1,L1,qiskit_light,7,3072,0,127,198,144,0.852,0.8540706098359677,0.6962968318254461,233.34538419125602
UNSW_NB15,6q_5k,1,L1,qiskit_light,8,4096,1,127,198,144,0.8506666666666667,0.8522984424660661,0.6875497649158131,276.26996634621173
UNSW_NB15,6q_5k,1,L1,qiskit_light,9,5120,2,127,198,144,0.8446666666666667,0.8466870118074479,0.6786644351442488,274.6847351989709
UNSW_NB15,6q_5k,1,L1,qiskit_light,10,6144,0,127,198,144,0.8913333333333333,0.8869336170810926,0.7685826740333161,230.40559803321958
UNSW_NB15,6q_5k,1,L1,qiskit_light,11,7168,1,127,198,144,0.87,0.8712541446283778,0.7269830053436579,275.2052798657678
UNSW_NB15,6q_5k,1,L1,qiskit_light,12,8192,2,127,198,144,0.86,0.8609150239820235,0.7016892974595773,272.0393003229983
UNSW_NB15,6q_5k,1,L1,qiskit_light,13,9216,0,127,198,144,0.854,0.850231060401642,0.6778379791922532,243.16429940331727
