dataset,num_qubits,seed,C,accuracy,mcc,f1_score,kernel_time
IoT,6,42,0.01,0.9544950055493896,0.6995175746922305,0.9501448480055144,52.512994196033105
IoT,6,42,0.1,0.9633740288568258,0.7894129262950642,0.9638470966098752,52.512994196033105
IoT,6,42,0.5,0.9689234184239733,0.824775010525178,0.9695532552137145,52.512994196033105
IoT,6,42,1.0,0.9622641509433962,0.7896608206970448,0.9632079649021306,52.512994196033105
IoT,6,42,2.0,0.9611542730299667,0.7820266260059706,0.9620343034756399,52.512994196033105
IoT,6,42,5.0,0.9667036625971143,0.8074543659359243,0.96704997490938,52.512994196033105
IoT,6,42,10.0,0.9689234184239733,0.8161974704202366,0.9689234184239733,52.512994196033105
IoT,6,42,50.0,0.9700332963374029,0.8218281419815378,0.9699527397973148,52.512994196033105
IoT,6,42,100.0,0.9722530521642619,0.8318614711998558,0.9718698084629407,52.512994196033105
IoT,6,123,0.01,0.9522752497225305,0.6866677695265663,0.9484630955570419,53.639446588931605
IoT,6,123,0.1,0.9655937846836848,0.7976023176200749,0.9656850435552993,53.639446588931605
IoT,6,123,0.5,0.9678135405105438,0.8196665051009355,0.9685427085941016,53.639446588931605
IoT,6,123,1.0,0.9644839067702553,0.8047991210078024,0.9655363976547042,53.639446588931605
IoT,6,123,2.0,0.9655937846836848,0.8096805612196815,0.9665343635897116,53.639446588931605
IoT,6,123,5.0,0.9700332963374029,0.8237208983021039,0.9701127798707444,53.639446588931605
IoT,6,123,10.0,0.9678135405105438,0.8106616079610894,0.9678989117130219,53.639446588931605
IoT,6,123,50.0,0.9655937846836848,0.7976023176200749,0.9656850435552993,53.639446588931605
IoT,6,123,100.0,0.9655937846836848,0.7954290847629073,0.9655012938413614,53.639446588931605
IoT,6,456,0.01,0.9389567147613762,0.6075019737074898,0.9358347782798039,54.63499166211113
IoT,6,456,0.1,0.9567147613762487,0.7510313898023572,0.9572738414480343,54.63499166211113
IoT,6,456,0.5,0.9667036625971143,0.8121681791119661,0.9673784877289799,54.63499166211113
IoT,6,456,1.0,0.9667036625971143,0.8121681791119661,0.9673784877289799,54.63499166211113
IoT,6,456,2.0,0.9611542730299667,0.7876737557532756,0.9623935189917716,54.63499166211113
IoT,6,456,5.0,0.9644839067702553,0.7995613476987543,0.9652037202442452,54.63499166211113
IoT,6,456,10.0,0.9711431742508324,0.8312000171112083,0.9712952384061282,54.63499166211113
IoT,6,456,50.0,0.9689234184239733,0.814284826557987,0.9687552055667372,54.63499166211113
IoT,6,456,100.0,0.9733629300776915,0.837933722574592,0.9729183773524749,54.63499166211113
IoT,6,789,0.01,0.9600443951165372,0.7434992248714739,0.957586261641812,56.85550117492676
IoT,6,789,0.1,0.9700332963374029,0.8237208983021039,0.9701127798707444,56.85550117492676
IoT,6,789,0.5,0.9711431742508324,0.8352336715604921,0.971587529760441,56.85550117492676
IoT,6,789,1.0,0.9733629300776915,0.8460296173741754,0.973639979927504,56.85550117492676
IoT,6,789,2.0,0.9700332963374029,0.8277944627877714,0.970420351771716,56.85550117492676
