dataset,seed,model,condition,accuracy,mcc,offdiag_mean,offdiag_var,frob_rel_err_vs_ideal
UNSW-NB15,42,QSVC,ideal,0.6875,0.48038446141526137,0.0025250031279911286,0.00012717840697516273,0.0
UNSW-NB15,42,QVE,ideal,0.8125,0.674199862463242,0.0025250031279911286,0.00012717840697516273,0.0
UNSW-NB15,42,QSVC,raw,0.6875,0.3779644730092272,0.00100237966954023,4.690454790213887e-07,0.06150023676262578
UNSW-NB15,42,QVE,raw,0.8125,0.674199862463242,0.00100237966954023,4.690454790213887e-07,0.06150023676262578
UNSW-NB15,42,QSVC,zne_linear,0.6875,0.3779644730092272,0.0010059342073754792,4.737668815728489e-07,0.061496852168407536
UNSW-NB15,42,QVE,zne_linear,0.8125,0.674199862463242,0.0010059342073754792,4.737668815728489e-07,0.061496852168407536
UNSW-NB15,42,QSVC,zne_richardson,0.625,0.2581988897471611,0.001024829382183908,5.416483305171201e-07,0.06148057149781938
UNSW-NB15,42,QVE,zne_richardson,0.8125,0.674199862463242,0.001024829382183908,5.416483305171201e-07,0.06148057149781938
UNSW-NB15,123,QSVC,ideal,0.5,0.0,0.007001995523410053,0.004015057651375403,0.0
UNSW-NB15,123,QVE,ideal,0.5625,0.2581988897471611,0.007001995523410053,0.004015057651375403,0.0
UNSW-NB15,123,QSVC,raw,0.5625,0.1259881576697424,0.0009305405890804598,4.4238190935064073e-07,0.32409613901220263
UNSW-NB15,123,QVE,raw,0.5625,0.2581988897471611,0.0009305405890804598,4.4238190935064073e-07,0.32409613901220263
UNSW-NB15,123,QSVC,zne_linear,0.5625,0.1259881576697424,0.0009315695342432951,4.46780338568188e-07,0.32408529525192936
UNSW-NB15,123,QVE,zne_linear,0.5625,0.2581988897471611,0.0009315695342432951,4.46780338568188e-07,0.32408529525192936
UNSW-NB15,123,QSVC,zne_richardson,0.625,0.25,0.0009528499910201149,5.189144622383415e-07,0.3239695502685131
UNSW-NB15,123,QVE,zne_richardson,0.5625,0.2581988897471611,0.0009528499910201149,5.189144622383415e-07,0.3239695502685131
