dataset,model,entanglement,noise_level,n,mean_delta_pp,ci90_lo,ci90_hi,p_t,p_wilcoxon,shapiro_W,shapiro_p,p_tost_1pp,p_tost_0p5pp,p_t_holm,p_wilcoxon_holm,sig_t_holm,sig_w_holm,equiv_1pp,equiv_0p5pp
IoT,QSVC,full,0.0,30,-0.05333333333333116,-0.26095587910524165,0.15428921243857935,0.6657313371700875,0.7581810875840258,0.9076478401413919,0.012986802968045611,7.624592829518597e-09,0.0005053564654817788,1.0,1.0,False,False,True,True
IoT,QSVC,full,0.0003,30,-0.013333333333334826,-0.16974601999855288,0.1430793533318832,0.8858380892553217,0.8644064356306027,0.7592318355849939,1.2885339703905352e-05,6.684813210335651e-12,5.717036053240228e-06,1.0,1.0,False,False,True,True
IoT,QSVC,full,0.0005,30,-0.05777777777777956,-0.23935403578024397,0.12379848022468484,0.5928678833289888,0.49197376540352,0.8398375920363778,0.0003826537160448469,5.294124679114568e-10,0.00013729120014043154,1.0,1.0,False,False,True,True
IoT,QSVC,full,0.001,30,0.2200000000000002,0.04358030700244683,0.39641969299755353,0.0427890581638296,0.19714284933650994,0.8583806802227275,0.000933465072111596,1.3968176608718371e-08,0.0057700001583005315,1.0,1.0,False,False,True,True
IoT,QSVC,full,0.002,30,-0.1400000000000016,-0.3315078848746831,0.05150788487467989,0.2241400428628554,0.26351106879843933,0.9397333878111179,0.0894673848076929,1.0299414427966556e-08,0.0016846247707896639,1.0,1.0,False,False,True,True
IoT,QSVC,full,0.005,30,0.12222222222221986,-0.0077943911506601765,0.2522388355950999,0.12104726147229498,0.039648430576534256,0.9405878387795439,0.09433621242331451,1.342848812216686e-12,1.511026581351103e-05,1.0,1.0,False,False,True,True
IoT,QSVC,full,0.008,30,0.40444444444444244,0.11716229501257386,0.6917265938763111,0.023456209116731866,0.014496945766727394,0.9609620982406084,0.32774546496903356,0.000718589970619057,0.2881549681117721,1.0,0.7683381256365519,False,False,True,False
IoT,QSVC,full,0.01,30,-4.615555555555554,-7.481830892100376,-1.7492802190107324,0.010500660433597922,0.005489707648079003,0.9562231923384009,0.24728839439108197,0.9796959182192246,0.9894756477992077,0.5880369842814837,0.31291333594050313,False,False,False,False
IoT,QSVC,full,0.02,30,-0.033333333333333735,-0.1313572773671242,0.0646906107004567,0.5678634168410033,0.5929800980174267,0.34850363385774263,1.8495671130203515e-10,9.347739949632567e-17,3.199270090815531e-09,1.0,1.0,False,False,True,True
IoT,QSVC,full,0.05,30,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,1.0,1.0,False,False,True,True
IoT,QSVC,linear,0.0,30,0.02666666666666521,-0.12103602562161415,0.17436935895494457,0.7612139545665452,0.6830913983096087,0.7480205517663697,8.461251713247062e-06,2.390685412042122e-12,3.6836363294964974e-06,1.0,1.0,False,False,True,True
IoT,QSVC,linear,0.0003,30,-0.037777777777776946,-0.22502830409852634,0.14947274854297246,0.7342223070077175,0.5134857817928715,0.7797373436410682,2.862267685950651e-05,6.519477427911565e-10,0.00011776551109458965,1.0,1.0,False,False,True,True
IoT,QSVC,linear,0.0005,30,0.03777777777777732,-0.08080044696556926,0.1563560025211239,0.5924189186274542,0.23380951444938436,0.7072153266040981,1.990296504945206e-06,1.445469865290405e-14,1.4633464331195625e-07,1.0,1.0,False,False,True,True
IoT,QSVC,linear,0.001,30,0.031111111111110645,-0.08134513586361466,0.14356735808583596,0.641824544698455,0.3260541560588086,0.709788244677475,2.17266472836848e-06,3.1421656747383584e-15,4.277673463492845e-08,1.0,1.0,False,False,True,True
IoT,QSVC,linear,0.002,30,-0.17777777777777784,-0.3497253495140149,-0.005830206041540803,0.08951800765268261,0.10766638372497757,0.6582474467676761,4.0661789027841273e-07,2.9235507396108743e-09,0.0017279841210490596,1.0,1.0,False,False,True,True
IoT,QSVC,linear,0.005,30,-0.015555555555554582,-0.15020844564241495,0.11909733453130579,0.8457531287315346,0.7772974107895215,0.8513218829567766,0.0006609118438706988,1.9464000881925436e-13,5.843799182463418e-07,1.0,1.0,False,False,True,True
IoT,QSVC,linear,0.008,30,0.11111111111111333,-0.05666881816919894,0.2788910403914256,0.26971631164595294,0.3483963635938838,0.8237819179433841,0.00018361152437492854,3.389610511991143e-10,0.0002364416914369275,1.0,1.0,False,False,True,True
IoT,QSVC,linear,0.01,30,-0.046666666666666336,-0.14076006069821478,0.04742672736488212,0.4062924963568243,0.5402913746074198,0.6772318378880552,7.397358417589739e-07,4.574301916464355e-17,2.5064680314870053e-09,1.0,1.0,False,False,True,True
IoT,QSVC,linear,0.02,30,0.11333333333333338,-0.17990477793253362,0.4065714445992004,0.5165554158278016,0.6700034723121615,0.7449640138182725,7.558356946830528e-06,8.650289930265207e-06,0.016443265898544168,1.0,1.0,False,False,True,True
IoT,QSVC,linear,0.05,30,0.2111111111111112,-0.08770371982656527,0.5099259420487876,0.2396889103146903,0.34652171170610724,0.7189591484604705,2.980805319900715e-06,5.2799465505043916e-05,0.05562441877068756,1.0,1.0,False,False,True,False
IoT,QVE,full,0.0,30,0.03333333333333336,-0.1589738174258671,0.22564048409253382,0.7704614813421975,0.7835711252143678,0.8159772306019959,0.00013000549681359085,1.0387431178289885e-09,0.00014300749643865782,1.0,1.0,False,False,True,True
IoT,QVE,full,0.0003,30,-0.05333333333333375,-0.18596852757593219,0.07930186090926467,0.49988521848952083,0.4216900001399264,0.8732768730817927,0.0019832005592468746,3.5043501400975776e-13,1.7116479528413006e-06,1.0,1.0,False,False,True,True
IoT,QVE,full,0.0005,30,-0.02666666666666669,-0.19639264485009814,0.14305931151676474,0.7913892039720005,0.8326925829599735,0.9052718284542419,0.011329640974288454,5.923009452988758e-11,2.6221250862610824e-05,1.0,1.0,False,False,True,True
IoT,QVE,full,0.001,30,0.015555555555554582,-0.11722226418762609,0.14833337529873525,0.8436042461394796,0.711719370531277,0.812466641873435,0.0001115701139200954,1.378317017738586e-13,4.616101027494805e-07,1.0,1.0,False,False,True,True
IoT,QVE,full,0.002,30,0.059999999999999686,-0.05928095341509584,0.1792809534150952,0.3997315026342604,0.2767929554675851,0.8274362244100671,0.00021638138687662598,3.021684819452016e-14,3.831336867296893e-07,1.0,1.0,False,False,True,True
IoT,QVE,full,0.005,30,0.07333333333333265,-0.0943601344808754,0.24102680114754071,0.46343578509861294,0.17735075155012436,0.8546668808628406,0.0007776890739117272,1.3512890106470825e-10,8.26772222544179e-05,1.0,1.0,False,False,True,True
IoT,QVE,full,0.008,30,0.18888888888888883,-0.009037008936352675,0.38681478671413033,0.1157240026457296,0.05018447429540007,0.8719955472627444,0.0018561709188681516,5.900079855797853e-08,0.006138222590970887,1.0,1.0,False,False,True,True
IoT,QVE,full,0.01,30,-0.264444444444445,-0.5423612871727288,0.013472398283838893,0.11675804118195252,0.031341941391991056,0.891057063614902,0.0051110568314359376,5.118483220834699e-05,0.0802687170952184,1.0,1.0,False,False,True,False
IoT,QVE,full,0.02,30,-0.8488888888888909,-1.199435778687713,-0.49834199909006877,0.00029280876618491313,1.2890611297224734e-05,0.7254206561326224,3.738246742606865e-06,0.2348873713311172,0.9492294890973914,0.017275717204909873,0.0007605460665362593,True,True,False,False
IoT,QVE,full,0.05,30,0.002222222222220497,-0.11033234383004312,0.11477678827448412,0.9734684366417347,0.9290828384477927,0.7207648792933077,3.174543861350001e-06,1.508683303265488e-15,1.3890228384702873e-08,1.0,1.0,False,False,True,True
IoT,QVE,linear,0.0,30,-0.1955555555555555,-0.39591433900173323,0.004803227890622208,0.10801729565190617,0.24814067607745594,0.7088295912853784,2.1027285518624097e-06,8.58988884846522e-08,0.007573793151525147,1.0,1.0,False,False,True,True
IoT,QVE,linear,0.0003,30,0.0044444444444450655,-0.09055112701967968,0.09944001590856982,0.9371849223662971,0.7219759521099178,0.7375198156989742,5.760229793655018e-06,1.863441621876417e-17,4.728128217827743e-10,1.0,1.0,False,False,True,True
IoT,QVE,linear,0.0005,30,-0.30222222222222117,-0.5718563930529257,-0.032588051391516715,0.06680984016628683,0.07977367412402309,0.8684748853194488,0.0015495848353713887,6.743877357606478e-05,0.11131110280165736,1.0,1.0,False,False,True,False
IoT,QVE,linear,0.001,30,0.07555555555555611,-0.048142262341199074,0.1992533734523113,0.3079213081149661,0.447324365319415,0.4968429873167739,4.963030499332327e-09,1.1326262714537739e-13,1.2701253985363907e-06,1.0,1.0,False,False,True,True
IoT,QVE,linear,0.002,30,-0.06666666666666932,-0.18713489175523418,0.05380155842189553,0.35483537260458387,0.4231377320080498,0.6168611069223987,1.1797392666102008e-07,4.627117590173209e-14,5.861534387105629e-07,1.0,1.0,False,False,True,True
IoT,QVE,linear,0.005,30,0.07111111111111179,-0.05068829499722825,0.19291051721945185,0.32939585768068114,0.3260541560588086,0.7986072663948204,6.184503394583397e-05,6.853452518908848e-14,8.342233233647762e-07,1.0,1.0,False,False,True,True
IoT,QVE,linear,0.008,30,-0.042222222222223126,-0.1331807642364112,0.04873631979196496,0.4366757403765543,0.42587446100120396,0.8925760240004513,0.005555451211346853,1.6421898415851815e-17,1.0124431232024342e-09,1.0,1.0,False,False,True,True
IoT,QVE,linear,0.01,30,-0.031111111111109906,-0.22395308942355863,0.16173086720133883,0.7859360196771812,0.7770292397210615,0.7649327625413009,1.6024663235425708e-05,1.0492936126457545e-09,0.00013986155502958845,1.0,1.0,False,False,True,True
IoT,QVE,linear,0.02,30,-0.015555555555556433,-0.2201211977909165,0.18901008667980362,0.8980875580924511,0.7762932578544399,0.7943071860622414,5.171968160968541e-05,2.5663572552398593e-09,0.00018750252072925833,1.0,1.0,False,False,True,True
IoT,QVE,linear,0.05,30,0.18000000000000052,-0.1616498361993947,0.5216498361993958,0.3780538417737541,0.5405548641319784,0.6511785367423808,3.2708653243183054e-07,0.00016173981063399815,0.06117520732998623,1.0,1.0,False,False,True,False
IoT,QWE,full,0.0,30,0.27111111111111086,0.0684104682692922,0.4738117539529295,0.030643666580528542,0.03455197486618845,0.9454501981809723,0.12756752604749932,5.893971267745209e-07,0.032460233247481235,1.0,1.0,False,False,True,True
IoT,QWE,full,0.0003,30,0.1311111111111122,-0.01477136022235978,0.27699358244458416,0.13757502228136217,0.01213148735201052,0.6963529002514539,1.381346520790247e-06,2.5149153199120853e-11,8.894944004794282e-05,1.0,0.6551003170085681,False,False,True,True
IoT,QWE,full,0.0005,30,0.09333333333333489,-0.036287542220300575,0.22295420888697037,0.2310066739655966,0.20030250667049798,0.9088606583748444,0.013929294979868268,5.72251610082152e-13,5.058727329218914e-06,1.0,1.0,False,False,True,True
IoT,QWE,full,0.001,30,-0.1688888888888873,-0.3133745620778008,-0.024403215699973863,0.05654619373358905,0.0910717437075007,0.8701488583289412,0.0016880539496960906,5.532121334617836e-11,0.000266681606562378,1.0,1.0,False,False,True,True
IoT,QWE,full,0.002,30,-0.07777777777777735,-0.19788839316526047,0.042332837609705784,0.28026337210160895,0.20566388342839192,0.9224653928563448,0.03109107920235353,5.792213673582446e-14,8.578760035512014e-07,1.0,1.0,False,False,True,True
IoT,QWE,full,0.005,30,0.21333333333333165,0.09832673387630232,0.328339932790361,0.003751807848005963,0.00557394104438385,0.9742974239177774,0.6620399191317339,9.811698195854329e-13,0.00010524442159471558,0.2138530473363399,0.31291333594050313,False,False,True,True
IoT,QWE,full,0.008,30,0.057777777777778073,-0.06580075195799134,0.1813563075135475,0.43341114363718514,0.2254589210215563,0.9161086702937193,0.02128389512856387,6.896070818755706e-14,6.391157941167504e-07,1.0,1.0,False,False,True,True
IoT,QWE,full,0.01,30,0.4088888888888905,0.2312542224707172,0.5865235553070638,0.000508965376422174,0.0007608467806747507,0.9591111943485084,0.29393317835992594,2.06473982762095e-06,0.19531849085016645,0.029519991832486093,0.04412911327913554,True,True,True,False
IoT,QWE,full,0.02,30,2.571111111111116,1.967921347798419,3.174300874423813,5.644080492144698e-08,3.879899515846691e-06,0.968972421828148,0.5114548242774943,0.999937666885851,0.9999987434557802,3.3864482952868188e-06,0.00023279397095080144,True,True,False,False
IoT,QWE,full,0.05,30,-2.555555555555557,-4.739222109715917,-0.3718890013951972,0.056267451446039306,0.017290280592906253,0.4294775462154199,1.037679278620571e-09,0.8820485781942449,0.9397190658865126,1.0,0.8990945908311252,False,False,False,False
IoT,QWE,linear,0.0,30,0.0822222222222228,-0.005635105980834373,0.17007955042527995,0.12264576225891026,0.1232049114203401,0.6769075872130761,7.320846715103509e-07,2.0308706445288568e-17,3.2762922449035247e-09,1.0,1.0,False,False,True,True
IoT,QWE,linear,0.0003,30,-0.16666666666666716,-0.28636727705029313,-0.046966056283041194,0.02489019681127867,0.010792782163388177,0.5594613465330633,2.4187816079018243e-08,6.415085399885436e-13,2.6730948874768997e-05,1.0,0.5936030189863497,False,False,True,True
IoT,QWE,linear,0.0005,30,-0.031111111111109906,-0.1243516099366558,0.06212938771443598,0.5751176408509913,0.5076243443095237,0.7584467364981962,1.2506983013957948e-05,2.3369641357906266e-17,1.029534227559188e-09,1.0,1.0,False,False,True,True
IoT,QWE,linear,0.001,30,-0.06222222222222351,-0.17124231785565946,0.04679787341121244,0.3401846819028793,0.4133023795226214,0.5990929976448227,7.114800941375471e-08,3.274213206953605e-15,8.568485666485717e-08,1.0,1.0,False,False,True,True
IoT,QWE,linear,0.002,30,-0.048888888888889426,-0.13301586023196307,0.03523808245418422,0.3316054202366374,0.2438177729654606,0.8677339945232314,0.0014921941034402777,2.440812749020169e-18,2.609832292474345e-10,1.0,1.0,False,False,True,True
IoT,QWE,linear,0.005,30,-0.0200000000000015,-0.12278327181356065,0.08278327181355764,0.7433059923182428,0.7527618874278625,0.7490451088565562,8.788941343074609e-06,2.267884437079637e-16,4.724216269542066e-09,1.0,1.0,False,False,True,True
IoT,QWE,linear,0.008,30,-0.12888888888888875,-0.32342131581155936,0.06564353803378187,0.26949393468991145,0.19588388114631894,0.8128855775756474,0.00011361626058728988,1.088874190708631e-08,0.0014922141591791071,1.0,1.0,False,False,True,True
IoT,QWE,linear,0.01,30,0.031111111111111017,-0.13449225542021045,0.19671447764243247,0.7518576942202129,0.6236388261276493,0.6657072223472114,5.131432525200924e-07,3.773306730076933e-11,2.1449501938567347e-05,1.0,1.0,False,False,True,True
