dataset,response,term,SS,eta2,partial_eta2
IoT,mcc,noise,26.063893804660662,0.2529448146480227,0.544813546872753
IoT,mcc,modelxnoise,19.40175766781894,0.18829013170145584,0.47116931234972287
IoT,mcc,entxnoise,17.945872082901516,0.17416105673723023,0.45178668036128417
IoT,mcc,ent,6.5871950084196325,0.06392739446157275,0.23224338773412564
IoT,mcc,modelxent,5.744409222844632,0.05574832897281846,0.20873169990503984
IoT,mcc,model,4.676221018547893,0.045381778626579404,0.1767790231909596
IoT,mcc,seed,0.7648929064006741,0.007423130860075449,0.03393336951327849
IoT,mcc,optxnoise,0.04277278735359165,0.0004151012450487686,0.0019603545173834474
IoT,mcc,optxmodel,0.02498096677815477,0.00024243522701503879,0.0011458574396577613
IoT,mcc,optxent,0.008661166333854522,8.405486645133487e-05,0.0003975785546025783
IoT,mcc,opt,0.005030972505929652,4.88245700181651e-05,0.00023097814634257013
IoT,logit_acc,noise,86.90860824633023,0.21377293446476753,0.39737892289791626
IoT,logit_acc,modelxnoise,68.3960720314124,0.1682368331405886,0.3416522226516704
IoT,logit_acc,entxnoise,58.41048384784637,0.14367484174029765,0.30708984033889625
IoT,logit_acc,seed,23.076397377963126,0.05676203179298465,0.14900263247790463
IoT,logit_acc,modelxent,20.175999660279803,0.049627795682947076,0.13276128171099055
IoT,logit_acc,model,8.753262000476603,0.021530784369220846,0.062278953608834994
IoT,logit_acc,ent,8.540212247058667,0.021006736499922806,0.0608553637106451
IoT,logit_acc,optxnoise,0.33999358029212223,0.0008362971956957847,0.0025730577143910738
IoT,logit_acc,optxmodel,0.14575307778994173,0.0003585152699501783,0.0011046772994468222
IoT,logit_acc,opt,0.0018221601879158807,4.482047731469663e-06,1.3825417816646777e-05
IoT,logit_acc,optxent,0.0017385968986461684,4.276503425546792e-06,1.3191399931743602e-05
UNSW-2018,mcc,noise,42.740338283922654,0.2933366783462433,0.6278195449698499
UNSW-2018,mcc,entxnoise,34.62653198582219,0.237649777311,0.577459007004559
UNSW-2018,mcc,modelxnoise,22.447290481534313,0.15406086830630933,0.4697621184000992
UNSW-2018,mcc,ent,8.634873093717111,0.059263101158118815,0.25417647440818325
UNSW-2018,mcc,modelxent,5.62202813540774,0.03858525985111303,0.18159524509235242
UNSW-2018,mcc,model,5.472215292376566,0.03755706018043091,0.17761568264844346
UNSW-2018,mcc,optxnoise,0.3458734467725533,0.0023738082588501993,0.013467039554379967
UNSW-2018,mcc,seed,0.26591160869764147,0.0018250119479848268,0.01038595559784298
UNSW-2018,mcc,optxmodel,0.10268878902333936,0.000704776552665599,0.004036544547677914
UNSW-2018,mcc,optxent,0.05459942924915597,0.00037472832126770434,0.002150287614498099
UNSW-2018,mcc,opt,0.054599429249155194,0.000374728321267699,0.0021502876144980686
UNSW-2018,logit_acc,noise,3799.7855354084645,0.38338591686048984,0.7169748395276158
UNSW-2018,logit_acc,entxnoise,2169.1981873675627,0.2188649933440591,0.5911974843827024
UNSW-2018,logit_acc,modelxnoise,1004.1778630217059,0.10131825786430843,0.4010071225022226
UNSW-2018,logit_acc,ent,409.4646276986964,0.04131364000661387,0.21444377734329637
UNSW-2018,logit_acc,modelxent,395.3904879613982,0.03989360539757463,0.2086105463426971
UNSW-2018,logit_acc,model,336.7726664499869,0.033979259170636544,0.18335402441400758
UNSW-2018,logit_acc,seed,242.93479749098614,0.024511325496002538,0.13938565836398248
UNSW-2018,logit_acc,optxnoise,29.855471385343524,0.0030123192911048384,0.01951571004797269
UNSW-2018,logit_acc,optxmodel,10.67617700612961,0.0010771912972240643,0.007067329680365297
UNSW-2018,logit_acc,optxent,6.453391502223488,0.0006511260687963232,0.00428393931449037
UNSW-2018,logit_acc,opt,6.45339150222342,0.0006511260687963164,0.004283939314490325
UNSW-NB15,mcc,entxnoise,16.93958101289521,0.2242302259095088,0.4995923119115084
